COREF,start_token,end_token,prop,cat,text
114,17,18,PROP,PER,Martin Boyne
115,175,175,PROP,PER,Edward
116,255,255,PROP,PER,Rachel
117,266,266,PROP,PER,Ruskin
118,298,304,PROP,PER,the Duke of Devonshire of his day
119,989,989,PROP,PER,Jove
2421,1073,1073,PROP,PER,Lord
120,1278,1280,PROP,PER,Mrs. Cliffe Wheater
121,1506,1535,PROP,PER,"that good - looking Mervin girl , of New York â€” Joyce Mervin â€” whom Boyne himself had danced and flirted with through a remote winter not long after Harvard"
122,1589,1589,PROP,PER,....
123,1943,1943,PROP,PER,Chip
124,1946,1946,PROP,PER,Benger
198,1954,1954,PROP,PER,Terry
126,2407,2408,PROP,PER,Mr. Wheater
127,2500,2500,PROP,PER,Judith
128,2665,2665,PROP,PER,Blanca
129,3317,3318,PROP,PER,Joyce Wheater
130,3559,3561,PROP,PER,The Wheaters _
131,3810,3810,PROP,PER,Child
132,3824,3824,PROP,PER,Scopy
133,4106,4108,PROP,PER,... _ Zinnie
134,4378,4378,PROP,PER,Beechy
135,4478,4478,PROP,PER,Bun
136,5418,5419,PROP,PER,old Chippo
137,5458,5459,PROP,PER,Joyce Somebody
138,5733,5733,PROP,PER,Having
139,6007,6007,PROP,PER,Sicily
140,6408,6409,PROP,PER,Miss Wheater
141,6435,6435,PROP,PER,Italians
142,7167,7169,PROP,PER,poor little Chipstone
143,7452,7453,PROP,PER,Zinnia Lacrosse
144,7494,7495,PROP,PER,Lord Somebody
145,7848,7849,PROP,PER,Mr. Boyne
146,7854,7854,PROP,PER,Thanks
147,7858,7859,PROP,PER,Miss Scope
148,7861,7862,PROP,PER,Horatia Scope
149,7882,7882,PROP,PER,mind)â€”well
150,8070,8070,PROP,PER,Beatrice
151,8072,8073,PROP,PER,Astorre Buondelmonte
152,8263,8264,PROP,PER,Prince Buondelmonte
2548,8948,8948,PROP,PER,Mr.
153,9339,9339,PROP,PER,Segesta
154,9766,9767,PROP,PER,Meanwhile Beechy
155,10085,10085,PROP,PER,Noranges
157,10362,10362,PROP,PER,Polycarp
158,10364,10364,PROP,PER,Lullaby
159,10652,10653,PROP,PER,Sally Money
160,11045,11045,PROP,PER,Zebras
161,11093,11094,PROP,PER,Mrs. Zebra
162,12833,12834,PROP,PER,Rose Sellars
163,12870,12871,PROP,PER,Mrs. Sellars
164,13286,13286,PROP,PER,Heine
17,13626,13627,PROP,PER,the Dolomites
166,15850,15852,PROP,PER,poor Doll Westway
167,16143,16144,PROP,PER,VI There
168,16545,16546,PROP,PER,John Harvard
169,16584,16584,PROP,PER,Maud
170,16633,16633,PROP,PER,Hullo
171,16917,16917,PROP,PER,Boy
172,17057,17057,PROP,PER,Wheaterâ€™d
173,17272,17272,PROP,PER,Florian
174,17587,17588,PROP,PER,Fanny Tradeschi
175,17620,17620,PROP,PER,Ormerod
176,18601,18604,PROP,PER,old Rip van Winkle
8,18896,18896,PROP,PER,Venice
178,19869,19872,PROP,PER,the _ Pension Grimani
179,19937,19938,PROP,PER,Mr. Ormerod
180,20154,20156,PROP,PER,the Princess Tradeschi
182,21524,21524,PROP,PER,Cowes
183,22420,22421,PROP,PER,Lady Wrench
184,22516,22516,PROP,PER,Wrenny
185,22903,22904,PROP,PER,Lord Wrench
186,22915,22915,PROP,PER,Mercy
187,23311,23311,PROP,PER,Zif
188,24131,24132,PROP,PER,the Marqu
189,25148,25151,PROP,PER,the Grand Duke Anastase
190,25241,25241,PROP,PER,Anastaseâ€™ll
191,27539,27539,PROP,PER,Bethesda
192,29093,29093,PROP,PER,Milton
193,29479,29480,PROP,PER,DARLING MARTIN
194,29508,29512,PROP,PER,Buondelmontes wife the lion taimer
196,29633,29634,PROP,PER,Lord Rench
