COREF,start_token,end_token,prop,cat,text
190,6,7,PROP,PER,EDITH WHARTON
191,17,17,PROP,PER,Spragg
192,73,74,PROP,PER,Miss Spragg
193,124,125,PROP,PER,Mrs. Heeny
194,128,129,PROP,PER,Mrs. Spragg
195,266,267,PROP,PER,Marie Antoinette
196,269,272,PROP,PER,the Princess de Lamballe
197,579,580,PROP,PER,Mr. Popple
198,628,629,PROP,PER,Mr. Marvell
199,707,707,PROP,PER,Ralph
200,836,837,PROP,PER,Mabel Lipscomb
201,897,900,PROP,PER,Mrs. Harmon B. Driscoll
202,1055,1056,PROP,PER,the Marvells
203,1237,1238,PROP,PER,Laura Fairford
204,1249,1251,PROP,PER,Mrs. Henley Fairford
205,1476,1476,PROP,PER,Mercy
206,1660,1662,PROP,PER,Madame Olga Loukowska
207,2143,2144,PROP,PER,the Spraggs
209,2415,2417,PROP,PER,the Van Degens
210,2419,2420,PROP,PER,the Driscolls
211,2422,2424,PROP,PER,the Chauncey Ellings
212,3964,3965,PROP,PER,Elmer Moffatt
213,4713,4714,PROP,PER,"Laura Fairford""--just"
215,4903,4903,PROP,PER,Celeste
216,5431,5432,PROP,PER,Indiana Frusk
217,6101,6102,PROP,PER,The Fairfords
218,6218,6220,PROP,PER,Mrs. Paul Marvell
219,6566,6567,PROP,PER,Mabel Blitch
220,6569,6570,PROP,PER,Miss Blitch
221,6712,6714,PROP,PER,Mrs. Harry Lipscomb
222,6745,6745,PROP,PER,Aaronson
223,6951,6952,PROP,PER,Miss Stager
224,6972,6974,PROP,PER,Ora Prance Chettle
225,6981,6982,PROP,PER,Mrs. Chettle
226,7019,7020,PROP,PER,the Incandescent
227,7312,7313,PROP,PER,the Lipscombs
228,7480,7481,PROP,PER,Van Degen
229,7509,7511,PROP,PER,a Mrs. Spoff
230,8314,8315,PROP,PER,Mrs. Pairford
231,8512,8516,PROP,PER,young Mrs. Peter Van Degen
233,8663,8665,PROP,PER,Miss Harriet Ray
234,8703,8704,PROP,PER,Mr. Fairford
235,8769,8770,PROP,PER,Mr. Bowen
3831,9330,9330,PROP,PER,Mrs.
3832,9332,9333,PROP,PER,Miss So
236,9976,9977,PROP,PER,Ned Norris
237,10043,10044,PROP,PER,Sarah Bernhard
238,10275,10275,PROP,PER,Ralphie
710,10720,10720,PROP,PER,Mr.
240,11682,11682,PROP,PER,Undie
241,13279,13281,PROP,PER,Thurber Van Degen
242,13295,13296,PROP,PER,Sunday Supplements
243,14726,14727,PROP,PER,Mrs. Wincher
244,14737,14738,PROP,PER,Miss Wincher
245,14869,14870,PROP,PER,the Winchers
246,17500,17502,PROP,PER,Mr. Van Degen
247,17836,17840,PROP,PER,WATCH THAN TO ASK QUESTIONS
248,17961,17962,PROP,PER,Mr. Lipscomb
249,18033,18034,PROP,PER,old Popp
250,18336,18336,PROP,PER,Martin
251,18408,18408,PROP,PER,Mrs.--
252,19519,19519,PROP,PER,Hallo
253,19541,19543,PROP,PER,old Harry Lipscomb'd
254,19568,19570,PROP,PER,Mrs. Monty Thurber
255,19593,19593,PROP,PER,Gad
256,19936,19939,PROP,PER,old Mr. Urban Dagonet
232,20941,20942,PROP,PER,Clare Dagonet
257,21047,21048,PROP,PER,Poor Clare
258,21268,21269,PROP,PER,Walt Whitman
259,21275,21277,PROP,PER,The Banished God
260,21555,21556,PROP,PER,Harriet Rays
261,22725,22726,PROP,PER,Van Degen's
262,22764,22765,PROP,PER,Van Degenism
263,23200,23200,PROP,PER,Pegasus
264,23202,23202,PROP,PER,Rosinante
265,23438,23438,PROP,PER,Tiff'ny
266,24361,24361,PROP,PER,Venus
267,26150,26150,PROP,PER,Mabel'll
268,27202,27202,PROP,PER,Spartan
269,28866,28866,PROP,PER,George
270,28966,28967,PROP,PER,the Dagonets
