COREF,start_token,end_token,prop,cat,text
95,165,165,PROP,PER,Dr.
96,391,392,PROP,PER,Mr. Amherst
97,394,395,PROP,PER,Miss Brent
98,408,408,PROP,PER,Dillon
99,411,412,PROP,PER,John Amherst
100,512,513,PROP,PER,Justine Brent
101,851,852,PROP,PER,Dr. Disbrow
102,1021,1022,PROP,PER,Mrs. Ogan
103,1449,1450,PROP,PER,Miss Hope
104,1457,1457,PROP,PER,Westmore
105,1524,1524,PROP,PER,Truscomb
106,1566,1566,PROP,PER,Natural
107,1636,1637,PROP,PER,the Westmores
108,2467,2468,PROP,PER,Mrs. Ogan--
109,3897,3899,PROP,PER,young Richard Westmore
110,4194,4195,PROP,PER,Halford Gaines
111,4205,4206,PROP,PER,Westmore Gaines
112,4230,4232,PROP,PER,a Miss Westmore
113,4338,4339,PROP,PER,Westy Gaines
11,5643,5643,PROP,PER,Hopewood
115,6158,6158,PROP,PER,Duplain
116,6169,6169,PROP,PER,Hanaford
117,6427,6428,PROP,PER,Mrs. Amherst
118,6576,6578,PROP,PER,Mrs. Harry Dressel
119,7457,7458,PROP,PER,Mrs. Truscomb
120,7936,7937,PROP,PER,Mr. Langhope
121,8091,8091,PROP,PER,Ezra--
122,8449,8450,PROP,PER,Bessy Westmore
123,8477,8477,PROP,PER,Maria
178,8503,8505,PROP,PER,Mrs. Eustace Ansell
125,8754,8755,PROP,PER,Mr. Tredegar
126,8968,8968,PROP,PER,Dick
127,9029,9031,PROP,PER,the Halford Gaineses
128,9043,9044,PROP,PER,Juliana Gaines
129,9084,9084,PROP,PER,Madeira
130,9257,9257,PROP,PER,Cicely
131,9893,9893,PROP,PER,Jim
132,10141,10141,PROP,PER,Johnny
133,11253,11254,PROP,PER,Lucy Warne
134,11317,11318,PROP,PER,Judge Warne
135,11851,11852,PROP,PER,Good Lord
136,15484,15484,PROP,PER,Habit
137,18348,18348,PROP,PER,Hallo
138,18407,18408,PROP,PER,Mr. Duplain
139,18423,18425,PROP,PER,V MRS .
3630,19383,19383,PROP,PER,Mr.
140,19385,19387,PROP,PER,Mrs. Halford Gaines
141,20656,20658,PROP,PER,the Westmore hands
142,20898,20899,PROP,PER,the Dillons
143,21164,21165,PROP,PER,Mr. Westmore
144,22228,22228,PROP,PER,Maria--
145,22594,22594,PROP,PER,Ropes
146,23233,23233,PROP,PER,Bessy----
147,23274,23276,PROP,PER,the young Schiller
148,24343,24343,PROP,PER,VI
149,24680,24680,PROP,PER,Cleopatra
150,28566,28567,PROP,PER,Miss Golden
151,28572,28573,PROP,PER,Miss Hibbs
152,29196,29197,PROP,PER,VII AMHERST
153,31955,31955,PROP,PER,Jove
154,33128,33129,PROP,PER,the Eldorado
155,33699,33699,PROP,PER,Prudence
156,33845,33845,PROP,PER,God
157,37984,37984,PROP,PER,Justine----
158,38208,38208,PROP,PER,Effie
159,38669,38671,PROP,PER,the John Amhersts
160,40723,40725,PROP,PER,the Bessy Langhope
161,41135,41139,PROP,PER,the kindly and prosperous Dressels
162,41150,41151,PROP,PER,Mrs. Brent
163,41785,41786,PROP,PER,Miss Brent----
164,41929,41931,PROP,PER,Halford Gaines Hanaford
165,43007,43008,PROP,PER,Stephen Wyant
166,43050,43051,PROP,PER,Little Cicely
167,43056,43057,PROP,PER,Cicely Westmore
168,43862,43863,PROP,PER,Miss Gaines
169,45339,45339,PROP,PER,Bessy's
170,46003,46004,PROP,PER,Bessy Amherst
171,46353,46353,PROP,PER,XI
172,47652,47652,PROP,PER,John----
173,48358,48358,PROP,PER,Mother
174,48996,48996,PROP,PER,Bessy--
175,50066,50066,PROP,PER,Westmore!--had
176,50901,50901,PROP,PER,XII
177,56447,56447,PROP,PER,Bear
179,59394,59396,PROP,PER,the Fenton Carburys
180,59463,59465,PROP,PER,the good Blanche
181,59531,59532,PROP,PER,Ned Bowfort
182,59991,59991,PROP,PER,Ming
27,60506,60506,PROP,PER,Lynbrook
184,64579,64580,PROP,PER,Mason Winch
185,64606,64608,PROP,PER,the Telfer girls
186,64722,64723,PROP,PER,the Telfers
187,64892,64892,PROP,PER,Providence
188,67402,67403,PROP,PER,XVI AMHERST
189,71317,71317,PROP,PER,Cordelia
190,71511,71511,PROP,PER,Mamma
191,71543,71544,PROP,PER,Miss Dill
192,73345,73345,PROP,PER,Impulse
193,75688,75689,PROP,PER,Fenton Carbury
194,77342,77342,PROP,PER,Cassandra
195,83362,83362,PROP,PER,Faust
196,83562,83563,PROP,PER,XX AMHERST
197,88351,88351,PROP,PER,Heaven
198,88846,88847,PROP,PER,Mrs. Carbury----
199,93469,93469,PROP,PER,Knowles
200,93695,93695,PROP,PER,Sharp
201,97087,97088,PROP,PER,Mr. Carbury
202,104097,104098,PROP,PER,Tony Lumpkin
203,104930,104930,PROP,PER,Miss.
204,106992,106993,PROP,PER,Miss Cicely--
205,107098,107099,PROP,PER,"Halford Gaines--""Arrive"
206,107236,107236,PROP,PER,February
207,107301,107301,PROP,PER,Amherst--_address
59,107339,107339,PROP,PER,Millfield
65,107635,107636,PROP,PER,Buenos Ayres
210,107901,107901,PROP,PER,Cicely----
211,109090,109090,PROP,PER,Lecky
212,109095,109095,PROP,PER,Carlyle
213,109099,109100,PROP,PER,Wilhelm Meister
214,109102,109102,PROP,PER,Seneca
215,110016,110016,PROP,PER,Christianity
216,110288,110291,PROP,PER,The Reverend Ernest Lynde
217,110624,110625,PROP,PER,Mr. Lynde
218,114925,114925,PROP,PER,George
219,115588,115589,PROP,PER,Miss Mace
220,116404,116405,PROP,PER,Dr Garford
221,117117,117117,PROP,PER,Bacon
222,117239,117239,PROP,PER,Socrates
223,117252,117252,PROP,PER,Lamiae
224,117605,117606,PROP,PER,Miss Safford
225,118249,118249,PROP,PER,Justine_----
226,122244,122244,PROP,PER,Pride
227,123198,123199,PROP,PER,Dr. Wyant's
228,123256,123257,PROP,PER,Poor Wyant
229,124664,124664,PROP,PER,Tommy
230,124670,124670,PROP,PER,Sue
231,124680,124681,PROP,PER,Mrs. Hagan
232,124683,124683,PROP,PER,Mary
4545,127413,127414,PROP,PER,good Lord
233,136149,136149,PROP,PER,Bramble
234,138840,138840,PROP,PER,Neither
87,139205,139206,PROP,PER,Saint Christopher
236,141845,141846,PROP,PER,Mr. Langhope----
237,143720,143720,PROP,PER,Amherst's
238,144446,144480,PROP,PER,"Wyant who had come to Hanaford to threaten her , and who , baffled by her non - arrival , or for some other unexplained reason , had left again without carrying out his purpose"
239,148038,148038,PROP,PER,God----
240,148937,148937,PROP,PER,Saved
241,151373,151374,PROP,PER,Justine Amherst
242,156014,156014,PROP,PER,Happily
243,156077,156077,PROP,PER,Fate
245,158585,158586,PROP,PER,Poor Bessy
246,158944,158945,PROP,PER,Poor devil
247,160647,160647,PROP,PER,Self
248,160964,160964,PROP,PER,Accident
249,162301,162302,PROP,PER,XLI AMHERST
250,167437,167437,PROP,PER,Cora
251,172455,172457,PROP,PER,Mrs. John Amherst
