COREF,start_token,end_token,prop,cat,text
159,72,73,PROP,PER,Susy Lansing
267,107,107,PROP,PER,Strefford
161,237,238,PROP,PER,Violet Melrose
162,303,305,PROP,PER,Poor old Fred
163,377,378,PROP,PER,Nick Lansing
164,543,543,PROP,PER,Streffy
165,623,623,PROP,PER,Stephanotis
167,1889,1891,PROP,PER,Mrs. Fred Gillow
168,1936,1937,PROP,PER,Ursula Gillow
169,2034,2035,PROP,PER,the Bockheimers
170,2130,2132,PROP,PER,young Mr. Lansing
171,2253,2254,PROP,PER,Miss Branch
172,2733,2733,PROP,PER,air--
173,3704,3704,PROP,PER,Harvard
174,4520,4521,PROP,PER,Nat Fulmers
175,4672,4672,PROP,PER,Fulmer
176,4721,4742,PROP,PER,"poor Nat , whose pictures nobody bought , had gone to seed so terribly -- and Grace , at twenty - nine"
2207,5077,5077,PROP,PER,Lord
177,5089,5091,PROP,PER,the Mortimer Hickses
178,6073,6073,PROP,PER,Cheques
15,7458,7458,PROP,PER,Venice
180,7548,7548,PROP,PER,Giulietta
181,7671,7671,PROP,PER,Bradshaw
182,7771,7771,PROP,PER,Ottaviano
5,8812,8812,PROP,PER,Como
184,8960,8961,PROP,PER,Ellie Vanderlyn
185,9229,9230,PROP,PER,the Signora
222,9325,9327,PROP,PER,Nelson Vanderlyn Esqre
187,9714,9714,PROP,PER,Clarissa
188,9960,9961,PROP,PER,Mrs. Vanderlyn
189,12519,12521,PROP,PER,the Palazzo Vanderlyn
190,13327,13327,PROP,PER,Americans
191,13500,13501,PROP,PER,Le Rire
192,13536,13536,PROP,PER,Marius
193,13905,13905,PROP,PER,Providence
194,13920,13921,PROP,PER,Baroness Dunsterville
195,14291,14292,PROP,PER,Nerone Altineri
196,14376,14377,PROP,PER,Coral Hicks
197,14387,14389,PROP,PER,Poor Coral Hicks
198,14534,14534,PROP,PER,Streff
200,15281,15282,PROP,PER,the Lansings
201,15466,15466,PROP,PER,Clarissa--
202,15835,15835,PROP,PER,Florian
14,15942,15942,PROP,PER,India
641,15992,15992,PROP,PER,Mr.
204,16035,16036,PROP,PER,Eldoradder Tooker
205,16265,16265,PROP,PER,Eldorada
206,16453,16453,PROP,PER,Dreary
207,17032,17033,PROP,PER,Mr. Beck
208,17035,17036,PROP,PER,Mr. Buttles
209,17062,17062,PROP,PER,Pandolfino
210,17150,17151,PROP,PER,the Euganeans
211,17455,17455,PROP,PER,Alexander
212,17549,17550,PROP,PER,Wilhelm Meister
31,18473,18473,PROP,PER,Capri
214,18581,18581,PROP,PER,June
215,18714,18715,PROP,PER,communal dawdling
216,21077,21077,PROP,PER,VIII
217,21796,21796,PROP,PER,Nelsonâ€™ll
218,23121,23121,PROP,PER,Browning
219,23343,23343,PROP,PER,Nick--
220,23455,23456,PROP,PER,Good Lord
221,23699,23699,PROP,PER,Jove
223,24037,24038,PROP,PER,Mr. Vanderlyn
224,24057,24057,PROP,PER,Co.
225,24131,24131,PROP,PER,Hullo
226,24794,24794,PROP,PER,Mother
227,25221,25222,PROP,PER,the Vanderlyns
228,25490,25490,PROP,PER,Tiepolo
229,25657,25658,PROP,PER,the Tiepolos
896,26773,26775,PROP,PER,young Mrs. Lansing
230,27775,27775,PROP,PER,X.
231,28067,28068,PROP,PER,young Davenant
232,31429,31429,PROP,PER,XI
233,31765,31766,PROP,PER,young Breckenridge
234,32831,32831,PROP,PER,Fred-
235,32841,32842,PROP,PER,Donna Anna
236,33146,33146,PROP,PER,God
237,34046,34046,PROP,PER,Giovanna
239,34240,34240,PROP,PER,Gervaso
240,34333,34333,PROP,PER,XII
241,36873,36873,PROP,PER,Granny
242,37116,37119,PROP,PER,The Earl of Altringham
243,37123,37124,PROP,PER,Viscount dâ€™Amblay
2489,37848,37850,PROP,PER,Mrs. Nicholas Lansing
2498,38236,38237,PROP,PER,Mrs. Lansing
244,38836,38837,PROP,PER,Mrs. Melrose
245,39392,39392,PROP,PER,Madam
246,39461,39461,PROP,PER,Genius
247,39531,39532,PROP,PER,Nat Fulmer
248,39735,39736,PROP,PER,Mrs. Bockheimer
249,40411,40412,PROP,PER,Eddy Breckenridge
250,40451,40452,PROP,PER,St. Paul
251,41207,41208,PROP,PER,Mrs. Match
252,42528,42529,PROP,PER,Mr. Fulmer
253,42614,42614,PROP,PER,XIV
254,44136,44137,PROP,PER,Mrs. Tithonus
255,44667,44668,PROP,PER,Dear Streff
256,46100,46100,PROP,PER,Streff--
257,46673,46674,PROP,PER,Mrs. Fulmer
258,47489,47489,PROP,PER,Junie
259,47801,47802,PROP,PER,Maria Guy
260,47918,47919,PROP,PER,Bill Haslett
261,48674,48674,PROP,PER,Velasquez
262,51014,51014,PROP,PER,Correggio
263,51016,51016,PROP,PER,Fragonard
264,52024,52025,PROP,PER,Poor Buttles
265,52187,52187,PROP,PER,Father
266,52440,52443,PROP,PER,Mr. Frederick J. Gillow
106,54313,54313,PROP,PER,Ruan
269,54514,54515,PROP,PER,Poor Violet
270,54795,54813,PROP,PER,"The Prince , who did not see why he should be expected to linger in London out of season"
271,55416,55417,PROP,PER,Lady Altringham
272,55901,55901,PROP,PER,....
273,58562,58563,PROP,PER,Fred Davenant
274,59127,59127,PROP,PER,Algie
275,60629,60632,PROP,PER,the Countess of Altringham
276,62085,62086,PROP,PER,the Reynoldses
277,62143,62143,PROP,PER,Susyâ€™s
278,62320,62326,PROP,PER,"the Strefford of old , Charlie Strefford"
2714,62504,62506,PROP,PER,a Mrs. Lansing
279,62695,62698,PROP,PER,The Honâ€™ble Diana Lefanu
280,62734,62734,PROP,PER,Reynolds
