COREF,start_token,end_token,prop,cat,text
108,2,2,PROP,PER,Selden
109,25,27,PROP,PER,Miss Lily Bart
110,512,514,PROP,PER,Mrs. Van Osburgh
111,553,554,PROP,PER,Gus Trenors
112,1971,1972,PROP,PER,Gerty Farish
113,2128,2129,PROP,PER,Gertrude Farish
114,2350,2351,PROP,PER,Mrs. Peniston
115,2762,2764,PROP,PER,Dear Mr. Selden
116,3323,3323,PROP,PER,Dillworth
117,3679,3679,PROP,PER,Americana
118,3783,3785,PROP,PER,old Jefferson Gryce
119,4519,4521,PROP,PER,Gwen Van Osburgh
120,4523,4524,PROP,PER,the Wetheralls
121,4526,4528,PROP,PER,Lady Cressida Raith
122,4531,4533,PROP,PER,the George Dorsets
123,4559,4560,PROP,PER,Mrs. Trenor
124,5315,5316,PROP,PER,Mr. Rosedale
125,6167,6168,PROP,PER,Jack Stepney
126,6438,6439,PROP,PER,Judy Trenor
127,6773,6775,PROP,PER,Mr. Percy Gryce
128,8737,8738,PROP,PER,The Gryces
129,8873,8874,PROP,PER,Mrs. Gryce
3,9493,9493,PROP,PER,Bellomont
131,9574,9576,PROP,PER,Mrs. George Dorset
132,9766,9767,PROP,PER,Mount Kisco
133,9868,9868,PROP,PER,Bertha
134,10723,10725,PROP,PER,young Ned Silverton
135,10743,10744,PROP,PER,Mrs. Fisher
136,12143,12145,PROP,PER,Mrs. Hudson Bart
137,12384,12385,PROP,PER,Mr. Bart
138,12752,12752,PROP,PER,Cole
139,13569,13569,PROP,PER,Poleworth
140,15022,15023,PROP,PER,the Quirinal
141,15398,15398,PROP,PER,Providence
142,15797,15799,PROP,PER,a Van Alstyne
143,16005,16006,PROP,PER,Mr. Peniston
144,16874,16875,PROP,PER,Miss Pragg
145,17483,17484,PROP,PER,Mr. Trenor
146,17690,17691,PROP,PER,Carry Fisher
147,17758,17759,PROP,PER,Alice Wetherall
148,17981,17981,PROP,PER,Mercy
149,17991,17992,PROP,PER,Lady Skiddaw
150,17999,18001,PROP,PER,the Van Osburghs
151,18007,18009,PROP,PER,Maria Van Osburgh
152,18379,18379,PROP,PER,Bishop
153,18421,18423,PROP,PER,the Ned Wintons
154,18425,18426,PROP,PER,the Farleys
155,18951,18951,PROP,PER,Lucius
156,19092,19094,PROP,PER,MERCI DU COMPLIMENT
157,19553,19553,PROP,PER,Lily!â€”â€”PERCY
158,19926,19926,PROP,PER,Bridge
