COREF,start_token,end_token,prop,cat,text
87,7,8,PROP,PER,Kate Clephane
88,277,277,PROP,PER,Chris
89,298,298,PROP,PER,Julie
90,946,946,PROP,PER,Aline
187,1195,1196,PROP,PER,Mrs. Clephane
92,1307,1307,PROP,PER,Madame
93,1947,1948,PROP,PER,little Anne--
94,2142,2143,PROP,PER,Fred Landers
95,2213,2214,PROP,PER,little Anne
96,2331,2332,PROP,PER,John Clephane
97,2640,2640,PROP,PER,Solitude
98,2836,2836,PROP,PER,Aline--
99,2849,2849,PROP,PER,Rachel
100,3331,3332,PROP,PER,Mrs. Minity
101,3350,3351,PROP,PER,Countess Lanska
102,3394,3396,PROP,PER,the Horace Betterlys
103,3478,3479,PROP,PER,Laura Lanska
104,3498,3499,PROP,PER,Mrs. Schlachtberger
105,3987,3988,PROP,PER,Hylton Davies
106,4503,4505,PROP,PER,Anna KarÃ©nine _
107,4581,4581,PROP,PER,Life
108,4695,4696,PROP,PER,Poor Chris
109,6096,6096,PROP,PER,Whereupon
110,6102,6103,PROP,PER,Mrs. Merriman
111,7362,7363,PROP,PER,Mrs. Parley
112,7413,7433,PROP,PER,"the lovely Mrs. Prentiss of San Francisco , who â€œ took things â€ and had been involved in a drug scandal"
113,7497,7498,PROP,PER,Mrs. Marsh
114,7511,7533,PROP,PER,"called â€œ the Colonel â€ , whose family - name was not Marsh , but for whom she wore mourning when he died"
115,7550,7552,PROP,PER,Mrs. Fred Langly
482,7596,7597,PROP,PER,Mr. Langly
116,7645,7645,PROP,PER,Lafayette
117,7809,7810,PROP,PER,Mr. Merriman
118,7886,7886,PROP,PER,Mothers
119,8043,8045,PROP,PER,old Mrs. Orbitt
120,8099,8101,PROP,PER,Lady de Tracey
121,8463,8464,PROP,PER,Mr. Paly
122,8586,8587,PROP,PER,Lion Carstairs
123,8609,8610,PROP,PER,Mr. Carstairs
124,8737,8738,PROP,PER,the Merrimans
125,8790,8791,PROP,PER,the Betterlys--
126,8823,8823,PROP,PER,Harry
127,8831,8832,PROP,PER,Marcia Betterly
128,8880,8880,PROP,PER,Sid
129,8986,8987,PROP,PER,Horace Betterly
130,9120,9121,PROP,PER,Madame Lanska
131,9153,9154,PROP,PER,the Sids
132,9156,9156,PROP,PER,Harrys
133,9940,9941,PROP,PER,Mr. Landers
134,10460,10460,PROP,PER,Guardian
135,10462,10462,PROP,PER,ward
136,11052,11052,PROP,PER,Papa
137,11055,11055,PROP,PER,Mamma
1532,11464,11464,PROP,PER,Uncle
138,12040,12041,PROP,PER,Mrs. Chivers
139,12048,12049,PROP,PER,Mrs. Beaufort
140,12368,12369,PROP,PER,Beatrice Cenci
141,12435,12436,PROP,PER,Ribera monks
1549,13625,13625,PROP,PER,Lord
143,14380,14381,PROP,PER,the Tresseltons
144,14398,14399,PROP,PER,Enid Drover--
145,14441,14442,PROP,PER,Enid Drover
146,14483,14485,PROP,PER,the Hendrik Drovers
147,14899,14900,PROP,PER,Frederick Landers
148,15766,15766,PROP,PER,Fred--
149,15777,15778,PROP,PER,the Airedale
150,16084,16084,PROP,PER,IV
151,16597,16598,PROP,PER,Uncle Hendrik
152,16613,16613,PROP,PER,Alan
153,16616,16617,PROP,PER,Lilla Gates
154,16710,16710,PROP,PER,Nollie
155,16712,16713,PROP,PER,Joe Tresselton
156,16719,16720,PROP,PER,Nollie Shriner
157,16738,16739,PROP,PER,Frank Haverford
158,17303,17304,PROP,PER,the Clephanes
159,17908,17909,PROP,PER,Hendrik Drover
160,17949,17949,PROP,PER,Lil
161,18000,18001,PROP,PER,Aunt Kate
162,18242,18243,PROP,PER,that Arrow
163,18533,18534,PROP,PER,Alethea Tresselton
164,18927,18928,PROP,PER,Nollie Haverford
165,18936,18937,PROP,PER,Albany Haverford
166,19359,19360,PROP,PER,Mrs. Drover
167,19365,19366,PROP,PER,Madge Glenver
