COREF,start_token,end_token,prop,cat,text
67,14,14,PROP,PER,Anna
71,35,36,PROP,PER,George Darrow
69,501,502,PROP,PER,Mrs. Leath
70,509,510,PROP,PER,General Farnham
72,688,689,PROP,PER,Fraser Leath
73,718,721,PROP,PER,the Marquis de Chantelle
74,757,757,PROP,PER,Effie
75,776,777,PROP,PER,Owen Leath
76,1057,1058,PROP,PER,Mr. Leath
77,1921,1924,PROP,PER,The Marquise de Chantelle
78,4040,4041,PROP,PER,Mrs. Murrett
79,4270,4271,PROP,PER,Mrs. Murrettâ€™s
80,4333,4335,PROP,PER,Lady Ulrica Crispin
81,4576,4576,PROP,PER,Viner
82,4643,4644,PROP,PER,Miss Viner
83,5154,5155,PROP,PER,Mrs. Bolt
84,5161,5162,PROP,PER,Professor Didymus
86,5191,5192,PROP,PER,Mrs. Didymus
87,5308,5309,PROP,PER,Jimmy Brance
88,5312,5312,PROP,PER,Jimmy----
89,5884,5885,PROP,PER,Good Lord
90,5926,5926,PROP,PER,God
91,6621,6621,PROP,PER,III
92,6890,6890,PROP,PER,Laura
93,7352,7353,PROP,PER,Mamie Hoke
94,7501,7502,PROP,PER,The Farlows
95,7770,7772,PROP,PER,the Lady Ulricas
96,8600,8601,PROP,PER,Mrs. Farlow
97,8725,8726,PROP,PER,Anna Leath
98,9058,9060,PROP,PER,the Grecian Urn
99,9388,9388,PROP,PER,IV
100,9532,9532,PROP,PER,Cerdine
101,10441,10442,PROP,PER,the Americans
102,12364,12365,PROP,PER,Mr. Farlow
103,12547,12549,PROP,PER,Mme . Dolle
104,12645,12646,PROP,PER,the Hokes
105,15534,15534,PROP,PER,Oedipe
19,15593,15593,PROP,PER,Joigny
107,18239,18239,PROP,PER,VI
108,20842,20843,PROP,PER,VII Darrow
109,20956,20956,PROP,PER,avowal
30,25563,25563,PROP,PER,Givre
111,26180,26182,PROP,PER,Madame de Chantelle
112,27544,27545,PROP,PER,Miss Summers
113,27839,27840,PROP,PER,Kitty Mayne
824,28409,28409,PROP,PER,Mr.
114,28411,28412,PROP,PER,Mrs. Summers
115,29070,29071,PROP,PER,the Sphinx
116,29203,29205,PROP,PER,Monsieur de Chantelle
117,29274,29276,PROP,PER,Madame de Vireville
118,31596,31596,PROP,PER,Garry
119,31660,31660,PROP,PER,Jean
120,31898,31898,PROP,PER,About----
121,31972,31972,PROP,PER,Owen----
122,32546,32547,PROP,PER,Adelaide Painter
123,35096,35096,PROP,PER,Psyche
124,35712,35712,PROP,PER,June
125,36302,36303,PROP,PER,One DOES
126,37255,37255,PROP,PER,Givre----
128,41653,41653,PROP,PER,Nature
129,42103,42104,PROP,PER,Lady Wantley
130,42188,42188,PROP,PER,Everards
131,42288,42288,PROP,PER,XIV
132,43414,43414,PROP,PER,Duchesses
133,45806,45807,PROP,PER,Young Leath
134,48823,48823,PROP,PER,XVI
2627,50719,50720,PROP,PER,Miss Viner----
136,50736,50737,PROP,PER,Mademoiselle Grumeau
137,50752,50753,PROP,PER,the Chanoinesse
138,58698,58699,PROP,PER,Miss Painter
139,58729,58729,PROP,PER,XIX
140,61272,61273,PROP,PER,DE Lâ€™EPOQUE
141,62335,62335,PROP,PER,XX
142,67110,67110,PROP,PER,Simone
143,67112,67112,PROP,PER,Odette
144,68432,68433,PROP,PER,Lucretia Mary
145,69209,69210,PROP,PER,Mr. Darrowâ€™ll
146,69257,69259,PROP,PER,Gisele de Folembray
147,69285,69287,PROP,PER,Mrs. Homer Pond
148,69350,69352,PROP,PER,old Bradford Wagstaff
149,70890,70890,PROP,PER,Mother
150,70901,70901,PROP,PER,Granny
151,72072,72072,PROP,PER,Niobe
152,74705,74705,PROP,PER,Effie!--
154,77141,77141,PROP,PER,Owen--
155,77660,77660,PROP,PER,Sophyâ€™d
156,77704,77704,PROP,PER,Darrowâ€™d
158,87993,87993,PROP,PER,Mother!----
159,91076,91076,PROP,PER,Darrow--â€œMay
160,92158,92158,PROP,PER,Anna----
10,95248,95248,PROP,PER,Paris
162,110433,110433,PROP,PER,Dearest
163,110529,110530,PROP,PER,Fred Rempson
164,113466,113466,PROP,PER,...
165,114683,114686,PROP,PER,Mrs. McTarvie - Birch
3014,115969,115970,PROP,PER,Mr. Birch--
166,115973,115974,PROP,PER,Mr. WHO
