COREF,start_token,end_token,prop,cat,text
229,64,64,PROP,PER,Filomena
230,256,259,PROP,PER,the Marquesses di Donnaz
231,413,413,PROP,PER,Virgil
232,449,449,PROP,PER,Alda
233,470,472,PROP,PER,the terrible Ezzelino
234,489,489,PROP,PER,Odo
235,663,663,PROP,PER,Jacopone
236,782,782,PROP,PER,Pianura
237,850,850,PROP,PER,Giannozzo
238,900,900,PROP,PER,Assumption--
239,1009,1010,PROP,PER,Saint Francis
240,1311,1311,PROP,PER,Gianozzo
241,2921,2921,PROP,PER,Momola
242,3753,3753,PROP,PER,Mamma
243,3861,3862,PROP,PER,Donna Laura
244,3954,3955,PROP,PER,Holy Virgin
245,4074,4075,PROP,PER,Don Lelio
246,4107,4107,PROP,PER,Easter
247,4368,4368,PROP,PER,Vanna
248,4370,4370,PROP,PER,Tonina
249,4400,4400,PROP,PER,God
250,4731,4732,PROP,PER,French Monsu
251,5675,5675,PROP,PER,Brutus
252,5869,5870,PROP,PER,Carlo Borromini
253,6152,6152,PROP,PER,Tritons
254,6952,6955,PROP,PER,the Count Lelio Trescorre
255,7226,7228,PROP,PER,Marquess di Donnaz
256,10156,10156,PROP,PER,Wonder
257,10919,10920,PROP,PER,Bernardinus Lovinus
258,10982,10982,PROP,PER,Bruno
259,11253,11254,PROP,PER,the Caracci
260,11261,11262,PROP,PER,Giulio Romano
261,11337,11338,PROP,PER,Don Gervaso
262,11451,11451,PROP,PER,Trent
263,11609,11610,PROP,PER,Cardinal Bellarmine
264,11994,11994,PROP,PER,Christ
265,12129,12129,PROP,PER,Hubert
267,13036,13037,PROP,PER,Don Serafino
268,13239,13239,PROP,PER,Mary
269,13246,13247,PROP,PER,Saint Theresa
270,13401,13402,PROP,PER,The Capuchin
271,13481,13482,PROP,PER,the Dauphin
272,13767,13768,PROP,PER,the Soldan
273,13843,13843,PROP,PER,Rinaldo
274,13845,13845,PROP,PER,Arthur
275,13853,13853,PROP,PER,Conrad
276,13857,13857,PROP,PER,Conradin
277,14654,14654,PROP,PER,Stupinigi
278,15457,15457,PROP,PER,Pulci
279,15463,15465,PROP,PER,the Fay Morgana
280,15467,15467,PROP,PER,Regulus
281,15476,15476,PROP,PER,Trajan
282,16714,16715,PROP,PER,Carlo Gamba
283,17555,17556,PROP,PER,Donna Livia
284,18168,18168,PROP,PER,Juvara
285,18344,18344,PROP,PER,Judas
286,18367,18367,PROP,PER,Maries
287,18516,18516,PROP,PER,Calvary
288,19454,19454,PROP,PER,Goldoni
289,19688,19689,PROP,PER,Count Valdu
290,19704,19707,PROP,PER,The Duke of Pianura
291,19776,19776,PROP,PER,Asti
292,20807,20807,PROP,PER,Salvator
294,22199,22200,PROP,PER,Val Pulicello
295,22306,22306,PROP,PER,"now""--he"
296,22484,22485,PROP,PER,The Matamor
297,23903,23905,PROP,PER,The Countess Valdu
298,24335,24338,PROP,PER,Count Roberto di Tournanches
299,25767,25768,PROP,PER,Cornelius Nepos
300,26328,26328,PROP,PER,Metastasio
301,26509,26509,PROP,PER,Caldara
302,26777,26777,PROP,PER,Deidamia
303,26916,26916,PROP,PER,Achille
304,26943,26943,PROP,PER,Ulysses
305,26946,26946,PROP,PER,Lycomedes
306,27581,27586,PROP,PER,the Count Vittorio Alfieri of Asti
307,27643,27644,PROP,PER,Charles Emmanuel
308,27805,27805,PROP,PER,Ariosto
309,27960,27961,PROP,PER,Annibale Caro
310,27970,27970,PROP,PER,Voltaire
311,28210,28212,PROP,PER,Count Benedetto Alfieri
312,28402,28402,PROP,PER,Winckelmann
313,28404,28404,PROP,PER,Maffei
314,28424,28424,PROP,PER,Cardinals
315,28825,28825,PROP,PER,Piranesi
316,28941,28941,PROP,PER,Sanmichele
317,28945,28945,PROP,PER,Sansovino
318,28950,28951,PROP,PER,Michael Angelo
319,29025,29025,PROP,PER,Correggio
320,29027,29027,PROP,PER,Guido
321,29029,29029,PROP,PER,Guercino
322,29089,29089,PROP,PER,Luini
323,29252,29252,PROP,PER,Galiani
324,29254,29254,PROP,PER,Gravina
325,29256,29256,PROP,PER,Filangieri
326,29290,29290,PROP,PER,Hume
327,29413,29414,PROP,PER,Massimo d'Azeglio
328,29594,29594,PROP,PER,Liguori
329,29600,29602,PROP,PER,the blessed Battista
60,29615,29615,PROP,PER,Piedmont
331,29696,29696,PROP,PER,Dante
332,29716,29716,PROP,PER,Raphael
333,29719,29720,PROP,PER,Carlo Maratta
334,29726,29726,PROP,PER,Petrarch
335,29732,29733,PROP,PER,Padre Cevo
336,29757,29758,PROP,PER,the Jesuits
17,30629,30629,PROP,PER,Turin
338,31005,31007,PROP,PER,The Countess Clarice
339,31373,31374,PROP,PER,the Piedmontese
340,31419,31419,PROP,PER,Rousseau
341,31687,31687,PROP,PER,Youth
342,31967,31967,PROP,PER,Diderot
343,32089,32089,PROP,PER,Julie
344,32763,32764,PROP,PER,Saint Preux
345,32946,32946,PROP,PER,Antonio
346,33930,33930,PROP,PER,Cortez
347,33932,33932,PROP,PER,Pizarro
348,33973,33973,PROP,PER,Parini
349,34459,34459,PROP,PER,Promised--
66,34640,34642,PROP,PER,the Corpus Domini
75,34977,34979,PROP,PER,the Palazzo Tournanches
352,35077,35077,PROP,PER,Providence
62,35302,35303,PROP,PER,the Valentino
354,36343,36344,PROP,PER,Professor Vivaldi
355,37741,37742,PROP,PER,the Diluvials
356,37860,37860,PROP,PER,Pythagoras
357,38722,38725,PROP,PER,the Honey - Bees
358,38952,38953,PROP,PER,Pietro Giannone
359,39278,39278,PROP,PER,Plutarch
360,39401,39402,PROP,PER,Laura Bassi
361,39404,39405,PROP,PER,Gaetana Agnesi
362,39438,39440,PROP,PER,The beautiful Fulvia
363,40012,40012,PROP,PER,Caligula
364,40014,40014,PROP,PER,Commodus
365,40177,40179,PROP,PER,Saint Thomas Aquinas
366,40181,40182,PROP,PER,Saint Dominick
367,40840,40841,PROP,PER,the Encyclopaedists
368,40969,40969,PROP,PER,Seneca
369,41082,41082,PROP,PER,Newton
370,41410,41410,PROP,PER,Vico
371,41422,41422,PROP,PER,Verri
372,41424,41424,PROP,PER,Beccaria
373,42160,42160,PROP,PER,Claude
374,42163,42163,PROP,PER,Bibbiena
375,44088,44088,PROP,PER,Elijah
376,47546,47548,PROP,PER,the forsaken Ariadne
377,49095,49095,PROP,PER,Moses
378,49401,49401,PROP,PER,Satan
379,49733,49734,PROP,PER,the Eternal
380,52673,52673,PROP,PER,Tasso
381,53166,53170,PROP,PER,Le Gelosie di Milord Zambo
382,53711,53711,PROP,PER,Tartaglia
383,54071,54072,PROP,PER,the Columbine
384,54379,54381,PROP,PER,Signorina Miranda Malmocco
385,54822,54823,PROP,PER,the Pharaohs
386,55780,55782,PROP,PER,the Capo Comico
83,56611,56611,PROP,PER,Rimini
388,56630,56632,PROP,PER,Mirandolino of Chioggia
389,56773,56775,PROP,PER,the Countess Belverde
390,57763,57765,PROP,PER,the Signor Mirandolino
391,58213,58213,PROP,PER,Castelrovinato
392,61000,61001,PROP,PER,Holy Mother
393,61378,61378,PROP,PER,Lethe
394,62346,62363,PROP,PER,"the Marquess of Cerveno , in whose service he remained till shortly before that young nobleman 's death"
395,64422,64422,PROP,PER,Apollo
396,64424,64425,PROP,PER,the Muses
397,64734,64735,PROP,PER,Count Heiligenstern
398,65059,65059,PROP,PER,Bracciaforte
399,65128,65128,PROP,PER,Ascanio
400,65159,65161,PROP,PER,Luciano da Laurana
401,65178,65178,PROP,PER,Verocchio
402,65232,65233,PROP,PER,Leo X.
56,65236,65236,PROP,PER,Vignola
404,65279,65280,PROP,PER,Cardinal Bembo
405,65292,65293,PROP,PER,Guilio Romano
406,66165,66166,PROP,PER,Father Ignazio
407,66975,66975,PROP,PER,Heaven
408,67249,67250,PROP,PER,the Barnabites
409,67288,67289,PROP,PER,The Carmelites
410,67693,67695,PROP,PER,Piero della Francesca
411,67855,67856,PROP,PER,Paul IV
412,67866,67866,PROP,PER,Caravaggio
413,68373,68374,PROP,PER,Maria Clementina
414,68459,68459,PROP,PER,Ferrante
415,68606,68606,PROP,PER,Emile
416,69171,69172,PROP,PER,Count Pievepelago
417,69352,69355,PROP,PER,the Marquis de Montesquieu
418,69466,69469,PROP,PER,The Madonna del Monte
419,69499,69501,PROP,PER,the Duchess Polixena
421,71024,71025,PROP,PER,the Valseccas
422,72009,72010,PROP,PER,the Dominicans
99,73659,73660,PROP,PER,Monte Alloro
266,73679,73682,PROP,PER,the Marchioness of Pievepelago
425,73930,73930,PROP,PER,Hobbes
426,74183,74183,PROP,PER,Titian
427,74207,74207,PROP,PER,Giorgione
428,74241,74242,PROP,PER,Duke Guidobaldo
429,74670,74670,PROP,PER,Ganganelli
430,74758,74758,PROP,PER,Boscofolto
431,74984,74984,PROP,PER,Aristotle
432,75083,75084,PROP,PER,the Arcadia
433,75245,75245,PROP,PER,Ovid
434,76639,76641,PROP,PER,the Mountain Madonna
435,79636,79637,PROP,PER,Saint Paul
436,79764,79764,PROP,PER,Diana
437,79862,79864,PROP,PER,Jesus of Nazareth
438,80117,80119,PROP,PER,the Lady Poverty
439,81715,81716,PROP,PER,Saint Jerome
440,81724,81726,PROP,PER,Saint Peter Martyr
441,82658,82658,PROP,PER,Andreoni
442,82721,82721,PROP,PER,Concini
100,83967,83967,PROP,PER,Austria
445,84085,84086,PROP,PER,the German
446,85366,85366,PROP,PER,Cousin
447,86824,86826,PROP,PER,the Grand Signior
448,89354,89354,PROP,PER,Everywhere
449,90085,90085,PROP,PER,Iamblichus
450,90374,90374,PROP,PER,Isis
451,92435,92435,PROP,PER,Erect
452,92878,92879,PROP,PER,Dr. Weishaupt
453,93715,93715,PROP,PER,Scarce
454,93909,93911,PROP,PER,Sir William Hamilton
455,94032,94032,PROP,PER,Homer
456,94034,94034,PROP,PER,Horace
457,94167,94167,PROP,PER,Dioskorides
459,94720,94722,PROP,PER,the Sepolte Vive
460,96196,96196,PROP,PER,February
461,96994,96996,PROP,PER,the Vicaire Savoyard
462,97180,97181,PROP,PER,De Crucis
125,97220,97220,PROP,PER,Capri
464,97460,97461,PROP,PER,Prince Bracciano
465,99720,99720,PROP,PER,Scripture
466,100690,100691,PROP,PER,the Carthusians
467,100827,100828,PROP,PER,the Benedictines
468,101504,101504,PROP,PER,Fuga
469,101709,101710,PROP,PER,Pius VI
470,102260,102261,PROP,PER,albergo d'ira
471,102785,102786,PROP,PER,Saint Justina
