COREF,start_token,end_token,prop,cat,text
101,4,5,PROP,PER,MISS BRUSS
102,12,13,PROP,PER,Nona Manford
103,28,29,PROP,PER,Mrs. Manford
104,63,64,PROP,PER,Maisie Bruss
105,316,316,PROP,PER,Lita
106,604,605,PROP,PER,Mrs.---- Nona
107,847,848,PROP,PER,Arthur Wyant
108,960,960,PROP,PER,Pauline
109,1193,1194,PROP,PER,the Bolivians
110,1758,1761,PROP,PER,the former Mrs. Wyant
111,2669,2669,PROP,PER,Lita--
112,2686,2687,PROP,PER,Mr. Rigley
113,2695,2696,PROP,PER,Mr. Manford
114,2714,2715,PROP,PER,the Marchesa
116,2896,2898,PROP,PER,The Jim Wyants
117,3671,3675,PROP,PER,Amalasuntha degli Duchi di Lucera
118,3680,3685,PROP,PER,the Marchese Venturino di San Fedele
119,3991,3991,PROP,PER,Carina
120,4324,4325,PROP,PER,Mary Wyant
121,4327,4331,PROP,PER,Prince Ottaviano di Lago Negro
122,4409,4410,PROP,PER,Cardinal Ravello
123,4762,4782,PROP,PER,"that wonderful much - slandered "" Mahatma "" in whom she still so thoroughly believed ... But the word pulled her"
124,4988,4989,PROP,PER,Wonderful Man
125,5565,5566,PROP,PER,Torfried Lobb
126,5736,5737,PROP,PER,Poor Arthur
127,6202,6204,PROP,PER,Old Mrs. Wyant
128,7171,7177,PROP,PER,"the "" impossible "" Mrs. Percy Landish"
129,7302,7303,PROP,PER,Kitty Landish
130,7853,7853,PROP,PER,Cubist
131,8669,8670,PROP,PER,Tommy Ardwin
132,8686,8686,PROP,PER,Gracious
133,10099,10099,PROP,PER,Lita'll
134,10364,10364,PROP,PER,Brewster
135,10824,10825,PROP,PER,cousin Eleanor
136,10841,10843,PROP,PER,Poor Exhibit A
137,10880,10880,PROP,PER,Stanley
138,12195,12195,PROP,PER,Dawnside?--have
139,12201,12203,PROP,PER,the Grant Lindons
140,12252,12252,PROP,PER,Lindon
141,13186,13186,PROP,PER,Queer
142,13530,13530,PROP,PER,Arthur--
143,13903,13903,PROP,PER,Aggie
144,14009,14009,PROP,PER,Lita's--
145,14230,14230,PROP,PER,God
146,14258,14258,PROP,PER,Aggie--
147,14917,14918,PROP,PER,Miss Vollard
148,15537,15538,PROP,PER,Robert Ingersoll
149,15547,15550,PROP,PER,the Reverend Frank Gunsaulus
150,15556,15557,PROP,PER,John Burroughs
151,15563,15564,PROP,PER,Jared Sparks
152,15647,15648,PROP,PER,Mrs. Tallentyre
153,15651,15651,PROP,PER,Voltaire
154,15719,15719,PROP,PER,Macaulay
155,16702,16703,PROP,PER,Alfred Cosby
156,16853,16853,PROP,PER,Fancy
157,17036,17037,PROP,PER,Fanny Lindon
158,17780,17781,PROP,PER,Neither Nona
159,18839,18839,PROP,PER,Powder
160,19137,19138,PROP,PER,Parker Greg
161,19342,19344,PROP,PER,Mrs. Herman Toy
162,20546,20546,PROP,PER,Mummy
163,20548,20549,PROP,PER,Gladys Toy
164,20805,20806,PROP,PER,Mrs. Heuston
165,20874,20876,PROP,PER,Mr. Herman Toy
166,21022,21022,PROP,PER,Father
167,21043,21046,PROP,PER,the Duke of Humber
168,21202,21202,PROP,PER,Cartier
169,21279,21280,PROP,PER,Donna Ottaviana
170,21287,21288,PROP,PER,Donna Rosmunda
171,22420,22420,PROP,PER,VII
172,23287,23288,PROP,PER,Serge Klawhammer
173,23591,23591,PROP,PER,Herodias
174,24156,24156,PROP,PER,Sham
175,24277,24278,PROP,PER,Miss Manford
176,24373,24374,PROP,PER,Jossie Keiler
177,24541,24542,PROP,PER,Mr. Klawhammer
178,24873,24873,PROP,PER,Funny
179,25079,25079,PROP,PER,Klawhammer--
180,25266,25266,PROP,PER,Hullo
181,25481,25481,PROP,PER,VIII
182,26473,26473,PROP,PER,Michelangelo
183,26554,26554,PROP,PER,Proust
184,26636,26636,PROP,PER,Racing
185,26670,26670,PROP,PER,Prattler
186,27734,27735,PROP,PER,Mrs. Lindon
187,27853,27853,PROP,PER,Dick
188,27855,27855,PROP,PER,Harry
189,28408,28408,PROP,PER,Apollo
190,28412,28414,PROP,PER,the Albany Wyants
191,28976,28976,PROP,PER,Prattlers
192,29491,29492,PROP,PER,Grant Lindon
5,33261,33261,PROP,PER,Cedarledge
194,33632,33633,PROP,PER,Luckily Lita
75,34316,34316,PROP,PER,Easter
196,35758,35759,PROP,PER,Aunt Kitty
197,35886,35887,PROP,PER,the Toys
198,36524,36525,PROP,PER,Mrs. Swoffer
199,37047,37048,PROP,PER,Orba Clapp
200,37108,37109,PROP,PER,the Philippines
201,37117,37117,PROP,PER,Montenegro
202,37178,37179,PROP,PER,Alvah Loft
203,37200,37201,PROP,PER,"Mrs. Manford--""one"
204,38448,38449,PROP,PER,The Delavans
205,39022,39022,PROP,PER,Providence
206,39293,39293,PROP,PER,Dexter--
208,39485,39485,PROP,PER,XII
211,41630,41631,PROP,PER,Prester John
212,42803,42803,PROP,PER,Pauline--
213,43327,43329,PROP,PER,Dr. Ygrid Bjornsted
214,45702,45702,PROP,PER,Fate
215,45791,45791,PROP,PER,Stan--
216,46566,46567,PROP,PER,Poor Stan
217,46593,46593,PROP,PER,Nona--
218,47105,47106,PROP,PER,Jack Staley
219,47340,47341,PROP,PER,Poor Jim
221,50753,50755,PROP,PER,the Walter Rivingtons
222,50772,50773,PROP,PER,Mrs. Rivington
223,51046,51046,PROP,PER,Chuck
224,51242,51243,PROP,PER,XV MANFORD
225,52392,52392,PROP,PER,Faugh
226,53069,53069,PROP,PER,Valentino
228,56249,56249,PROP,PER,Swine--
229,57090,57091,PROP,PER,Old Women
230,57412,57413,PROP,PER,Cleo Merrick
232,58933,58934,PROP,PER,Old Jim
233,61310,61311,PROP,PER,Mrs. Manford--
234,64877,64878,PROP,PER,Carlo Dolci
235,64880,64880,PROP,PER,Magdalen
236,67047,67047,PROP,PER,C├®cile
237,67059,67061,PROP,PER,the Maison Herminie
238,67163,67164,PROP,PER,the Cardinal--
240,67717,67717,PROP,PER,Disterman
241,67867,67869,PROP,PER,poor Mrs. Bruss
242,69803,69803,PROP,PER,Cigar
1840,70460,70461,PROP,PER,... Lord
81,72678,72678,PROP,PER,Greenwich
80,72823,72823,PROP,PER,Greystock
245,74067,74067,PROP,PER,Herman'll
246,74710,74710,PROP,PER,Crivelli
247,76607,76607,PROP,PER,Miss.
248,78599,78600,PROP,PER,Dear Arthur
249,78682,78682,PROP,PER,Arthur'd
250,78815,78815,PROP,PER,distinctly!--all
251,79362,79363,PROP,PER,the Manfords
252,79781,79781,PROP,PER,Marchesas
253,79997,79998,PROP,PER,C├ªsar Borgia
254,80255,80256,PROP,PER,the Italians
255,80378,80378,PROP,PER,Lita's
256,80590,80591,PROP,PER,Lucrezia Borgia
257,81013,81014,PROP,PER,Mr. Motts
258,82309,82309,PROP,PER,Michelangelo's
259,84326,84327,PROP,PER,the Spirit
260,84737,84737,PROP,PER,Maisie'll
261,85269,85269,PROP,PER,Few
262,86941,86942,PROP,PER,Sacha Gobine
263,87251,87252,PROP,PER,The Russians
264,88754,88754,PROP,PER,Christ
265,91984,91984,PROP,PER,Mah
266,92694,92695,PROP,PER,That Raeburn
267,94405,94406,PROP,PER,the Sargent
269,95932,95932,PROP,PER,Burglars
272,100377,100377,PROP,PER,Antony
273,100379,100379,PROP,PER,Cleopatra
274,100706,100706,PROP,PER,Dusk
