text,Titles
Manchester,mary_barton
Yorkshire,mary_barton
Ancoats,mary_barton
Cumberland,mary_barton
Westmoreland,mary_barton
Burton,mary_barton
Milnthorpe,mary_barton
Lancaster,mary_barton
Runcorn,mary_barton
Liverpool,mary_barton
South America,mary_barton
France,mary_barton
Lancashire,mary_barton
Edad,mary_barton
Lunnon,mary_barton
Oldham,mary_barton
Whitsun,mary_barton
Oxford Road,mary_barton
London,mary_barton
Heaven,mary_barton
Portugal,mary_barton
Stoke Claypole,mary_barton
Nottingham,mary_barton
Sheffield,mary_barton
Glasgow,mary_barton
Oxfordshire,mary_barton
England,mary_barton
Anglo - Saxon,mary_barton
Dives,mary_barton
Holborn,mary_barton
Deansgate,mary_barton
Brummagem,mary_barton
Creseide,mary_barton
Bolton,mary_barton
Bury,mary_barton
Halifax,mary_barton
Africa,mary_barton
Sierra Leone,mary_barton
Chatham Island,mary_barton
Aber,mary_barton
Wales,mary_barton
Madeira,mary_barton
America,mary_barton
Yankee - Land,mary_barton
Boston,mary_barton
Chester,mary_barton
Ireland,mary_barton
Bristol,mary_barton
Burnley,mary_barton
Padiham,mary_barton
Sartor Resartus,mary_barton
Newcastle,mary_barton
Ramsay,mary_barton
Glasgow?--Seek,mary_barton
China,mary_barton
British,mary_barton
CORINTH,mary_barton
GUISE,mary_barton
Arnside,mary_barton
Kirkdale,mary_barton
Man,mary_barton
Liverpool Assize,mary_barton
La,mary_barton
Newton,mary_barton
Rhyl,mary_barton
Abergele,mary_barton
New Brighton,mary_barton
Liverpool Assize Courts to - morrow,mary_barton
Holyhead,mary_barton
India,mary_barton
Cheshire,mary_barton
CYMBELINE,mary_barton
Hamburg,mary_barton
Salford,mary_barton
Canada,mary_barton
"at Toronto , in Canada",mary_barton
Toronto,mary_barton
Merica,mary_barton
