COREF,start_token,end_token,prop,cat,text
1,62,62,PROP,GPE,Hamley
2,506,506,PROP,GPE,Eton
4,686,686,PROP,GPE,London
6,1107,1107,PROP,GPE,#¿NOMBRE?
7,1189,1189,PROP,GPE,Paris
8,1191,1191,PROP,GPE,Rome
9,1988,1988,PROP,GPE,England
10,6929,6929,PROP,GPE,Scotland
12,7277,7278,PROP,GPE,South Wales
14,8823,8823,PROP,GPE,Cambridge
73,14872,14872,PROP,GPE,Ellinor
17,15035,15035,PROP,GPE,Shropshire
22,28881,28881,PROP,GPE,Hartwell
24,31281,31281,PROP,GPE,Yorkshire
25,32044,32044,PROP,GPE,America
26,35555,35555,PROP,GPE,Liverpool
29,40756,40756,PROP,GPE,Easter
30,41863,41863,PROP,GPE,Hinton
31,43051,43051,PROP,GPE,August
32,44221,44221,PROP,GPE,Westley
33,49304,49305,PROP,GPE,East Chester
36,51216,51218,PROP,GPE,East Chester Close
39,51913,51913,PROP,GPE,Norman
42,59109,59110,PROP,GPE,Nova Zembla
44,61416,61416,PROP,GPE,Lyons
45,61418,61418,PROP,GPE,Marseilles
50,63764,63764,PROP,GPE,Ireland
51,63803,63803,PROP,GPE,Tralee
52,64938,64938,PROP,GPE,Midland
53,64971,64971,PROP,GPE,Civita
54,65734,65734,PROP,GPE,Ashcombe
56,67403,67403,PROP,GPE,Elba
57,67969,67969,PROP,GPE,Hellingford
60,73425,73426,PROP,GPE,Botany Bay
61,73450,73450,PROP,GPE,Heaven
62,74319,74321,PROP,GPE,Hyde Park Gardens
38,74505,74507,PROP,GPE,East Chester Cathedral
65,78616,78616,PROP,GPE,Bromham
