COREF,start_token,end_token,prop,cat,text
1,9,9,PROP,GPE,Cranford
2,92,92,PROP,GPE,Drumble
3,514,514,PROP,GPE,England
4,579,579,PROP,GPE,London
6,1578,1578,PROP,GPE,Coventry
7,2121,2121,PROP,GPE,Alderney
9,3692,3692,PROP,GPE,Edinburgh
10,3804,3805,PROP,GPE,Edinbro â€™
12,10703,10703,PROP,GPE,Scotland
14,10862,10862,PROP,GPE,Rome
15,13595,13595,PROP,GPE,India
16,14900,14900,PROP,GPE,Misselton
19,15845,15845,PROP,GPE,Woodley
20,17764,17764,PROP,GPE,March
22,18700,18700,PROP,GPE,Paris
24,24598,24598,PROP,GPE,Idumea
25,24608,24608,PROP,GPE,Etruria
26,24661,24665,PROP,GPE,Newcastle - upon - Tyne
27,24696,24696,PROP,GPE,Buonaparte
30,24779,24779,PROP,GPE,Northumberland
31,24781,24781,PROP,GPE,Cumberland
32,24847,24847,PROP,GPE,Newcastle
33,25110,25110,PROP,GPE,Abaddon
34,25165,25165,PROP,GPE,Shrewsbury
35,25405,25405,PROP,GPE,Ireland
36,25674,25674,PROP,GPE,Cambridge
37,29164,29164,PROP,GPE,Liverpool
40,32437,32437,PROP,GPE,Preference
42,32928,32928,PROP,GPE,Exeter
43,39994,39994,PROP,GPE,Court
44,43443,43443,PROP,GPE,Warsaw
45,43919,43919,PROP,GPE,Endor
46,47061,47061,PROP,GPE,Spain
47,47471,47471,PROP,GPE,Mardon
48,49542,49542,PROP,GPE,Cheltenham
49,50773,50774,PROP,GPE,Over Place
53,53986,53986,PROP,GPE,Wellington
54,57228,57228,PROP,GPE,Calcutta
56,57361,57361,PROP,GPE,Warwickshire
57,58173,58173,PROP,GPE,Chunderabaddad
58,58731,58732,PROP,GPE,Lalla Rookh
59,58787,58787,PROP,GPE,Kalydor
60,59154,59154,PROP,GPE,China
61,59156,59156,PROP,GPE,Peru
64,67055,67055,PROP,GPE,County
66,73422,73422,PROP,GPE,Combehurst
67,76383,76383,PROP,GPE,Souchong
68,76399,76399,PROP,GPE,Pekoe
69,79869,79869,PROP,GPE,Portsmouth
70,80374,80374,PROP,GPE,Rangoon
73,83640,83640,PROP,GPE,Delhi
