COREF,start_token,end_token,prop,cat,text
1,32,32,PROP,GPE,Manchester
2,94,94,PROP,GPE,Yorkshire
8,5330,5330,PROP,GPE,Ancoats
10,6519,6519,PROP,GPE,Cumberland
12,13856,13856,PROP,GPE,Westmoreland
13,14591,14591,PROP,GPE,Burton
14,14620,14620,PROP,GPE,Milnthorpe
15,14622,14622,PROP,GPE,Lancaster
16,16263,16263,PROP,GPE,Runcorn
17,16304,16304,PROP,GPE,Liverpool
18,16382,16383,PROP,GPE,South America
19,16466,16466,PROP,GPE,France
20,16629,16629,PROP,GPE,Lancashire
21,17140,17140,PROP,GPE,Edad
22,17167,17167,PROP,GPE,Lunnon
23,17913,17913,PROP,GPE,Oldham
25,18186,18186,PROP,GPE,Whitsun
27,21685,21686,PROP,GPE,Oxford Road
28,23665,23665,PROP,GPE,London
278,30830,30830,PROP,GPE,Heaven
36,34020,34020,PROP,GPE,Portugal
39,36523,36524,PROP,GPE,Stoke Claypole
42,42559,42559,PROP,GPE,Nottingham
43,42561,42561,PROP,GPE,Sheffield
44,42563,42563,PROP,GPE,Glasgow
45,43692,43692,PROP,GPE,Oxfordshire
46,46325,46325,PROP,GPE,England
47,46572,46574,PROP,GPE,Anglo - Saxon
139,49709,49709,PROP,GPE,Dives
53,49910,49910,PROP,GPE,Holborn
54,50144,50144,PROP,GPE,Deansgate
56,52716,52716,PROP,GPE,Brummagem
59,69846,69846,PROP,GPE,Creseide
60,72626,72626,PROP,GPE,Bolton
61,72629,72629,PROP,GPE,Bury
62,72635,72635,PROP,GPE,Halifax
64,75042,75042,PROP,GPE,Africa
66,77074,77075,PROP,GPE,Sierra Leone
67,77465,77466,PROP,GPE,Chatham Island
69,78209,78209,PROP,GPE,Aber
70,78211,78211,PROP,GPE,Wales
71,79096,79096,PROP,GPE,Madeira
72,79916,79916,PROP,GPE,America
73,80024,80026,PROP,GPE,Yankee - Land
74,80066,80066,PROP,GPE,Boston
76,82509,82509,PROP,GPE,Chester
77,82760,82760,PROP,GPE,Ireland
78,82769,82769,PROP,GPE,Bristol
79,89048,89048,PROP,GPE,Burnley
80,89050,89050,PROP,GPE,Padiham
81,93866,93867,PROP,GPE,Sartor Resartus
82,95666,95666,PROP,GPE,Newcastle
84,98597,98597,PROP,GPE,Ramsay
85,99002,99002,PROP,GPE,Glasgow?--Seek
86,100175,100175,PROP,GPE,China
87,101580,101580,PROP,GPE,British
88,103694,103694,PROP,GPE,CORINTH
89,103718,103718,PROP,GPE,GUISE
91,110648,110648,PROP,GPE,Arnside
94,128847,128847,PROP,GPE,Kirkdale
95,129980,129980,PROP,GPE,Man
96,130908,130909,PROP,GPE,Liverpool Assize
100,140730,140730,PROP,GPE,La
177,144277,144277,PROP,GPE,Newton
104,145932,145932,PROP,GPE,Rhyl
105,145947,145947,PROP,GPE,Abergele
107,148902,148903,PROP,GPE,New Brighton
109,150602,150607,PROP,GPE,Liverpool Assize Courts to - morrow
110,151130,151130,PROP,GPE,Holyhead
113,156497,156497,PROP,GPE,India
114,156629,156629,PROP,GPE,Cheshire
116,169644,169644,PROP,GPE,CYMBELINE
119,178396,178396,PROP,GPE,Hamburg
121,181787,181787,PROP,GPE,Salford
122,182976,182976,PROP,GPE,Canada
123,190010,190014,PROP,GPE,"at Toronto , in Canada"
124,190011,190011,PROP,GPE,Toronto
125,196670,196670,PROP,GPE,Merica
