COREF,start_token,end_token,prop,cat,text
1,88,88,PROP,GPE,Scotland
2,1082,1082,PROP,GPE,London
3,1094,1094,PROP,GPE,Connington
4,1464,1464,PROP,GPE,Cavistock
7,1685,1686,PROP,GPE,Hanbury Court
9,2722,2722,PROP,GPE,England
10,2840,2840,PROP,GPE,"called,â€”then"
11,4850,4850,PROP,GPE,Shrewsbury
12,5870,5870,PROP,GPE,Oakfield
13,6097,6097,PROP,GPE,Hanbury
14,7066,7066,PROP,GPE,Weymouth
16,7428,7428,PROP,GPE,Oxford
17,7615,7615,PROP,GPE,Germany
19,9768,9768,PROP,GPE,Hathaway
22,11533,11533,PROP,GPE,Paris
23,11535,11535,PROP,GPE,Versailles
24,11543,11548,PROP,GPE,"youth,â€”at Windsor and Kew and Weymouth"
25,11544,11544,PROP,GPE,Windsor
26,11546,11546,PROP,GPE,Kew
28,12458,12458,PROP,GPE,Holmwood
29,13063,13064,PROP,GPE,St. Stephen
31,13740,13740,PROP,GPE,Henley
32,15540,15540,PROP,GPE,Florence
33,15558,15558,PROP,GPE,Rome
34,16325,16325,PROP,GPE,Venice
92,17885,17885,PROP,GPE,Ludlow
38,19079,19079,PROP,GPE,Birmingham
40,21009,21009,PROP,GPE,Warwick
41,21588,21588,PROP,GPE,Genesis?â€”No
45,27266,27266,PROP,GPE,France
166,30444,30444,PROP,GPE,Monkshaven
49,31061,31061,PROP,GPE,Sussex
50,31081,31081,PROP,GPE,Dieppe
51,32785,32785,PROP,GPE,"Paris,â€”came"
55,33697,33697,PROP,GPE,Normandy
56,34233,34233,PROP,GPE,Brittany
57,37512,37512,PROP,GPE,Devonshire
58,37525,37525,PROP,GPE,Dartmoor
61,44226,44228,PROP,GPE,Faubourg Saint Germain
171,45968,45968,PROP,GPE,Jacques
152,46777,46777,PROP,GPE,Urian
193,47180,47180,PROP,GPE,Norman
67,52139,52141,PROP,GPE,â€™s Scottish estates
68,64802,64802,PROP,GPE,Comberford
165,67106,67106,PROP,GPE,Heaven
70,69761,69761,PROP,GPE,Vienna
71,74139,74139,PROP,GPE,Holkham
72,74141,74141,PROP,GPE,Woburn
73,74402,74402,PROP,GPE,Trafalgar
77,77883,77883,PROP,GPE,Westmoreland
267,78333,78333,PROP,GPE,Laurentia
80,78634,78634,PROP,GPE,Albano
82,79849,79849,PROP,GPE,Italy
85,80062,80062,PROP,GPE,Naples
87,84722,84722,PROP,GPE,Norfolk
89,90012,90012,PROP,GPE,Egypt
91,90890,90890,PROP,GPE,Merribank
