COREF,start_token,end_token,prop,cat,text
2,204,204,PROP,GPE,Corfu
3,256,256,PROP,GPE,Scotland
4,1006,1006,PROP,GPE,Belgravia
5,1339,1339,PROP,GPE,Delhi
6,1938,1938,PROP,GPE,London
7,2092,2092,PROP,GPE,Naples
8,3468,3468,PROP,GPE,Helstone
9,3678,3678,PROP,GPE,England
10,4498,4498,PROP,GPE,Italy
12,7098,7098,PROP,GPE,Southampton
15,7966,7966,PROP,GPE,Rio
16,8087,8087,PROP,GPE,Rutlandshire
18,9088,9088,PROP,GPE,Plymouth
20,15126,15126,PROP,GPE,Carsington
21,15129,15129,PROP,GPE,Derbyshire
22,15321,15321,PROP,GPE,Israel
23,16297,16299,PROP,GPE,Milton - Northern
24,16364,16364,PROP,GPE,Darkshire
179,16999,16999,PROP,GPE,Milton
27,17150,17150,PROP,GPE,Oxford
29,17177,17177,PROP,GPE,Northern
34,23646,23646,PROP,GPE,Heston
35,24117,24117,PROP,GPE,Torquay
36,24917,24917,PROP,GPE,"London,â€”going"
40,28205,28205,PROP,GPE,Hampshire
41,28276,28276,PROP,GPE,Crampton
43,31194,31194,PROP,GPE,Wales
45,32495,32495,PROP,GPE,Cambridge
47,34581,34581,PROP,GPE,Burnleyways
54,34597,34597,PROP,GPE,North
56,45129,45129,PROP,GPE,COUNCIL
59,51654,51654,PROP,GPE,Cadiz
64,53633,53634,PROP,GPE,South America
65,53652,53652,PROP,GPE,Spain
67,55825,55825,PROP,GPE,Europe
68,57503,57503,PROP,GPE,Ashley
69,58981,58981,PROP,GPE,Utopia
70,59490,59490,PROP,GPE,Nuremberg
74,69516,69516,PROP,GPE,Sorrento
75,70417,70417,PROP,GPE,Collingbrooks
77,72336,72336,PROP,GPE,Ireland
80,78765,78765,PROP,GPE,NORMANDY
81,82537,82537,PROP,GPE,Patmos
88,101965,101965,PROP,GPE,Oxenham
89,107480,107480,PROP,GPE,"Milton,â€”more"
92,121442,121442,PROP,GPE,SOUTHWELL
93,126764,126764,PROP,GPE,Mexico
58,126920,126920,PROP,GPE,Heaven
95,132112,132112,PROP,GPE,Liverpool
96,132958,132958,PROP,GPE,Outwood
97,150418,150418,PROP,GPE,Greenfield
98,162365,162365,PROP,GPE,Hurstfield
101,172335,172335,PROP,GPE,Badoura
103,176623,176623,PROP,GPE,Hayleigh
105,179985,179985,PROP,GPE,Havre
108,180877,180877,PROP,GPE,Venice
110,189569,189569,PROP,GPE,Lunnon
111,192760,192760,PROP,GPE,Australia
113,198814,198814,PROP,GPE,Denmark
114,211129,211129,PROP,GPE,Paris
424,212482,212482,PROP,GPE,Cromer
117,213428,213428,PROP,GPE,America
119,219225,219225,PROP,GPE,Hampstead
120,222625,222625,PROP,GPE,NEWCASTLE
121,222628,222628,PROP,GPE,TYNE
