COREF,start_token,end_token,prop,cat,text
1,108,108,PROP,GPE,Belgium
2,565,565,PROP,GPE,Waverhams
3,578,578,PROP,GPE,London
7,12292,12293,PROP,GPE,Heneage Place
9,14438,14438,PROP,GPE,Norfolk
10,15075,15075,PROP,GPE,Potosi
12,17234,17234,PROP,GPE,Milham
13,17311,17311,PROP,GPE,Lowford
15,17336,17337,PROP,GPE,Milham Grange
16,22342,22342,PROP,GPE,Henbury
17,23525,23525,PROP,GPE,Paris
18,25559,25560,PROP,GPE,North Wales
19,26077,26077,PROP,GPE,Voelas
21,28380,28380,PROP,GPE,England
22,28382,28382,PROP,GPE,Wales
23,28646,28646,PROP,GPE,Conway
127,32379,32379,PROP,GPE,Welsh
27,45004,45004,PROP,GPE,Fordham
30,53871,53871,PROP,GPE,Carnarvon
31,54859,54861,PROP,GPE,Llan - dhu
32,55179,55179,PROP,GPE,America
33,55187,55187,PROP,GPE,China
34,55196,55196,PROP,GPE,Gibraltar
35,55201,55201,PROP,GPE,Spain
36,55467,55467,PROP,GPE,Eccleston
80,63647,63647,PROP,GPE,George
38,69082,69082,PROP,GPE,Lunnon
173,70141,70141,PROP,GPE,Jerry
40,78206,78206,PROP,GPE,Holland
41,78240,78240,PROP,GPE,Smithiles
43,80751,80751,PROP,GPE,Derby
44,82325,82325,PROP,GPE,Liverpool
45,82467,82467,PROP,GPE,Chancery
47,102751,102751,PROP,GPE,Germany
50,105448,105448,PROP,GPE,Abermouth
51,105871,105871,PROP,GPE,Cranworth
52,108035,108035,PROP,GPE,Utopia
53,110786,110786,PROP,GPE,Corioli
54,111425,111425,PROP,GPE,Wakefield
55,111432,111432,PROP,GPE,Scarborough
56,121153,121153,PROP,GPE,Heaven
63,145324,145326,PROP,GPE,Scaurside - hill
253,149874,149874,PROP,GPE,Helmsby
65,149922,149922,PROP,GPE,Lincolnshire
66,157845,157845,PROP,GPE,Baden
68,162293,162293,PROP,GPE,Scotland
69,177494,177494,PROP,GPE,Glasgow
