COREF,start_token,end_token,prop,cat,text
1,10,10,PROP,GPE,England
2,16,16,PROP,GPE,Monkshaven
6,2032,2032,PROP,GPE,Europe
9,2482,2482,PROP,GPE,France
10,2955,2955,PROP,GPE,Portsmouth
11,2957,2957,PROP,GPE,Plymouth
12,3215,3215,PROP,GPE,York
14,4255,4255,PROP,GPE,GREENLAND
26,15860,15860,PROP,GPE,Yorkshire
27,16949,16949,PROP,GPE,Amerikay
225,19804,19809,PROP,GPE,his Hollands - and - water
29,20502,20502,PROP,GPE,Haytersbank
31,21778,21778,PROP,GPE,Sheba
32,24675,24675,PROP,GPE,Hartlepool
17,24716,24719,PROP,GPE,St Abb 's Head
239,25308,25308,PROP,GPE,Aurora
37,26133,26133,PROP,GPE,Sunday
40,30213,30213,PROP,GPE,Iceland
46,33802,33802,PROP,GPE,Northumberland
49,38022,38022,PROP,GPE,London
51,39042,39042,PROP,GPE,Newcastle
52,39944,39944,PROP,GPE,Cumberland
54,41039,41039,PROP,GPE,Horncastle
55,41757,41757,PROP,GPE,Hull
56,42096,42096,PROP,GPE,Cullercoats
58,43340,43340,PROP,GPE,Abednego
59,44407,44407,PROP,GPE,Nelson
64,48012,48012,PROP,GPE,Hell
65,48630,48630,PROP,GPE,Whitby
66,51081,51081,PROP,GPE,Prestons
67,51113,51113,PROP,GPE,Slaideburn
68,62128,62128,PROP,GPE,Newcassel
69,63737,63737,PROP,GPE,Shields
71,67573,67573,PROP,GPE,Lancashire
73,79186,79186,PROP,GPE,Wales
76,83928,83928,PROP,GPE,Winthrop
77,84784,84784,PROP,GPE,March
78,87927,87927,PROP,GPE,Whitehaven
81,89784,89784,PROP,GPE,Sandsend
83,90535,90536,PROP,GPE,North Shields
84,91423,91423,PROP,GPE,Middleham
86,94088,94088,PROP,GPE,Spitalfields
87,95367,95367,PROP,GPE,Lunnon
88,97138,97138,PROP,GPE,"Lunnon,--I"
89,97175,97175,PROP,GPE,Gravesend
90,97505,97505,PROP,GPE,York---
91,97567,97567,PROP,GPE,Durham
92,97878,97878,PROP,GPE,Yesterbarrow
93,99870,99870,PROP,GPE,fourscore
94,100405,100405,PROP,GPE,Norroway
97,106766,106766,PROP,GPE,Haman
82,109066,109066,PROP,GPE,Urania
242,109144,109144,PROP,GPE,Corneys
209,114578,114578,PROP,GPE,Hester
107,116560,116560,PROP,GPE,Tynemouth
108,116705,116705,PROP,GPE,Tadcaster
111,125349,125349,PROP,GPE,Randyvowse
112,129983,129983,PROP,GPE,Haverstone
113,132127,132127,PROP,GPE,Bridewell
114,133367,133368,PROP,GPE,York Castle
115,134509,134509,PROP,GPE,Collyton
117,135354,135354,PROP,GPE,George
122,144235,144236,PROP,GPE,York Minster
127,157241,157242,PROP,GPE,'s Bay
202,167507,167507,PROP,GPE,Kinraid
131,170796,170796,PROP,GPE,Esdale
188,194051,194051,PROP,GPE,Sylvia
233,194722,194722,PROP,GPE,Martinmas
140,195005,195005,PROP,GPE,Wakefield
141,195008,195008,PROP,GPE,Dublin
143,197332,197334,PROP,GPE,St Jean d'Acre
144,197593,197593,PROP,GPE,Paris
145,197818,197818,PROP,GPE,Acre
150,200308,200308,PROP,GPE,Dartmoor
151,200310,200310,PROP,GPE,Devonshire
152,201100,201100,PROP,GPE,Hartswell
154,202117,202117,PROP,GPE,Bristol
156,207449,207449,PROP,GPE,Jaffa
157,207457,207457,PROP,GPE,Joppa
159,207490,207490,PROP,GPE,Palestine
161,208620,208620,PROP,GPE,Jerusalem
164,210223,210224,PROP,GPE,Old England
165,210250,210251,PROP,GPE,Rule Britannia
166,210593,210593,PROP,GPE,Somersetshire
167,210701,210701,PROP,GPE,Potterne
168,210712,210713,PROP,GPE,Salisbury Plain
170,213415,213415,PROP,GPE,the----th
171,213994,213994,PROP,GPE,Quebec
173,215309,215309,PROP,GPE,Christendom
174,215335,215335,PROP,GPE,Warwick
181,233125,233125,PROP,GPE,America
