COREF,start_token,end_token,prop,cat,text
1,464,464,PROP,GPE,Hollingford
162,836,836,PROP,GPE,Cumnor
5,3107,3107,PROP,GPE,Whitsuntide
7,9680,9680,PROP,GPE,France
8,12518,12518,PROP,GPE,London
9,13324,13324,PROP,GPE,Paris
211,18521,18521,PROP,GPE,Hamley
13,18927,18927,PROP,GPE,Oxford
14,19812,19812,PROP,GPE,Rugby
15,19814,19814,PROP,GPE,Cambridge
16,20213,20213,PROP,GPE,Trinity
17,21253,21253,PROP,GPE,England
18,22206,22206,PROP,GPE,India
20,26348,26348,PROP,GPE,Scylla
24,34270,34270,PROP,GPE,Lammermoor
26,37042,37042,PROP,GPE,Newport
28,39633,39633,PROP,GPE,DANGER
29,43745,43745,PROP,GPE,Maidenhead
30,43858,43858,PROP,GPE,Eton
31,44139,44139,PROP,GPE,Ashcombe
32,44929,44929,PROP,GPE,Ashcombe'--um
33,45493,45493,PROP,GPE,Boulogne
34,47838,47838,PROP,GPE,Chelsea
274,60862,60862,PROP,GPE,Michaelmas
41,77856,77856,PROP,GPE,Iceland
42,82003,82003,PROP,GPE,Canonbury
43,82995,82995,PROP,GPE,Ivanhoe
45,84808,84808,PROP,GPE,Russia
46,84810,84810,PROP,GPE,Prussia
50,96976,96976,PROP,GPE,Bath
51,96978,96978,PROP,GPE,Brighton
52,100835,100835,PROP,GPE,Belgium
57,116082,116082,PROP,GPE,Dover
58,117997,117997,PROP,GPE,York
59,118000,118000,PROP,GPE,Matlock
61,121378,121378,PROP,GPE,Scotland
66,129798,129798,PROP,GPE,Despair
67,130070,130070,PROP,GPE,Warwickshire
68,131170,131170,PROP,GPE,Australia
69,131509,131509,PROP,GPE,Alsace
70,131876,131876,PROP,GPE,Germany
71,132014,132014,PROP,GPE,Wales
72,132061,132061,PROP,GPE,White
74,133636,133636,PROP,GPE,Chillon
76,136344,136344,PROP,GPE,Coreham
78,142160,142160,PROP,GPE,Somerton
354,142469,142469,PROP,GPE,Menteith
167,147118,147118,PROP,GPE,mamma
82,148044,148044,PROP,GPE,June
83,151883,151883,PROP,GPE,Winchester
85,152347,152347,PROP,GPE,Metz
88,161674,161674,PROP,GPE,Rowe
89,167750,167751,PROP,GPE,West Spinney
90,172212,172212,PROP,GPE,Combermere
91,175102,175102,PROP,GPE,Waterloo
93,175929,175929,PROP,GPE,Rome
94,175949,175949,PROP,GPE,August
95,176217,176217,PROP,GPE,Strasbourg
96,176486,176486,PROP,GPE,Prestham
98,180857,180857,PROP,GPE,Crichton
100,185613,185613,PROP,GPE,Havre
101,188046,188046,PROP,GPE,America
103,205476,205476,PROP,GPE,Moscow
104,207300,207300,PROP,GPE,Abyssinia
105,207302,207302,PROP,GPE,Huon
106,208933,208933,PROP,GPE,March
107,219515,219515,PROP,GPE,Spa
109,222762,222762,PROP,GPE,Africa
111,223652,223652,PROP,GPE,Henwick
112,225208,225208,PROP,GPE,Stratford
114,226480,226480,PROP,GPE,Arracuoba
121,236873,236873,PROP,GPE,Worcester
122,237925,237925,PROP,GPE,Mdme
123,240012,240013,PROP,GPE,London Kirkpatricks
124,247528,247528,PROP,GPE,Switzerland
125,249466,249466,PROP,GPE,Bishopsfield
131,269453,269453,PROP,GPE,BAY
133,278528,278528,PROP,GPE,November
137,289401,289401,PROP,GPE,Feversham
141,296358,296358,PROP,GPE,Harrow
144,298101,298102,PROP,GPE,Cape Town
147,306396,306396,PROP,GPE,ADIEUX
148,306667,306667,PROP,GPE,Birmingham
149,307314,307314,PROP,GPE,Atherstone
150,308248,308248,PROP,GPE,Carthage
151,311345,311345,PROP,GPE,Edinburgh
153,327280,327281,PROP,GPE,Sussex Place
154,327661,327661,PROP,GPE,Calais
