COREF;start_token;end_token;prop;cat;text
275;2;2;PRON;PER;OUR
1;9;9;PROP;GPE;Cranford
276;14;15;NOM;PER;the Amazons
277;17;25;NOM;PER;all the holders of houses above a certain rent
278;21;25;NOM;FAC;houses above a certain rent
279;27;27;NOM;PER;women
280;30;32;NOM;PER;a married couple
281;37;38;NOM;GPE;the town
282;41;42;NOM;PER;the gentleman
282;45;45;PRON;PER;he
283;54;61;NOM;PER;the only man in the Cranford evening parties
1;59;59;PROP;GPE;Cranford
282;64;64;PRON;PER;he
282;71;71;PRON;PER;his
284;71;72;NOM;ORG;his regiment
282;74;74;PRON;PER;his
285;74;75;NOM;VEH;his ship
286;86;92;NOM;GPE;the great neighbouring commercial town of Drumble
2;92;92;PROP;GPE;Drumble
287;99;100;NOM;FAC;a railroad
288;109;110;NOM;PER;the gentlemen
288;112;112;PRON;PER;they
1;116;116;PROP;GPE;Cranford
288;120;120;PRON;PER;they
288;123;123;PRON;PER;they
289;125;125;NOM;FAC;there
290;127;128;NOM;PER;The surgeon
290;130;130;PRON;PER;his
1;139;139;PROP;GPE;Cranford
291;142;143;NOM;PER;every man
292;147;148;NOM;PER;a surgeon
293;152;154;NOM;FAC;the trim gardens
294;169;180;NOM;PER;little boys who look wistfully at the said flowers through the railings
295;193;194;NOM;FAC;the gardens
288;212;212;PRON;PER;themselves
296;226;226;NOM;PER;everybody
297;230;231;NOM;GPE;the parish
288;235;235;PRON;PER;their
298;235;239;NOM;PER;their neat maid - servants
299;251;252;NOM;PER;the poor
288;263;263;PRON;PER;they
300;268;271;NOM;PER;the ladies of Cranford
1;271;271;PROP;GPE;Cranford
2058;277;278;NOM;PER;A man
300;284;284;PRON;PER;them
0;287;287;PRON;PER;me
2059;299;300;NOM;FAC;the house
300;304;307;NOM;PER;the ladies of Cranford
1;307;307;PROP;GPE;Cranford
302;310;311;NOM;PER;each other
300;315;315;PRON;PER;they
302;320;321;NOM;PER;each other
304;328;328;NOM;PER;each
304;330;330;PRON;PER;her
300;360;360;PRON;PER;them
305;366;368;NOM;PER;The Cranford ladies
305;398;398;PRON;PER;their
305;405;405;PRON;PER;Their
305;414;414;PRON;PER;they
305;423;423;PRON;PER;we
1;427;427;PROP;GPE;Cranford
296;430;430;NOM;PER;everybody
305;432;432;PRON;PER;us
305;437;437;PRON;PER;they
306;440;440;NOM;FAC;home
305;442;442;PRON;PER;their
305;454;454;PRON;PER;we
2061;459;459;NOM;PER;nobody
305;461;461;PRON;PER;us
305;467;467;PRON;PER;their
305;481;481;PRON;PER;them
74;487;488;PROP;PER;Miss Tyler
0;495;495;PRON;PER;I
3;514;514;PROP;GPE;England
1;519;519;PROP;GPE;Cranford
0;537;537;PRON;PER;I
307;550;559;NOM;PER;a gentle little spinster , left alone of many brothers
308;561;561;NOM;PER;sisters
309;567;567;NOM;FAC;church
310;573;573;PRON;PER;you
4;579;579;PROP;GPE;London
311;581;581;PRON;PER;We
1;594;594;PROP;GPE;Cranford
312;597;599;NOM;PER;the little boys
313;601;601;PRON;PER;it
0;622;622;PRON;PER;I
314;628;630;NOM;PER;a strong father
315;632;636;NOM;PER;a troop of little ones
316;635;636;NOM;PER;little ones
317;638;641;NOM;PER;the poor little lady
318;643;646;NOM;PER;the survivor of all
