COREF,start_token,end_token,prop,cat,text
66,18,20,PROP,PER,one Mr. Wilkins
67,2105,2106,PROP,PER,Miss Lamotte
68,2143,2145,PROP,PER,Sir Frank Holster
69,2182,2182,PROP,PER,Lettice
70,2187,2189,PROP,PER,Sir Mark Holster
71,2195,2196,PROP,PER,H. Lamotte
72,2246,2247,PROP,PER,Mark Lamotte
73,3302,3302,PROP,PER,Ellinor
74,3390,3390,PROP,PER,Mamma
75,3961,3961,PROP,PER,Baby
76,4493,4494,PROP,PER,Lady Holster
77,4653,4654,PROP,PER,Miss Monro
78,4699,4699,PROP,PER,Adam
79,4701,4701,PROP,PER,Eve
80,5127,5128,PROP,PER,Mr. Ness
81,5231,5232,PROP,PER,Mr. Corbet
82,7198,7199,PROP,PER,Holster Court
83,7289,7290,PROP,PER,De Winton
84,7713,7714,PROP,PER,Mr. Dunster
85,8378,8380,PROP,PER,the Welsh Wilkinses
86,8477,8477,PROP,PER,Dixon
1,8868,8868,PROP,PER,Hamley
88,9273,9274,PROP,PER,Miss Dolly
89,9554,9554,PROP,PER,Missy
92,13338,13339,PROP,PER,Mr. Hetherington
93,13377,13381,PROP,PER,stern old Sir Lionel Playfair
94,14894,14894,PROP,PER,Wildfire
95,15118,15122,PROP,PER,the South Wales De Wintons
96,15236,15237,PROP,PER,Captain Corbet
97,15252,15254,PROP,PER,Lady Maria Brabant
98,15302,15303,PROP,PER,the Corbets
99,15332,15333,PROP,PER,Mrs. Corbet
100,15475,15524,PROP,PER,"the De Wintons of --- Castle , who , as she well knew , only laughed when he was spoken of , and said they were more rich in relations than they were aware of""--""not people papa would ever like her to know , whatever might be the family connection"
101,15624,15624,PROP,PER,Solomon
102,15779,15780,PROP,PER,DEAR RALPH
103,15793,15793,PROP,PER,Bromley
104,15987,15987,PROP,PER,Reginald
105,16176,16176,PROP,PER,Nature
106,16366,16367,PROP,PER,Miss Wilkins
107,16596,16597,PROP,PER,Lord Hildebrand
108,16655,16655,PROP,PER,Hancock
