COREF,start_token,end_token,prop,cat,text
74,487,488,PROP,PER,Miss Tyler
75,952,953,PROP,PER,the Spartans
76,993,994,PROP,PER,The Cranfordians
77,1022,1023,PROP,PER,Mrs Forrester
78,1339,1342,PROP,PER,the Honourable Mrs Jamieson
79,1354,1358,PROP,PER,the late Earl of Glenmire
80,1430,1431,PROP,PER,Captain Brown
81,2117,2119,PROP,PER,Miss Betsy Barker
82,2187,2187,PROP,PER,Everybody
7,2330,2331,PROP,PER,the Alderney
84,2368,2368,PROP,PER,Meekly
85,2485,2486,PROP,PER,Miss Brown
86,2556,2557,PROP,PER,Miss Jenkyns
87,3089,3091,PROP,PER,the Miss Browns
88,3598,3598,PROP,PER,Hazeldean
89,3774,3775,PROP,PER,Miss Pole
90,3908,3910,PROP,PER,The Pickwick Papers
91,4052,4053,PROP,PER,Dr Johnson
92,4227,4228,PROP,PER,Sam Weller
93,4281,4281,PROP,PER,Rasselas
94,4332,4333,PROP,PER,Mr Boz
95,4349,4349,PROP,PER,Imlac
96,5020,5021,PROP,PER,the Cranford
97,5260,5260,PROP,PER,Cross
98,5760,5761,PROP,PER,Miss Matty
99,5808,5808,PROP,PER,Deborah
100,6086,6087,PROP,PER,Lord Mauleverer
101,6277,6278,PROP,PER,Mrs Johnson
102,7118,7119,PROP,PER,Miss Jessie!â€”â€œI
103,7803,7803,PROP,PER,God
104,7871,7871,PROP,PER,Jenny
2132,8178,8179,PROP,PER,O Lord
105,8433,8434,PROP,PER,Mr Hoggins
106,9795,9795,PROP,PER,Harry
107,9797,9797,PROP,PER,Archy;â€â€”then
108,10496,10497,PROP,PER,Major Gordon
109,10776,10776,PROP,PER,Mary
110,11052,11053,PROP,PER,Mrs Gordon
111,11181,11183,PROP,PER,Little Flora Gordon
112,11187,11189,PROP,PER,the Misses Jenkyns
113,11377,11377,PROP,PER,Lucy
114,12265,12265,PROP,PER,Fanny
2186,12746,12746,PROP,PER,Missus
115,13633,13634,PROP,PER,Major Jenkyns
116,13907,13908,PROP,PER,Mrs Jenkyns
117,14266,14268,PROP,PER,the East Indian
118,14312,14313,PROP,PER,Blue Beard
119,14532,14533,PROP,PER,Thomas Holbrook
120,14733,14734,PROP,PER,Cousin Thomas
121,14799,14801,PROP,PER,Sir Peter Arley
19,14886,14886,PROP,PER,Woodley
16,14907,14907,PROP,PER,Misselton
124,16103,16104,PROP,PER,Don Quixote
125,16207,16207,PROP,PER,Shakespeare
126,16209,16210,PROP,PER,George Herbert
127,16256,16256,PROP,PER,Byron
128,16260,16260,PROP,PER,Byrron
129,16268,16268,PROP,PER,Goethe
130,17027,17027,PROP,PER,AminÃ©
131,17870,17870,PROP,PER,Black
132,19032,19032,PROP,PER,November
133,19468,19469,PROP,PER,Jem Hearn
134,19525,19527,PROP,PER,the Miss Jenkynses
135,19632,19633,PROP,PER,Poor Thomas
136,22522,22522,PROP,PER,John
137,23218,23218,PROP,PER,J.
138,23393,23393,PROP,PER,Maria
139,24064,24065,PROP,PER,Mrs Chapone
140,24089,24090,PROP,PER,Mrs Carter
141,24390,24391,PROP,PER,Miss Edgeworth
142,24594,24594,PROP,PER,Herod
143,25056,25056,PROP,PER,David
144,25058,25058,PROP,PER,Goliath
145,25086,25086,PROP,PER,Napoleon
146,25093,25093,PROP,PER,Bony
147,25108,25108,PROP,PER,Apollyon
148,25143,25146,PROP,PER,Peter Marmaduke Arley Jenkyns
149,25574,25575,PROP,PER,Poor Peter
150,25628,25631,PROP,PER,POOR PETER POOR Peter
151,25646,25648,PROP,PER,_ Bonus Bernardus
152,27323,27324,PROP,PER,old Clare
154,27935,27936,PROP,PER,Queen Esther
155,27938,27939,PROP,PER,King Ahasuerus
156,28646,28647,PROP,PER,Mr Holbrook;â€”you
157,29151,29152,PROP,PER,Mr Peter
158,29323,29323,PROP,PER,"PETER,â€”You"
159,31604,31605,PROP,PER,Mr Jenkyns
160,31647,31648,PROP,PER,Lady Arley
161,31656,31657,PROP,PER,Miss Barkers
162,31778,31779,PROP,PER,John Bullish
163,31783,31784,PROP,PER,the Mounseers
164,31798,31799,PROP,PER,Queen Adelaide
165,31832,31833,PROP,PER,King William
166,32402,32402,PROP,PER,Carlo
167,32553,32554,PROP,PER,the Bigges
168,32581,32584,PROP,PER,Mrs Fitz - Adam
169,32907,32907,PROP,PER,Piggins
170,32988,32991,PROP,PER,Mr Fitz - Adam
171,33222,33223,PROP,PER,Lady Jane
172,33229,33230,PROP,PER,Lady Anne
173,33284,33285,PROP,PER,Drury Lane
174,33414,33416,PROP,PER,Fitz - Roy
175,33437,33439,PROP,PER,Fitz - Clarence
176,33455,33457,PROP,PER,Fitz - Adam!â€”it
1132,33598,33599,PROP,PER,Mr ffoulkes
177,33961,33961,PROP,PER,Peggy
178,34189,34190,PROP,PER,Prince Albert
179,34683,34683,PROP,PER,Cribbage
180,34737,34737,PROP,PER,Spadille
181,34739,34739,PROP,PER,Manille
182,35736,35737,PROP,PER,Lady Glenmire
183,35920,35920,PROP,PER,Hogarth
184,36140,36140,PROP,PER,Maâ€™am
185,36474,36475,PROP,PER,Mr Jamieson
186,36498,36499,PROP,PER,Miss Walker
187,36503,36504,PROP,PER,Governor Walker
188,36978,36978,PROP,PER,Job
189,37011,37012,PROP,PER,the Arleys
190,37020,37021,PROP,PER,Viscount Arley
191,37257,37258,PROP,PER,Mrs Smith
192,37415,37416,PROP,PER,Mrs Deacon
193,37664,37665,PROP,PER,Mr Mulliner
194,39069,39070,PROP,PER,St James
195,39382,39383,PROP,PER,Louis Quatorze
196,39648,39648,PROP,PER,Stonehenge
197,39957,39960,PROP,PER,_ savoir faire _
198,40119,40120,PROP,PER,Mr Campbell
199,40817,40817,PROP,PER,Quadrille
200,40840,40840,PROP,PER,Basto
201,41986,41987,PROP,PER,Francis Moore
202,42308,42308,PROP,PER,Michaelmas
203,42343,42343,PROP,PER,Wombwell
2,42978,42978,PROP,PER,Drumble
205,43365,43365,PROP,PER,Crosby
206,43441,43442,PROP,PER,Thaddeus of
207,43446,43448,PROP,PER,the Hungarian Brothers
208,43451,43452,PROP,PER,Santo Sebastiani
209,44753,44754,PROP,PER,Queen Charlotte
210,44766,44767,PROP,PER,the Gunnings
211,44786,44787,PROP,PER,Lady Williams
212,45500,45502,PROP,PER,The Grand Turk
213,45766,45767,PROP,PER,a Mussulman
214,46054,46054,PROP,PER,Dakin
215,46231,46232,PROP,PER,Mr Hayter
216,47021,47022,PROP,PER,the French
217,47046,47047,PROP,PER,General Burgoyne
218,47232,47234,PROP,PER,Madame de StaÃ«l
219,47243,47244,PROP,PER,Mr Denon
220,47357,47358,PROP,PER,the English
221,47982,47983,PROP,PER,Thomas Jones
222,48184,48184,PROP,PER,Philomel
223,50174,50174,PROP,PER,Solomon
224,52053,52054,PROP,PER,Dr Ferrier
225,52056,52057,PROP,PER,Dr Hibbert
226,52876,52880,PROP,PER,CHAPTER XI . SAMUEL BROWN
227,53168,53169,PROP,PER,Mrs Roberts
3120,53596,53596,PROP,PER,Mr
228,53684,53685,PROP,PER,Samuel Brownâ€”â€œSam
229,53717,53719,PROP,PER,the Signora Brunoni
230,53922,53922,PROP,PER,Jack
40,53937,53937,PROP,PER,Preference
232,54081,54082,PROP,PER,Lord Chesterfield
233,54530,54531,PROP,PER,King Rufus
234,54563,54564,PROP,PER,Samuel Brown
235,54951,54951,PROP,PER,PhÅ“be
236,55028,55029,PROP,PER,Farmer Benson
237,55046,55047,PROP,PER,Widow Hayward
238,56707,56708,PROP,PER,Mrs Brown
