COREF,start_token,end_token,prop,cat,text
224,339,339,PROP,PER,God
128,733,733,PROP,PER,Richard
145,740,740,PROP,PER,Mary
130,742,743,PROP,PER,little Jane
131,2169,2169,PROP,PER,John
132,2192,2192,PROP,PER,Esther
133,2226,2227,PROP,PER,Mrs. Barton
134,2263,2264,PROP,PER,Mrs. Wilson
135,2403,2403,PROP,PER,Nesh
136,2544,2545,PROP,PER,Mrs. Bradshaw
137,3172,3172,PROP,PER,Folks
138,3751,3751,PROP,PER,Tom
139,4036,4036,PROP,PER,Dives
140,4038,4038,PROP,PER,Lazarus
146,4578,4578,PROP,PER,Alice
142,5042,5042,PROP,PER,Twins
143,5202,5203,PROP,PER,the Bartons
144,5573,5574,PROP,PER,the Wilsons
632,6364,6364,PROP,PER,Mr.
147,6733,6733,PROP,PER,Jem
148,7318,7318,PROP,PER,George
149,8321,8321,PROP,PER,HOOD
150,11001,11002,PROP,PER,Mr. Hunter
151,11309,11310,PROP,PER,Mrs. Hunter
152,12348,12349,PROP,PER,Miss Simmonds
153,12855,12856,PROP,PER,Aunt Esther
154,12986,12987,PROP,PER,Jem Wilson
155,13061,13062,PROP,PER,the Sultan
156,13317,13319,PROP,PER,old Job Legh
157,13980,13980,PROP,PER,Margaret
158,14165,14165,PROP,PER,Alice's
159,15581,15581,PROP,PER,Tyrrel
160,15592,15592,PROP,PER,SHAKSPEARE
161,15793,15793,PROP,PER,Mother
162,15797,15797,PROP,PER,Sally
163,16402,16402,PROP,PER,Frabbit
164,16620,16622,PROP,PER,The Oldham Weaver
165,16662,16665,PROP,PER,mony a one knoowas
166,16740,16743,PROP,PER,Dicky o ' Billy
167,16891,16894,PROP,PER,Billy o ' Dans
168,16972,16972,PROP,PER,Marget
169,17203,17203,PROP,PER,Hoo
170,17237,17237,PROP,PER,Clem
171,17261,17261,PROP,PER,Jonson
4994,17487,17487,PROP,PER,Lord
172,17490,17490,PROP,PER,David
173,17552,17553,PROP,PER,Deborah Travers
174,17570,17571,PROP,PER,Mrs. Knyvett
175,17727,17728,PROP,PER,Mrs. Simpson
176,17847,17847,PROP,PER,ELLIOTT
177,17933,17933,PROP,PER,Newton
178,18206,18206,PROP,PER,Phryganid├ª
179,18238,18241,PROP,PER,Sir J. E. Smith
180,18288,18288,PROP,PER,Roscoe
181,18936,18936,PROP,PER,Grandfather
182,19185,19185,PROP,PER,Punch
183,20756,20756,PROP,PER,Lightly
184,21676,21677,PROP,PER,Mrs. Ogden
185,21773,21776,PROP,PER,the three Miss Ogdens
186,23576,23577,PROP,PER,Jacob Butterworth
187,23673,23674,PROP,PER,Madame Catalani
188,24072,24072,PROP,PER,Carsons
189,25450,25450,PROP,PER,Apollor
190,27418,27418,PROP,PER,DEATH
191,27541,27541,PROP,PER,Daddy
192,27563,27565,PROP,PER,the Messrs. Carson
193,28109,28111,PROP,PER,Sir Philip Sidney
194,28419,28420,PROP,PER,Ben Davenport
195,28460,28460,PROP,PER,Don
196,28484,28489,PROP,PER,"non Hors _ don_.""--_Sir J. Mondeville"
197,28514,28514,PROP,PER,Cowd
198,28526,28526,PROP,PER,Dutch
199,28699,28700,PROP,PER,the Methodee
200,29188,29188,PROP,PER,Mither
201,30586,30586,PROP,PER,Aladdin
202,30595,30595,PROP,PER,Rosamond
203,31215,31216,PROP,PER,The Davenports
204,31367,31367,PROP,PER,Wicklife
205,31383,31383,PROP,PER,Han
206,31536,31537,PROP,PER,J. Mandeville
207,32176,32176,PROP,PER,Duncombes
208,32179,32179,PROP,PER,Mengies
209,32349,32350,PROP,PER,Mr. Carson
210,33479,33480,PROP,PER,Miss Jenkins
211,33535,33535,PROP,PER,Missis
212,33754,33754,PROP,PER,Amy
213,33835,33835,PROP,PER,Sophy
214,33837,33837,PROP,PER,Helen
215,34078,34078,PROP,PER,Bigland
216,34124,34126,PROP,PER,little Miss Extravagance
217,34148,34148,PROP,PER,Papa
218,35193,35194,PROP,PER,Lord God
219,35651,35653,PROP,PER,dear Mrs. Davenport
220,37667,37667,PROP,PER,Lile
221,37681,37683,PROP,PER,Wit _ leil
222,37892,37892,PROP,PER,Nature
223,38279,38279,PROP,PER,Little
225,38656,38656,PROP,PER,Joe
226,39667,39669,PROP,PER,Mrs. Harry Carson
227,40067,40067,PROP,PER,Eve
228,40411,40411,PROP,PER,DEBUT
229,40500,40501,PROP,PER,LOVE THOUGHTS
230,40586,40586,PROP,PER,Nancy
231,41060,41060,PROP,PER,Star
232,41500,41500,PROP,PER,Chaucer
233,42370,42371,PROP,PER,the Chartists
234,42543,42543,PROP,PER,Parliament
235,42876,42877,PROP,PER,Beau Tibbs
236,43589,43589,PROP,PER,Sankey
237,43626,43626,PROP,PER,Ritling
238,43702,43704,PROP,PER,Sir Francis Dashwood
239,44153,44153,PROP,PER,Howe'er
240,45171,45172,PROP,PER,The Jews
241,45231,45232,PROP,PER,the Soul
242,46902,46903,PROP,PER,Poor George
243,48670,48672,PROP,PER,MRS . NORTON
244,48941,48942,PROP,PER,"Miss Simmonds',--where"
245,49328,49328,PROP,PER,Father
246,49783,49784,PROP,PER,six Manchesters
1,49826,49826,PROP,PER,Manchester
248,50598,50598,PROP,PER,Darby
249,50600,50600,PROP,PER,Joan
250,50737,50737,PROP,PER,Rucks
251,51070,51070,PROP,PER,Miller
252,51111,51112,PROP,PER,Old Job
253,51298,51299,PROP,PER,Frank Jennings
254,51739,51739,PROP,PER,Grandad
255,51805,51805,PROP,PER,Whitsuntide
256,51860,51861,PROP,PER,Old Jennings
257,53464,53464,PROP,PER,Pobbies
258,53668,53668,PROP,PER,Babby
259,54287,54287,PROP,PER,Dree
261,54299,54299,PROP,PER,dreogan
262,54965,54966,PROP,PER,Jack Robinson
263,55839,55841,PROP,PER,poor little Johnnie
264,56427,56428,PROP,PER,Samuel Bamford
265,60316,60317,PROP,PER,Dear Mary
266,60461,60473,PROP,PER,"aunt Alice , who , in her surprised , hearty greeting to Mary"
267,60810,60810,PROP,PER,"Mary,""--beginning"
268,60926,60927,PROP,PER,Bessy Witter
269,61116,61116,PROP,PER,Jenny
270,61663,61664,PROP,PER,Prince Albert
272,62482,62483,PROP,PER,Dear Alice
273,63809,63809,PROP,PER,Cain
274,63811,63811,PROP,PER,Abel
275,64292,64292,PROP,PER,BURNS
276,64353,64353,PROP,PER,WITHER
277,64356,64356,PROP,PER,FIDELIA
278,64552,64552,PROP,PER,Heaven
279,69822,69822,PROP,PER,Liefer
280,69844,69844,PROP,PER,Troilus
281,70348,70348,PROP,PER,Deep
282,71420,71420,PROP,PER,BAIRN
283,71479,71481,PROP,PER,W. S. LANDOR
284,72116,72117,PROP,PER,Barbara Allen
285,72632,72632,PROP,PER,Owdham
286,72839,72839,PROP,PER,Forrard
62,72857,72857,PROP,PER,Halifax
288,73214,73214,PROP,PER,"Margaret,--he"
5940,74442,74443,PROP,PER,Will Wilson
290,74683,74683,PROP,PER,Jem--
2289,76353,76353,PROP,PER,Aunt
291,77438,77439,PROP,PER,Jack Harris
292,79010,79012,PROP,PER,Mermaidicus Jack Harrisensis
293,79024,79024,PROP,PER,D'ye
294,79341,79341,PROP,PER,Araneides
2402,79866,79866,PROP,PER,Miss
295,80034,80035,PROP,PER,Uncle Sam
296,80856,80858,PROP,PER,the Moated Grange
297,83357,83357,PROP,PER,Blessed
298,84829,84830,PROP,PER,aught earthly
299,86685,86686,PROP,PER,THE RIVALS
300,86788,86789,PROP,PER,Poor John
301,87514,87514,PROP,PER,Frankenstein
302,90010,90010,PROP,PER,"Mary,--heart"
303,90598,90598,PROP,PER,Hercules
304,91041,91041,PROP,PER,Hyperion
306,93381,93382,PROP,PER,Mrs. Aldred
307,93656,93656,PROP,PER,Duncombe
308,93742,93742,PROP,PER,Brennus
309,93747,93747,PROP,PER,Tramp
310,94650,94651,PROP,PER,Henry IV
311,95841,95841,PROP,PER,Brutus
312,95947,95948,PROP,PER,John Slater
313,95973,95973,PROP,PER,G----
2648,96821,96839,PROP,PER,"yon chap , who had so little feeling in him as to make game on earnest , suffering men"
314,96908,96909,PROP,PER,Jonas Higginbotham
315,98155,98159,PROP,PER,BARTON 'S NIGHT - ERRAND
316,100651,100651,PROP,PER,Peter
44,103558,103558,PROP,PER,Glasgow
318,104058,104058,PROP,PER,Emerson
319,104361,104362,PROP,PER,Miss Richardson
320,104370,104371,PROP,PER,Jane Richardson
321,104872,104872,PROP,PER,Parker
322,105024,105024,PROP,PER,Nurse
323,106112,106113,PROP,PER,Mrs. Hemans
324,106795,106796,PROP,PER,Miss Carson
325,109467,109467,PROP,PER,Christ
326,109471,109471,PROP,PER,Alecto
327,109475,109475,PROP,PER,Orestes
328,109537,109537,PROP,PER,COLERIDGE
329,111797,111798,PROP,PER,Miss Barton
330,111912,111912,PROP,PER,Haman
331,112016,112017,PROP,PER,Mrs. Hawkes
332,112736,112737,PROP,PER,Jack Sheppard
333,113756,113756,PROP,PER,Reynard
334,114393,114393,PROP,PER,Na
335,114994,114994,PROP,PER,Lucifer
336,119026,119026,PROP,PER,Peace
337,121353,121354,PROP,PER,Lady Geraldine
338,121362,121362,PROP,PER,Christabel
339,121666,121667,PROP,PER,aunt Hetty
340,123828,123828,PROP,PER,Fergusson
341,123872,123872,PROP,PER,Angel
342,124101,124101,PROP,PER,KEATS
343,125647,125647,PROP,PER,Una
344,126832,126832,PROP,PER,Facts
345,129553,129556,PROP,PER,THE SUB - POENA
346,130468,130472,PROP,PER,The _ John Cropper _
347,130777,130777,PROP,PER,Policeman
348,131839,131839,PROP,PER,Gloppened
349,131901,131902,PROP,PER,Tom Noddies
350,133272,133273,PROP,PER,Mrs. Jones
351,133438,133439,PROP,PER,Mr. Cheshire
352,134670,134670,PROP,PER,Jesus
353,135370,135371,PROP,PER,Mr. Bridgenorth
354,135857,135857,PROP,PER,Ruth
355,135859,135859,PROP,PER,Naomi
8,135905,135905,PROP,PER,Ancoats
357,136224,136225,PROP,PER,Mrs. Heming
358,136644,136644,PROP,PER,Cricket
359,139561,139561,PROP,PER,"Jem,--it"
360,139959,139959,PROP,PER,CRABBE
362,140199,140199,PROP,PER,Hoyle
363,140545,140546,PROP,PER,Betsy Morgan
364,140889,140889,PROP,PER,withal
365,141305,141305,PROP,PER,
366,144462,144462,PROP,PER,Gardener
367,144590,144590,PROP,PER,Williams
368,145938,145939,PROP,PER,John Harris
369,146041,146041,PROP,PER,Charley
370,147190,147191,PROP,PER,Master Charley
371,147380,147380,PROP,PER,natomy
372,147387,147389,PROP,PER,Lord Admiral Nelson
373,148205,148206,PROP,PER,Tom Bourne
374,148882,148882,PROP,PER,Dick
375,149119,149120,PROP,PER,St. Nicholas
376,149306,149307,PROP,PER,ALLAN CUNNINGHAM
377,150589,150590,PROP,PER,William Wilson
378,153455,153456,PROP,PER,Mr. Legh
379,153534,153534,PROP,PER,Johnson
380,154903,154903,PROP,PER,"William,--or"
7336,155169,155169,PROP,PER,Missus
381,155285,155286,PROP,PER,Poor Susan
382,155310,155311,PROP,PER,Quoth Betty
383,155374,155374,PROP,PER,WORDSWORTH
384,156270,156271,PROP,PER,Mr. Clinton
385,156454,156454,PROP,PER,Unasked
386,157555,157555,PROP,PER,Satan
387,158440,158441,PROP,PER,Mrs. Burton
388,158717,158718,PROP,PER,Golden Wasser
389,159421,159422,PROP,PER,Mrs. Sturgis
390,160394,160394,PROP,PER,MILMAN
391,160397,160397,PROP,PER,FAZIO
392,160816,160817,PROP,PER,Ben Sturgis
393,161209,161210,PROP,PER,Aunt Alice
394,162076,162077,PROP,PER,Serjeant Wilkinson
395,162112,162112,PROP,PER,Jupiter
396,162492,162493,PROP,PER,"The mother,--she"
398,164232,164232,PROP,PER,Guido
399,164237,164238,PROP,PER,Beatrice Cenci
400,167648,167649,PROP,PER,Hollins Greeb
402,172698,172698,PROP,PER,Morris
403,175908,175908,PROP,PER,Dixwell
404,175969,175969,PROP,PER,KERHONAH
406,181473,181474,PROP,PER,Jane Hodson
407,181688,181688,PROP,PER,Sally.--But
408,182035,182036,PROP,PER,"Jem,--about Jem"
409,182366,182366,PROP,PER,Rusilla
410,182436,182436,PROP,PER,SOUTHEY
411,182439,182439,PROP,PER,RODERICK
413,183583,183583,PROP,PER,Martha
414,186933,186934,PROP,PER,Henry John
415,186942,186943,PROP,PER,Elizabeth Carson
416,188471,188471,PROP,PER,BYRON
417,188547,188547,PROP,PER,Conscience
418,193070,193071,PROP,PER,St. Patrick
419,196493,196494,PROP,PER,BARRY CORNWALL
420,197061,197062,PROP,PER,"Dearest Mary,--"
421,197387,197387,PROP,PER,"that,--she"
