COREF,start_token,end_token,prop,cat,text
92,192,192,PROP,PER,Ludlow
93,514,515,PROP,PER,Ursula Hanbury
94,843,845,PROP,PER,Cousin Margaret Dawson
95,878,881,PROP,PER,"DEAR COUSIN MARGARET DAWSON,â€”I"
96,917,917,PROP,PER,Richard
97,1013,1013,PROP,PER,Cecily
98,1062,1062,PROP,PER,Rudolph
99,1066,1067,PROP,PER,Lord Ludlow
3,1267,1267,PROP,PER,Connington
101,1655,1655,PROP,PER,Christ
102,2139,2139,PROP,PER,Randal
103,2652,2653,PROP,PER,Mrs. Medlicott
104,3652,3652,PROP,PER,Adams
105,3748,3749,PROP,PER,King George
106,3751,3752,PROP,PER,Queen Charlotte
107,3789,3789,PROP,PER,Louis
108,3797,3799,PROP,PER,Marie - Antoinette
109,4390,4391,PROP,PER,the Plantagenets
110,4576,4577,PROP,PER,Mr. Raikes
111,4989,4990,PROP,PER,the French
112,5129,5133,PROP,PER,good old deaf Mr. Mountford
113,5258,5259,PROP,PER,Mr. Gray
114,5833,5835,PROP,PER,old Betty Brown
115,6247,6248,PROP,PER,John Wesley
116,6439,6440,PROP,PER,The Deuce
117,6904,6905,PROP,PER,Jerry Butler
118,7694,7695,PROP,PER,Guy Faux
119,8032,8033,PROP,PER,Mr. Addison
120,8051,8051,PROP,PER,Sturm
121,8113,8114,PROP,PER,Mrs. Chapone
122,8120,8121,PROP,PER,Dr. Gregory
123,8206,8207,PROP,PER,Dr. Buchan
124,8869,8870,PROP,PER,Earl Ludlow
125,9005,9005,PROP,PER,Jacobin
126,9089,9091,PROP,PER,Lord George Gordon
127,9258,9259,PROP,PER,Mary Mason
128,9691,9692,PROP,PER,Mr. Lathom
129,9694,9695,PROP,PER,Justice Lathom
130,9764,9765,PROP,PER,The Lathoms
131,9770,9770,PROP,PER,Edward
132,9796,9797,PROP,PER,Job Gregson
133,9887,9887,PROP,PER,God
134,11592,11593,PROP,PER,John Footman
136,14961,14962,PROP,PER,Queen Anne
137,15531,15533,PROP,PER,Sir Horace Mann
138,16125,16126,PROP,PER,Mr. Hogarth
139,16262,16263,PROP,PER,the Hanburys
140,17142,17142,PROP,PER,Bacon
141,17251,17251,PROP,PER,Shakespeare
142,17341,17343,PROP,PER,Charles the Second
143,17351,17352,PROP,PER,Queen Elizabeth
144,17384,17384,PROP,PER,Childers
145,17386,17386,PROP,PER,Eclipse
146,17464,17464,PROP,PER,October
147,17586,17587,PROP,PER,Mrs. Nickleby
238,18014,18015,PROP,PER,Mr. Horner
150,19710,19711,PROP,PER,Harry Gregson
151,19831,19831,PROP,PER,Bailey
152,20355,20357,PROP,PER,Sir Urian Hanbury
153,21235,21236,PROP,PER,"seen,â€”so sharp"
154,21998,21998,PROP,PER,Honour
155,22899,22900,PROP,PER,Parson Hemming
156,22967,22969,PROP,PER,poor Mr. Hemming
195,23310,23312,PROP,PER,Clement de Crequy
158,23432,23435,PROP,PER,a Marquise de Crequy
169,23484,23486,PROP,PER,Madame de Crequy
160,23524,23525,PROP,PER,Master Urian
161,24143,24144,PROP,PER,De Crequys
162,25020,25021,PROP,PER,Mr. Fox
163,25174,25174,PROP,PER,Fenwick
164,26501,26502,PROP,PER,Christopher Sly
165,26804,26804,PROP,PER,Heaven
3245,26952,26952,PROP,PER,Monsieur
166,27413,27413,PROP,PER,Monkshaven
167,27615,27617,PROP,PER,Monsieur de Crequy
168,27946,27949,PROP,PER,a Mademoiselle de Crequy
170,28669,28669,PROP,PER,Clement?â€”no
171,28950,28953,PROP,PER,Jean - Jacques Rousseau
172,29076,29078,PROP,PER,the Countess Ludlow
174,29406,29408,PROP,PER,Count de Crequy
175,30015,30018,PROP,PER,the Hotel de Crequy
176,30581,30581,PROP,PER,AEneas
177,33098,33098,PROP,PER,Flechier
178,33152,33153,PROP,PER,Le Febvre
179,33831,33832,PROP,PER,Madame Babette
180,33869,33869,PROP,PER,Jaques
181,34832,34834,PROP,PER,Monsieur Morin Fils
182,35022,35023,PROP,PER,Jean Morin
183,35027,35027,PROP,PER,Hope
184,35029,35029,PROP,PER,Despair
186,35129,35130,PROP,PER,Mamâ€™selle Cannes
188,35587,35588,PROP,PER,Mademoiselle Cannes
189,36491,36491,PROP,PER,Adam
190,36495,36497,PROP,PER,Richard le Roi
191,36507,36511,PROP,PER,our English Coeur de Lion
192,37074,37074,PROP,PER,Boupre
194,37330,37330,PROP,PER,"Virginie,â€”nay"
196,37601,37620,PROP,PER,"the younger Morin himself , on whose behalf Pierre spoke warmly , even after so long a time had elapsed"
197,37827,37827,PROP,PER,Time
198,40036,40036,PROP,PER,Virginieâ€™s
199,41103,41104,PROP,PER,"Morin Fils,â€”and"
200,42379,42380,PROP,PER,Antoine Meyer
201,42515,42515,PROP,PER,Victor
202,42756,42758,PROP,PER,The Faithful Cousin
203,43196,43196,PROP,PER,Parbleu
204,44402,44404,PROP,PER,Marquis de Crequy
205,45236,45237,PROP,PER,Aunt Babette
206,45299,45300,PROP,PER,Mademoiselle Didot
207,45304,45305,PROP,PER,Mademoiselle Cauchois
149,45645,45646,PROP,PER,Madam Babette
208,45774,45790,PROP,PER,"the old gardener Jacques , with whom Clement had been lodging on his first arrival in Paris"
209,46280,46281,PROP,PER,Monsieur Flechier
210,46495,46496,PROP,PER,Poor Jacques
212,49328,49328,PROP,PER,Purposely
213,50067,50068,PROP,PER,the Greve
214,51828,51829,PROP,PER,Mr. Croxton
215,52780,52781,PROP,PER,Miss Galindo
216,53635,53635,PROP,PER,X.
217,53734,53734,PROP,PER,Sally
218,53939,53940,PROP,PER,Miss Gal
3813,54538,54538,PROP,PER,Mr.
219,54540,54541,PROP,PER,Mrs. Horner
220,55449,55450,PROP,PER,Jonathan Walker
221,55643,55643,PROP,PER,Satan
222,56358,56359,PROP,PER,Doctor Burney
223,56956,56957,PROP,PER,Billy Davis
224,57389,57390,PROP,PER,Farmer Thomson
225,57871,57872,PROP,PER,Mr. Wesley
226,58145,58147,PROP,PER,A Mr. Lambe
227,58377,58379,PROP,PER,bonny Queen Mary
228,58707,58709,PROP,PER,old Job Horton
229,58749,58749,PROP,PER,Susannah
230,58759,58759,PROP,PER,Bel
231,59485,59485,PROP,PER,Martha
232,59511,59512,PROP,PER,Nancy Pole
233,59726,59726,PROP,PER,Hale
234,59856,59858,PROP,PER,little Ben Pole
235,62271,62272,PROP,PER,Mr. Grayâ€â€”surprise
2310,62556,62556,PROP,PER,Lord
236,62626,62626,PROP,PER,Malmsey
237,62691,62692,PROP,PER,Dr. Trevor
239,64519,64519,PROP,PER,Hall
240,65548,65549,PROP,PER,Doctor Trevor
241,65594,65595,PROP,PER,Mr. Prince
242,66638,66639,PROP,PER,Mr. Crosse
243,67303,67304,PROP,PER,Nelly Mather
244,68837,68838,PROP,PER,The Gregsons
245,69225,69226,PROP,PER,Mr. Gulliver
246,69753,69755,PROP,PER,a Mr. Howard
247,70463,70463,PROP,PER,Mortimar
248,72193,72194,PROP,PER,Mr. Smithson
249,72665,72665,PROP,PER,Cocker
250,73188,73189,PROP,PER,the Smithsons
251,73941,73941,PROP,PER,Harding
252,74162,74162,PROP,PER,Brooke
253,74381,74382,PROP,PER,Captain James
254,75336,75337,PROP,PER,Mary Legard
255,76048,76048,PROP,PER,Morrison
256,76633,76633,PROP,PER,Father
257,76668,76669,PROP,PER,little Tommy
258,76746,76747,PROP,PER,Mr. Brooks
259,77489,77489,PROP,PER,Arthur
260,77563,77563,PROP,PER,Bessy
261,77903,77905,PROP,PER,James the First
262,78062,78063,PROP,PER,Mr. Galindo
263,78107,78108,PROP,PER,Sir Lawrence
264,78111,78112,PROP,PER,Messrs. Graham
265,78280,78281,PROP,PER,Mrs. Galindo
266,78389,78391,PROP,PER,a Mr. Gibson
267,78401,78401,PROP,PER,Laurentia
268,78638,78639,PROP,PER,Sir Hubert
269,79041,79042,PROP,PER,Lady Galindo
270,80005,80006,PROP,PER,Lawrence Galindo
271,80514,80515,PROP,PER,Saint Mark
272,80741,80742,PROP,PER,Mrs. Trevor
273,80794,80795,PROP,PER,the Gibsons
274,80797,80797,PROP,PER,Galindos
4507,81168,81169,PROP,PER,"Miss Galindo,â€”brought"
275,81613,81614,PROP,PER,Mrs. Gibson
276,84268,84268,PROP,PER,Dodwell
277,84411,84412,PROP,PER,Miss Brooke
278,84565,84566,PROP,PER,the Brookes
279,84733,84736,PROP,PER,Mr. Coke of Holkham
280,87002,87002,PROP,PER,Philidor
281,87289,87291,PROP,PER,Jack fancy Gill
282,87294,87295,PROP,PER,Gill Jack
283,87401,87403,PROP,PER,old Goody Blake
284,88529,88529,PROP,PER,"Harry,â€”and"
285,88775,88779,PROP,PER,"good , jovial Mr. Mountford,â€”and"
286,89493,89494,PROP,PER,Baker Brooke
287,89743,89743,PROP,PER,R.N.
288,89782,89783,PROP,PER,DEAR MARGARET
289,89894,89895,PROP,PER,Jenny Lucas
290,89982,89983,PROP,PER,Mrs. James
291,90020,90021,PROP,PER,Dick Whittington
292,90063,90063,PROP,PER,Baptism
293,90898,90899,PROP,PER,Farmer Donkin
294,90903,90904,PROP,PER,Miss Donkins
295,90930,90931,PROP,PER,Mrs. Brooke
296,90990,90990,PROP,PER,Baptists
297,91359,91362,PROP,PER,"Mrs. Parsoness of Headleigh,â€”I"
298,91525,91529,PROP,PER,Mrs. Parsoness of Headleigh scarce
