COREF,start_token,end_token,prop,cat,text
131,19,19,PROP,PER,Edith
123,23,23,PROP,PER,Margaret
124,70,70,PROP,PER,Titania
125,190,191,PROP,PER,Captain Lennox
126,388,388,PROP,PER,Shaw
127,707,708,PROP,PER,Mr. Grey
128,1161,1162,PROP,PER,General Shaw
129,1258,1259,PROP,PER,Mrs. Gibson
130,1291,1291,PROP,PER,Helen
132,1472,1472,PROP,PER,Tiny
133,1495,1495,PROP,PER,Newton
134,1838,1839,PROP,PER,Mr. Hale
135,2336,2338,PROP,PER,Mr. Henry Lennox
136,2584,2585,PROP,PER,dear Janet
137,3102,3102,PROP,PER,Cinderella
138,3708,3708,PROP,PER,Tennyson
139,4122,4122,PROP,PER,Papa
140,5000,5002,PROP,PER,ROSES AND THORNS
141,5044,5046,PROP,PER,MRS . HEMANS
142,5173,5174,PROP,PER,Mrs. Hale
143,5201,5205,PROP,PER,the poor pretty Miss Beresford
144,5239,5240,PROP,PER,Dearest Maria
145,5457,5457,PROP,PER,Figaro
146,5792,5793,PROP,PER,Poor Frederick
147,6726,6727,PROP,PER,Mr. Hume
148,6734,6735,PROP,PER,Mr. Houldsworth
149,7066,7067,PROP,PER,the Stansfields
150,7070,7071,PROP,PER,the Gormons
151,7651,7651,PROP,PER,Thomson
152,7656,7656,PROP,PER,Hayley
153,7660,7660,PROP,PER,Middleton
8,7837,7837,PROP,PER,Helstone
186,8039,8039,PROP,PER,Dixon
156,8067,8068,PROP,PER,Lady Beresford
157,8074,8075,PROP,PER,Sir John
158,8079,8082,PROP,PER,the pretty Miss Beresfords
159,8192,8193,PROP,PER,Master Frederick
160,8727,8727,PROP,PER,Sarah
161,8754,8759,PROP,PER,THE MORE HASTE THE WORSE SPEED
162,8820,8822,PROP,PER,MRS . BROWNING
163,8904,8904,PROP,PER,Mamma
40,8969,8969,PROP,PER,Hampshire
165,9355,9355,PROP,PER,Dante
166,10351,10352,PROP,PER,old Isaac
167,10946,10946,PROP,PER,"Margaret,â€”Stay"
168,11240,11240,PROP,PER,Run
169,13424,13424,PROP,PER,DIFFICULTIES
170,13463,13463,PROP,PER,HABINGTON
171,13835,13836,PROP,PER,Susan Lightfoot
172,14855,14855,PROP,PER,Mahometan
173,15121,15122,PROP,PER,Mr. Oldfield
174,15185,15185,PROP,PER,God
175,15988,15990,PROP,PER,a Mr. Brown
176,16031,16031,PROP,PER,Lingering
177,16562,16563,PROP,PER,farmer Dobson
178,17113,17114,PROP,PER,Mr. Bell
179,17476,17478,PROP,PER,a Mr. Thornton
180,17775,17776,PROP,PER,Poor Maria
181,18383,18384,PROP,PER,Old Simon
182,18442,18443,PROP,PER,Mary Domville
183,19126,19127,PROP,PER,the Almighty
184,19584,19586,PROP,PER,the Evil One
185,20970,20971,PROP,PER,the Gormans
187,21654,21655,PROP,PER,Miss Hale
188,21889,21889,PROP,PER,Charlotte
5423,23139,23139,PROP,PER,Miss
34,23949,23949,PROP,PER,Heston
190,25358,25358,PROP,PER,Camilla
191,25877,25878,PROP,PER,Fordham Beeches
192,25884,25885,PROP,PER,Widow Maltby
193,26683,26683,PROP,PER,Crawford
194,27040,27041,PROP,PER,MATTHEW ARNOLD
195,28672,28674,PROP,PER,this Mr. Donkin
41,29362,29362,PROP,PER,Crampton
197,29480,29481,PROP,PER,the Hales
198,32834,32834,PROP,PER,Aristides
199,32838,32839,PROP,PER,the Just
1283,33128,33128,PROP,PER,Mr.
200,33158,33160,PROP,PER,Louis the Fourteenth
201,34487,34488,PROP,PER,Miss. Bessyâ€™ll
202,34955,34956,PROP,PER,Nicholas Higgins
203,34958,34958,PROP,PER,Hoo
204,34961,34962,PROP,PER,Bessy Higgins
205,35276,35276,PROP,PER,Bess
206,35363,35368,PROP,PER,CHAPTER IX . DRESSING FOR TEA
207,35372,35372,PROP,PER,China
208,35400,35400,PROP,PER,Mocha
209,35408,35410,PROP,PER,MRS . BARBOULD
210,35548,35549,PROP,PER,Mr. Thornton!â€”and
211,35783,35784,PROP,PER,the Pythias
212,35976,35977,PROP,PER,the Higginses
