COREF,start_token,end_token,prop,cat,text
72,186,187,PROP,PER,Mr Pitt
73,558,559,PROP,PER,The Astleys
74,561,562,PROP,PER,the Dunstans
2,616,617,PROP,PER,the Waverhams
76,625,626,PROP,PER,the Domvilles
77,628,629,PROP,PER,the Bextons
78,698,698,PROP,PER,Marmaduke
79,700,702,PROP,PER,first Baron Waverham
80,820,820,PROP,PER,George
81,904,904,PROP,PER,Hilton
82,991,992,PROP,PER,Mrs Mason
83,1096,1097,PROP,PER,Miss Sutton
84,1099,1099,PROP,PER,Martha
85,1884,1884,PROP,PER,Jenny
86,2482,2482,PROP,PER,Monnoyer
87,3574,3575,PROP,PER,Miss Jennings
88,3577,3578,PROP,PER,Miss Booth
89,3581,3582,PROP,PER,Miss Hilton
90,4061,4062,PROP,PER,Miss Wood
91,5183,5183,PROP,PER,Holbein
92,5715,5716,PROP,PER,Miss Smiths
93,5718,5719,PROP,PER,Mr Thomsons
94,6188,6189,PROP,PER,Mr Bellingham
95,6441,6442,PROP,PER,Miss Duncombe
96,7156,7170,PROP,PER,"that Mrs Bellingham of the Priory , for whom we made the grey satin pelisse"
97,7785,7786,PROP,PER,Lady Farnham
98,7990,7991,PROP,PER,"Miss Hilton,""--""Ruthie"
99,8060,8061,PROP,PER,Fanny Barton
100,8485,8485,PROP,PER,Tom
101,9062,9064,PROP,PER,old Nelly Brownson
102,9469,9469,PROP,PER,Brown
103,9471,9471,PROP,PER,Smith
104,10736,10736,PROP,PER,God
105,11215,11215,PROP,PER,Alnaschar
106,11744,11744,PROP,PER,Sunday
107,11765,11766,PROP,PER,Mrs Wood
108,14476,14477,PROP,PER,Mrs Hilton
109,14558,14559,PROP,PER,Mr Hilton
110,15256,15256,PROP,PER,Skelton
11,16209,16210,PROP,PER,the Leasowes
112,16907,16908,PROP,PER,Mrs Brownrigg
114,17870,17870,PROP,PER,Palmer
115,19256,19256,PROP,PER,Hush
113,20228,20228,PROP,PER,Mamma
117,20459,20460,PROP,PER,Old Thomas
118,20694,20694,PROP,PER,Mary
119,21585,21586,PROP,PER,King Charles
120,21980,21981,PROP,PER,the Sabbath
26,26037,26039,PROP,PER,Pen tr├¬ Voelas
122,26735,26736,PROP,PER,Mrs Morgan
123,27341,27342,PROP,PER,Moel Wynn
124,27442,27442,PROP,PER,Howard
125,27444,27444,PROP,PER,Johnson
126,27451,27451,PROP,PER,Wilbraham
127,28845,28846,PROP,PER,the Welsh
128,28893,28894,PROP,PER,Maneg Ellyllyn
129,29502,29502,PROP,PER,Harry
130,29746,29746,PROP,PER,Sissy
131,31996,31997,PROP,PER,Mr Jones
132,33678,33678,PROP,PER,Nest
133,33926,33926,PROP,PER,Gelert
134,34059,34059,PROP,PER,Gwen
136,36519,36519,PROP,PER,Simpson
137,36754,36754,PROP,PER,Henry
27,36881,36881,PROP,PER,Fordham
139,37588,37588,PROP,PER,Mother
140,38089,38089,PROP,PER,Macdonald
141,38531,38532,PROP,PER,MARGARET BELLINGHAM
142,41341,41342,PROP,PER,Mrs Hughes
143,41427,41428,PROP,PER,Mr Benson
144,43333,43334,PROP,PER,William Wynn
145,43811,43811,PROP,PER,"MADAM,--I"
146,43924,43925,PROP,PER,THURSTAN BENSON
147,45293,45294,PROP,PER,Faith Benson
148,45677,45677,PROP,PER,Sally
149,47150,47151,PROP,PER,Mr Bradshaw
150,47160,47161,PROP,PER,the Dixons
151,47198,47199,PROP,PER,Mrs Bradshaw
152,47202,47204,PROP,PER,poor old Maggie
153,49439,49439,PROP,PER,Thurstan!--if
155,51973,51973,PROP,PER,Thurstan!--it
156,54602,54603,PROP,PER,Mrs Denbigh
1656,55013,55013,PROP,PER,Mr
4820,55239,55239,PROP,PER,Lord
157,55791,55792,PROP,PER,the Bensons
158,55957,55957,PROP,PER,Ben
159,56120,56120,PROP,PER,Abdallah
160,56307,56307,PROP,PER,Hoo
161,56590,56591,PROP,PER,Master Thurstan
162,60427,60428,PROP,PER,Queen Eleanor
163,60437,60438,PROP,PER,Fair Rosamond
4866,60499,60499,PROP,PER,Missus
164,60526,60527,PROP,PER,Miss Faith
165,60594,60594,PROP,PER,Michaelmas
166,62063,62064,PROP,PER,Nelly Brandon
1833,62319,62319,PROP,PER,Mrs
167,63533,63533,PROP,PER,Matthew
168,64432,64434,PROP,PER,the Good Shepherd
169,64437,64437,PROP,PER,Poussin
170,65117,65117,PROP,PER,Child
171,69021,69022,PROP,PER,Mr Harding
172,69341,69342,PROP,PER,John Rawson
173,69419,69420,PROP,PER,Jeremiah Dixon
174,69703,69704,PROP,PER,Mr Holt
175,70183,70184,PROP,PER,Master Dixon
176,70555,70555,PROP,PER,Methodee
177,71364,71364,PROP,PER,Martinmas
178,71608,71609,PROP,PER,Barbary Allen
179,71628,71629,PROP,PER,Jemmy Gray
180,71962,71962,PROP,PER,Youth
181,74380,74380,PROP,PER,Christ
217,75883,75884,PROP,PER,Jemima Bradshaw
183,76100,76101,PROP,PER,Mr Denbigh
185,78431,78431,PROP,PER,Hepzibah
186,78454,78454,PROP,PER,Juliana
187,78519,78519,PROP,PER,Job
188,78525,78525,PROP,PER,Kezia
189,78528,78530,PROP,PER,Keren - Happuch
190,78626,78626,PROP,PER,Puritan
191,78684,78695,PROP,PER,"some old Sir Thurstan , who figured away in the French wars"
192,79393,79394,PROP,PER,Mrs Postlethwaite
193,80093,80094,PROP,PER,Mr Farquhar
195,80428,80428,PROP,PER,Betsy
196,80948,80949,PROP,PER,Little Leonard
5194,82071,82071,PROP,PER,Master
198,82300,82301,PROP,PER,John Jackson
199,82482,82483,PROP,PER,Tom Jackson
200,83349,83349,PROP,PER,Nature
201,83726,83727,PROP,PER,Mr Jackson
202,86476,86477,PROP,PER,King Solomon
203,86492,86493,PROP,PER,King Rehoboam
204,88945,88945,PROP,PER,Rizpah
205,89204,89204,PROP,PER,Lucy
206,89322,89323,PROP,PER,the Bradshaws
207,90390,90390,PROP,PER,Shakspeare
208,92409,92409,PROP,PER,Mimie
210,92604,92604,PROP,PER,Mimie--
211,92664,92664,PROP,PER,Valentine
212,92667,92668,PROP,PER,Walter Farquhar
213,92678,92678,PROP,PER,Co.
214,92839,92839,PROP,PER,Dick
215,96881,96881,PROP,PER,hourly
216,97020,97021,PROP,PER,Mr Farquhars
209,100947,100947,PROP,PER,Papa
218,101257,101258,PROP,PER,Mrs Dean
219,103157,103157,PROP,PER,Dawson
220,103908,103910,PROP,PER,the gentle Abel
221,104303,104303,PROP,PER,Leonard--
222,105740,105742,PROP,PER,Kings of Eccleston
223,105744,105745,PROP,PER,Mr Cranworth
224,106166,106167,PROP,PER,Mr Pilson
225,106479,106479,PROP,PER,Donne
226,106515,106516,PROP,PER,the Cranworths
227,107415,107416,PROP,PER,Julius Caesar
228,107534,107536,PROP,PER,a Mr Hickson
229,110011,110011,PROP,PER,Eagle
230,110783,110784,PROP,PER,the Volscians
231,117799,117799,PROP,PER,Greek
232,117984,117984,PROP,PER,Jove
233,118425,118426,PROP,PER,Ruth Brown
235,125560,125560,PROP,PER,Leonard's
236,125946,125947,PROP,PER,Good Heavens
237,127544,127545,PROP,PER,Stephen Bromley
238,127862,127862,PROP,PER,God--
3041,128158,128159,PROP,PER,Mr ----
239,129917,129917,PROP,PER,"Remorse,--how"
240,134670,134671,PROP,PER,Mrs Pearson
241,135433,135433,PROP,PER,Oriental
242,136050,136050,PROP,PER,Billington
6064,137665,137674,PROP,PER,"Ruth -- calm , modest , delicate , dignified Ruth"
243,138139,138140,PROP,PER,Ruth Hiltons
244,138611,138611,PROP,PER,Ruth--
245,139444,139445,PROP,PER,the Millses
246,139464,139465,PROP,PER,Mr Mills
247,140606,140609,PROP,PER,Some Sir Thomas Campbell
248,141634,141634,PROP,PER,Charity
250,143445,143446,PROP,PER,St Paul
251,143597,143597,PROP,PER,"Ruth""--(this"
252,145356,145357,PROP,PER,Aunt Faith
253,149884,149884,PROP,PER,Helmsby
254,151347,151347,PROP,PER,Ruth!--the
255,152060,152060,PROP,PER,One
256,154982,154982,PROP,PER,Ruth's
