COREF,start_token,end_token,prop,cat,text
182,2028,2029,PROP,PER,the French
183,2037,2038,PROP,PER,the English
184,2354,2355,PROP,PER,Lord Thurlow
185,3795,3796,PROP,PER,Lieutenant Atkinson
187,4300,4301,PROP,PER,Molly Corney
188,4318,4319,PROP,PER,Sylvia Robson
2,4854,4854,PROP,PER,Monkshaven
190,5230,5230,PROP,PER,Feyther
191,5286,5287,PROP,PER,cousin Philip
192,6002,6002,PROP,PER,Dee
193,6436,6437,PROP,PER,the Burnabys
837,6725,6725,PROP,PER,Lord
194,6858,6858,PROP,PER,iverybody
195,7261,7262,PROP,PER,Peggy Christison
196,7278,7278,PROP,PER,Hezekiah
197,7363,7363,PROP,PER,daddy
198,7382,7383,PROP,PER,Tuesday se'nnight
199,7462,7462,PROP,PER,Haynes
200,7480,7480,PROP,PER,Fishburn
201,8600,8600,PROP,PER,Weel
202,9291,9292,PROP,PER,Charley Kinraid
203,9464,9464,PROP,PER,Mother
204,9495,9495,PROP,PER,Foster
205,9942,9942,PROP,PER,John
207,10253,10254,PROP,PER,William Coulson
208,10256,10257,PROP,PER,Mr. Jeremiah
209,10325,10325,PROP,PER,Hester
210,11613,11614,PROP,PER,Mr. Foster
211,12068,12069,PROP,PER,Newcastle Bess
212,12439,12440,PROP,PER,King George
213,13153,13153,PROP,PER,Jamie
214,13850,13851,PROP,PER,Mr. John
215,14069,14069,PROP,PER,Nicholas
216,14071,14071,PROP,PER,Henry
217,14342,14344,PROP,PER,The old Adam
218,14440,14441,PROP,PER,old Hannah
219,15714,15715,PROP,PER,Mrs. Robson
220,15794,15795,PROP,PER,Bell Robson
221,16077,16077,PROP,PER,Dannel
222,16111,16111,PROP,PER,Kester
223,16179,16179,PROP,PER,Daniel
224,16330,16330,PROP,PER,Niver
225,16547,16547,PROP,PER,Hollands
226,16981,16982,PROP,PER,Bill Watson
227,17836,17838,PROP,PER,little Billy Croxton
5839,17851,17851,PROP,PER,Missus
228,18213,18214,PROP,PER,Measter Cholmley
229,18292,18293,PROP,PER,Seth Robson
230,18485,18486,PROP,PER,Measter Pitt
231,20165,20165,PROP,PER,Philip--
232,20863,20865,PROP,PER,Madame de Maintenon
233,21381,21381,PROP,PER,Martinmas
234,21740,21740,PROP,PER,Solomon
235,22992,22992,PROP,PER,Ministers
236,23638,23638,PROP,PER,Jupiter
19,23696,23697,PROP,PER,Resolution _
238,24298,24299,PROP,PER,St Abb
239,24697,24697,PROP,PER,Aurora
240,25637,25637,PROP,PER,God
241,25988,25988,PROP,PER,Darley
242,26693,26694,PROP,PER,the Corneys
243,26742,26743,PROP,PER,Mrs. Corney
244,26936,26937,PROP,PER,Dame Corney
245,27560,27560,PROP,PER,Hannot
246,27725,27725,PROP,PER,A'll
247,28295,28296,PROP,PER,Miss Fishburns
248,29252,29252,PROP,PER,Na
249,30115,30116,PROP,PER,St. Nicholas
250,31077,31078,PROP,PER,Dr Wilson
251,31096,31096,PROP,PER,Wesley
252,31160,31162,PROP,PER,old Ralph Thompson
253,31361,31362,PROP,PER,Poor Darley
254,31524,31524,PROP,PER,Christ
255,31839,31840,PROP,PER,the Stuarts
256,34509,34510,PROP,PER,Betsy Darley
257,34998,34999,PROP,PER,Alice Rose
258,35299,35299,PROP,PER,Quaker
259,36129,36130,PROP,PER,Betsy Corney
260,36241,36241,PROP,PER,rayther
261,36500,36500,PROP,PER,Wheere
262,39881,39882,PROP,PER,Dame Robson
264,41247,41248,PROP,PER,Farmer Robson
45,42641,42642,PROP,PER,Moss Brow
266,43807,43808,PROP,PER,Jess MacFarlane--
267,43927,43927,PROP,PER,"Philip,--"
268,44629,44630,PROP,PER,Jack Robson
269,44943,44946,PROP,PER,CHAPTER IX THE SPECKSIONEER
270,46283,46286,PROP,PER,John _ of Hull
271,46303,46303,PROP,PER,ne'er
272,46566,46566,PROP,PER,Noah
273,47119,47119,PROP,PER,June
274,47314,47314,PROP,PER,Creed
275,48934,48935,PROP,PER,Jack Robinson
276,49709,49710,PROP,PER,Ellen Corney
277,54080,54081,PROP,PER,Mistress Robson
278,54396,54397,PROP,PER,Measter Brunton
279,56279,56280,PROP,PER,the Robsons
280,57814,57814,PROP,PER,Death
281,57953,57953,PROP,PER,Souls
282,58182,58185,PROP,PER,Hayley o ' Seaburn
283,58205,58206,PROP,PER,Mrs. Lawson
284,58430,58431,PROP,PER,Margaret Lawson
285,59003,59004,PROP,PER,Ned Simpson
286,59164,59164,PROP,PER,Sarvant
287,61225,61225,PROP,PER,Christmas
288,61543,61544,PROP,PER,Isabella Preston
289,62085,62086,PROP,PER,Nanny Corney
290,62214,62214,PROP,PER,Thursday
291,62466,62466,PROP,PER,Methodee
292,63040,63040,PROP,PER,Mavor
293,63556,63556,PROP,PER,Yates
294,63558,63558,PROP,PER,Peels
295,63632,63633,PROP,PER,Molly Brunton
296,63680,63680,PROP,PER,"Molly,--"
297,63836,63837,PROP,PER,Mrs. Brunton
298,63991,63991,PROP,PER,Bessy
299,65952,65953,PROP,PER,Nancy Pratt
300,66015,66015,PROP,PER,Dixons
301,66019,66019,PROP,PER,Walkers
302,66023,66023,PROP,PER,Elliotts
303,66027,66027,PROP,PER,Smiths
304,66059,66060,PROP,PER,Will Latham
305,66068,66069,PROP,PER,Roger Harbottle
306,66073,66073,PROP,PER,Taylor
307,67834,67834,PROP,PER,Toby
308,67874,67875,PROP,PER,Mr. Brunton
309,70236,70237,PROP,PER,Josiah Pratt
310,70980,70980,PROP,PER,Allays
311,71449,71449,PROP,PER,Winter
312,71906,71907,PROP,PER,Mistress Corney
