COREF,start_token,end_token,prop,cat,text
221,173,174,PROP,PER,Molly Gibson
157,244,244,PROP,PER,Betty
158,471,472,PROP,PER,Mr. Gibson
159,712,713,PROP,PER,Lady Cumnor
160,943,944,PROP,PER,Cumnor Towers
161,1024,1025,PROP,PER,the Cumnors
162,1133,1134,PROP,PER,Lord Cumnor
163,2225,2225,PROP,PER,Pony
164,2270,2270,PROP,PER,Sheepshanks
165,2989,2989,PROP,PER,Nanny
166,2998,2999,PROP,PER,Lady Agnes
167,3024,3024,PROP,PER,Mamma
168,3378,3379,PROP,PER,Miss Browning
169,3508,3509,PROP,PER,the Brownings
170,3559,3559,PROP,PER,Clare
171,3622,3623,PROP,PER,Lady Cuxhaven
172,3712,3713,PROP,PER,Mrs. Kirkpatrick
173,3946,3946,PROP,PER,Sister
174,4156,4156,PROP,PER,Dorothy
175,4760,4762,PROP,PER,fat Mrs. Goodenough
176,5938,5939,PROP,PER,"Lady Cuxhaven,--"
177,6331,6331,PROP,PER,Edwards
178,7438,7439,PROP,PER,Lady Hawyot
179,7442,7442,PROP,PER,Harriet
180,7656,7656,PROP,PER,Papa
181,7989,7990,PROP,PER,Master Smythe
182,8372,8374,PROP,PER,a Mr. Kirkpatrick
183,8472,8472,PROP,PER,Cynthia
184,8663,8664,PROP,PER,"Gibson?),--Miss Gibson"
185,8667,8668,PROP,PER,Mrs. Dyson
186,9382,9384,PROP,PER,the Sleeping Beauty
187,9920,9921,PROP,PER,Miss Gibson
188,10001,10002,PROP,PER,Lord Cuxhaven
189,10595,10596,PROP,PER,Mr. Courtenay
190,11044,11045,PROP,PER,Mrs. Brown
191,11325,11325,PROP,PER,Dick
192,11773,11773,PROP,PER,Ponto
193,12000,12002,PROP,PER,Sir Charles Grandison
194,12615,12616,PROP,PER,all Hollingford
195,12627,12628,PROP,PER,Mr. Hall
196,12661,12662,PROP,PER,Mr. Browning
197,13248,13249,PROP,PER,the Stuarts
198,13570,13573,PROP,PER,the great Sir Astley
199,13758,13759,PROP,PER,Mrs. Gibson
200,14219,14219,PROP,PER,Goosey
201,14932,14933,PROP,PER,Miss Eyre
202,15333,15333,PROP,PER,George
203,16034,16035,PROP,PER,Job Donkin
1138,16724,16724,PROP,PER,Lord
204,17810,17811,PROP,PER,Mr. Ashton
205,18331,18332,PROP,PER,the Joneses
206,18334,18334,PROP,PER,Greens
207,18430,18431,PROP,PER,Squire Hamley
208,18488,18491,PROP,PER,the Earls of Cumnor
209,18498,18501,PROP,PER,the Hely - Harrisons
210,18515,18516,PROP,PER,the Hamleys
211,18891,18892,PROP,PER,Roger Hamley
212,18920,18921,PROP,PER,Squire Stephen
213,19231,19232,PROP,PER,Mrs. Hamley
1168,19460,19462,PROP,PER,Hamley of Hamley
214,21000,21002,PROP,PER,a Mr. Wynne
215,21004,21005,PROP,PER,Mr. Coxe
216,21229,21230,PROP,PER,Major Coxe
217,21941,21943,PROP,PER,old Nancy Grant
218,21962,21962,PROP,PER,Corbyn
219,22038,22038,PROP,PER,Coxey
220,22395,22395,PROP,PER,Bethia
222,22584,22584,PROP,PER,innocent
223,22885,22885,PROP,PER,Cupid
224,22946,22946,PROP,PER,Johnson
225,23043,23044,PROP,PER,poor Jeanie
226,23363,23365,PROP,PER,_ Edward Coxe
227,25510,25511,PROP,PER,King Midas
228,25700,25700,PROP,PER,Una
229,26350,26350,PROP,PER,Charybdis
230,27698,27699,PROP,PER,the Fates
231,28040,28041,PROP,PER,Miss Rose
232,30474,30475,PROP,PER,Mrs. Hemans
233,30707,30707,PROP,PER,Tennyson
234,30722,30724,PROP,PER,Mr. Osborne Hamley
235,31205,31206,PROP,PER,Mr. Green
236,31858,31858,PROP,PER,God
237,31961,31961,PROP,PER,Madam
238,32330,32330,PROP,PER,Molly--
239,33488,33489,PROP,PER,Miss Goodenough
240,34112,34114,PROP,PER,Sir Walter Scott
241,34351,34352,PROP,PER,Lucy Ashton
1465,35379,35390,PROP,PER,"a Hamley of Hamley , straight in descent from nobody knows where"
242,35432,35433,PROP,PER,King Alfred
243,35541,35541,PROP,PER,Adam
244,35667,35668,PROP,PER,Lord Hollingford's
246,35989,35991,PROP,PER,OF LOVE PERILS
247,36082,36082,PROP,PER,Jenny
248,37134,37134,PROP,PER,Hamley!--I
249,37451,37452,PROP,PER,Miss Eyre's--
250,37700,37703,PROP,PER,Fancy old Goody Henbury
251,38791,38791,PROP,PER,Venus
252,40901,40901,PROP,PER,Roger--
253,42640,42642,PROP,PER,V ┬« VICTIS
254,43760,43761,PROP,PER,Mrs. Duncan
255,43766,43766,PROP,PER,Grisi
256,43898,43899,PROP,PER,Sir Edward
257,43931,43931,PROP,PER,Edgar
258,44110,44111,PROP,PER,Lady Davies
259,44117,44118,PROP,PER,Mrs. Maude
260,44123,44124,PROP,PER,Mr. Preston
261,44524,44527,PROP,PER,good awkward Miss Benson
262,45115,45116,PROP,PER,Miss Bowes
263,45125,45125,PROP,PER,Grace
264,45127,45127,PROP,PER,Lily
265,45472,45473,PROP,PER,Cynthia Kirkpatrick
266,46003,46004,PROP,PER,Brown Jess
267,48417,48417,PROP,PER,Bradley
269,51550,51550,PROP,PER,Pray
270,51620,51620,PROP,PER,Hyacinth
271,58471,58471,PROP,PER,Mother
272,58557,58557,PROP,PER,Hammond
273,58711,58713,PROP,PER,Poor little Molly
274,59865,59865,PROP,PER,Michaelmas
275,61113,61113,PROP,PER,"Michaelmas,--for"
276,64099,64099,PROP,PER,"Clare!""--a"
277,68537,68537,PROP,PER,Pope
278,68570,68570,PROP,PER,Byron
279,68592,68592,PROP,PER,"Byron,--he"
280,69078,69079,PROP,PER,Madame Lefevre
281,70246,70246,PROP,PER,Seventeen
282,71780,71781,PROP,PER,Mr. Goodenough
283,71784,71785,PROP,PER,Mr. Smith
284,71998,71998,PROP,PER,Absence
286,72639,72639,PROP,PER,Egeria
287,73584,73584,PROP,PER,Bees
288,74899,74899,PROP,PER,Cromer
289,77110,77113,PROP,PER,Mademoiselle de St. Quentin
290,77125,77127,PROP,PER,Madame du Barri
291,77713,77713,PROP,PER,Sparkling
292,77770,77770,PROP,PER,Tea
293,78698,78699,PROP,PER,"Mr. Preston,--the"
294,79046,79047,PROP,PER,Lady Bettys
295,79072,79074,PROP,PER,Fancy Lady Constantia
296,79079,79080,PROP,PER,Lady Anna
297,79679,79680,PROP,PER,Miss Edgeworth
298,79805,79807,PROP,PER,Pecksy and Flapsy
8793,80886,80889,PROP,PER,Lady Harriet of Molly
299,82343,82343,PROP,PER,Thursday
300,82752,82752,PROP,PER,Bullocks
301,83000,83001,PROP,PER,Friar Tuck
302,83340,83340,PROP,PER,Grantley
303,83343,83343,PROP,PER,Fox
304,83346,83347,PROP,PER,Lord Forrest
305,83605,83605,PROP,PER,Huber
306,84743,84743,PROP,PER,Johnson's--(sister
307,88589,88590,PROP,PER,the Papists
2569,88879,88879,PROP,PER,Mr.
308,89132,89133,PROP,PER,Mr. Browne
309,89209,89213,PROP,PER,the two young Mr. Hamleys
15,89741,89741,PROP,PER,Cambridge
311,89839,89839,PROP,PER,SHAKSPEARE
312,92312,92312,PROP,PER,Osborne--
313,93032,93033,PROP,PER,Mrs. Cockerell
314,93408,93408,PROP,PER,"Molly,--"
315,96173,96173,PROP,PER,Osborne's
9121,96201,96202,PROP,PER,Mr. Osborne--
316,96893,96894,PROP,PER,Dr. Nicholls
317,97408,97409,PROP,PER,R. HAMLEY
318,97411,97411,PROP,PER,P.S.--Molly
319,99631,99633,PROP,PER,Major Dugald Dalgetty
320,100704,100704,PROP,PER,Fanny
321,102578,102579,PROP,PER,Mrs. Morgan
322,102830,102831,PROP,PER,Mrs. Jones
2869,106121,106121,PROP,PER,Missus
323,107078,107078,PROP,PER,William
324,109974,109975,PROP,PER,"Mrs. Hamley,--"
326,112100,112101,PROP,PER,Black Bess
327,112739,112740,PROP,PER,the Robinsons
328,113333,113335,PROP,PER,Poor Mrs. Hamley
330,114249,114250,PROP,PER,old Williams
332,118034,118035,PROP,PER,Queen Charlotte
333,119777,119777,PROP,PER,Willie
334,120177,120177,PROP,PER,Easter
335,120307,120307,PROP,PER,Cynthia--
336,124874,124874,PROP,PER,Conqueror
337,125684,125684,PROP,PER,Thomas--
338,125693,125693,PROP,PER,Thomas
339,126123,126124,PROP,PER,Poor Osborne
340,127655,127655,PROP,PER,Robinson
3300,127933,127933,PROP,PER,Master
341,128856,128856,PROP,PER,Aim┬Äe
342,129643,129643,PROP,PER,Milton
344,129922,129923,PROP,PER,Johnny Crapaud
345,130093,130094,PROP,PER,Guy Fawkes
