,Location,Latitude,Longitude,Titles
0,Montmartre,48.8854619,2.3391535,A Son at the Front
1,America,39.7837304,-100.445882,A Son at the Front
2,England,52.5310214,-1.2649062,A Son at the Front
3,London,51.5074456,-0.1277653,A Son at the Front
4,Paris,48.8588897,2.320041,A Son at the Front
5,Deauville,49.3595018,0.0746638,A Son at the Front
6,Aix,50.4912838,3.2907097,A Son at the Front
7,Berlin,52.5173885,13.3951309,A Son at the Front
8,St. Moritz,46.4978958,9.8392428,A Son at the Front
9,Sicily,37.587794,14.155048,A Son at the Front
10,North Africa,41.362599,2.159665,A Son at the Front
11,Lille,50.6365654,3.0635282,A Son at the Front
12,French,46.603354,1.8883335,A Son at the Front
13,Africa,11.5024338,17.7578122,A Son at the Front
14,France,46.603354,1.8883335,A Son at the Front
15,Sedan,49.7033759,4.9433409,A Son at the Front
16,Palermo,38.1112268,13.3524434,A Son at the Front
17,New York,40.7127281,-74.0060152,A Son at the Front
18,China,35.000074,104.999927,A Son at the Front
19,1870,14.6003268,121.1640697,A Son at the Front
20,Madrid,40.416782,-3.703507,A Son at the Front
21,Lavengro,50.6542887,-1.2005045,A Son at the Front
22,Harvard,42.3657432,-71.1222139,A Son at the Front
23,Brant,43.1010804,-80.4288217,A Son at the Front
24,Utica,43.1009031,-75.2326641,A Son at the Front
25,The Hague,52.0749456,4.2696802,A Son at the Front
26,Luxembourg,49.8158683,6.1296751,A Son at the Front
27,Europe,51.0,10.0,A Son at the Front
28,Spain,39.3260685,-4.8379791,A Son at the Front
29,Cordova,37.8845813,-4.7760138,A Son at the Front
30,Reuters,50.674148,9.3506547,A Son at the Front
31,Sargent,46.1101793,-97.6291809,A Son at the Front
32,Lyons,41.811108,-87.8232695,A Son at the Front
33,Frankfort,50.1106444,8.6820917,A Son at the Front
34,Vienna,48.2083537,16.3725042,A Son at the Front
35,Belgrade,44.8178131,20.4568974,A Son at the Front
36,Alsace - Lorraine,48.8718053,2.5737252,A Son at the Front
37,Germany,51.1638175,10.4478313,A Son at the Front
38,Russia,64.6863136,97.7453061,A Son at the Front
39,Nuremberg,49.453872,11.077298,A Son at the Front
40,Wesel,51.6576909,6.617087,A Son at the Front
41,Belgium,50.6402809,4.6667145,A Son at the Front
42,Fortin - Lescluze,,,A Son at the Front
43,CompiÃ¨gne,,,A Son at the Front
44,Biarritz,43.4711438,-1.5527266,A Son at the Front
45,Campton,37.7342526,-83.547409,A Son at the Front
46,Saverne,48.7419909,7.3625953,A Son at the Front
47,Calais,50.9524769,1.8538446,A Son at the Front
48,Annette,35.6507997,-120.1790348,A Son at the Front
49,Alsace,33.98279,-118.4123635,A Son at the Front
50,Nancy,48.6937223,6.1834097,A Son at the Front
51,Chalons,45.4458331,4.9310763,A Son at the Front
52,Louvain,50.879202,4.7011675,A Son at the Front
53,Rheims,42.4009049,-77.2538665,A Son at the Front
54,Havre,48.5536972,-109.677802,A Son at the Front
55,Cherbourg,49.5127198,-1.5755441,A Son at the Front
56,Mexico,23.6585116,-102.0077097,A Son at the Front
57,Dixmude,51.0333408,2.8647185,A Son at the Front
58,Ypres,50.8521947,2.8846047,A Son at the Front
59,ArmentiÃ¨res,-37.3198575,-59.1662484,A Son at the Front
60,Arras,50.291048,2.7772211,A Son at the Front
61,Vailly,48.3696201,4.1224104,A Son at the Front
62,Aisne,49.4532855,3.606899,A Son at the Front
63,Maucourt,49.6363226,3.0738049,A Son at the Front
64,Mogeville,49.242751,5.5305574,A Son at the Front
65,Verdun,49.1589278,5.3867277,A Son at the Front
66,Vermelles,50.4884634,2.746528,A Son at the Front
67,Pas - de - Calais,50.5144061,2.2580078,A Son at the Front
68,Aix Noulette,50.4256645,2.7128999,A Son at the Front
69,the Hauts - de - Meuse,,,A Son at the Front
70,Saint - Mihiel,48.891207,5.5423046,A Son at the Front
71,Poland,52.215933,19.134422,A Son at the Front
72,Kielce - Sandomir,50.6805234,21.7493362,A Son at the Front
73,San,7.0000085,-73.2500086,A Son at the Front
74,Galicia,42.61946,-7.863112,A Son at the Front
75,Mlawa,53.1116182,20.3831732,A Son at the Front
76,Suippes,49.1308493,4.531783,A Son at the Front
77,St. Cloud,45.5616075,-94.1642004,A Son at the Front
78,Washington,38.8950368,-77.0365427,A Son at the Front
79,Rotterdam,51.9244424,4.47775,A Son at the Front
80,Murray Bay,-36.7329277,174.7528516,A Son at the Front
81,Boulogne,46.7947224,-1.3210389,A Son at the Front
82,Camptons,-41.3646672,146.9266728,A Son at the Front
83,Parisian,39.3033851,-84.5189385,A Son at the Front
84,Villejuif,48.7921098,2.3633048,A Son at the Front
85,Headquarters,43.704726,-110.7354041,A Son at the Front
86,Vauquois,49.2034043,5.0728902,A Son at the Front
87,Sainte Menehould,49.0904192,4.8967637,A Son at the Front
88,Atrocities,38.3555813,125.4880613,A Son at the Front
89,Neuve Chapelle,50.583883,2.7799149,A Son at the Front
90,Connecticut,41.6500201,-72.7342163,A Son at the Front
91,the Argonne,39.7992431,-104.7670906,A Son at the Front
92,Bohemia,40.770609,-73.1200703,A Son at the Front
93,Italy,42.6384261,12.674297,A Son at the Front
94,Austria,47.59397,14.12456,A Son at the Front
95,Anzac,56.4525903,-111.0482383,A Son at the Front
96,Suvla,40.3032553,26.2344187,A Son at the Front
97,St. Denis,48.935773,2.3580232,A Son at the Front
98,George,30.857421,-88.6537118,A Son at the Front
99,Luzarches,49.1124996,2.4223849,A Son at the Front
100,Doullens,50.1572085,2.3410532,A Son at the Front
101,ChÃ¢lons,46.774992,6.0376801,A Son at the Front
102,Amiens,49.8941708,2.2956951,A Son at the Front
103,Boylston,42.353279,-71.7343582,A Son at the Front
104,Plattsburg,39.5663941,-94.4521341,A Son at the Front
105,Georgia,32.3293809,-83.1137366,A Son at the Front
106,Illinois,40.0796606,-89.4337288,A Son at the Front
107,California,36.7014631,-118.755997,A Son at the Front
108,Parisâ€”â€œwith,,,A Son at the Front
109,Beausite,48.9653436,5.2111728,A Son at the Front
110,Silesia,45.5564801,-108.8413108,A Son at the Front
111,Benny,46.7816237,-81.629589,A Son at the Front
112,Bernstorff,55.7584315,12.5523479,A Son at the Front
113,Springfield,39.7990175,-89.6439575,Summer
114,Hepburn,40.8481448,-95.0165524,Summer
115,Nettleton,34.089803,-88.6223964,Summer
116,North Dormer,53.1261632,-0.2815871,Summer
117,Eagle Range,39.8809563,-75.1731321,Summer
118,Italy,42.6384261,12.674297,Summer
119,England,52.5310214,-1.2649062,Summer
120,Plymouth,50.3714122,-4.1424451,Summer
121,Salem,44.9391565,-123.033121,Summer
122,Eagle County,39.6161124,-106.7172844,Summer
123,Dormer,52.854588,-8.9789574,Summer
124,Hamblin,36.3296724,-119.6098499,Summer
125,Creston,41.0585878,-94.361397,Summer
126,Nettletons,-35.3781117,150.0130083,Summer
127,New Hampshire,43.4849133,-71.6553992,Summer
128,New York,40.7127281,-74.0060152,Summer
129,Verena,-25.4807404,29.0168219,Summer
130,Boston,42.3554334,-71.060511,Summer
131,France,46.603354,1.8883335,Summer
132,Creston River,41.0116704,-94.3881316,Summer
133,August,37.979919,-121.2621572,Summer
134,Providence,41.8239891,-71.4128343,Summer
135,Creston Falls,47.7373463,-117.4984365,Summer
136,Worcester,42.2625621,-71.8018877,Summer
137,Portland,45.5202471,-122.674194,Summer
138,Victory,44.5092023,-71.8453264,Summer
139,New York,40.7127281,-74.0060152,The Age of Innocence
140,Paris,48.8534951,2.3483915,The Age of Innocence
141,Vienna,48.2083537,16.3725042,The Age of Innocence
142,Newland,36.0873484,-81.9273363,The Age of Innocence
143,South Carolina,33.6874388,-80.4363743,The Age of Innocence
144,Philadelphia Thorleys,,,The Age of Innocence
145,Albany,41.000028,19.9999619,The Age of Innocence
146,University Place,47.2258172,-122.5371325,The Age of Innocence
147,Leffertses,,,The Age of Innocence
148,Cuba,23.0131338,-80.8328748,The Age of Innocence
149,Europe,51.0,10.0,The Age of Innocence
150,Staten Island,40.5834557,-74.1496048,The Age of Innocence
151,Louis Napoleon,43.3535235,4.8681862,The Age of Innocence
152,Nice,43.7009358,7.2683912,The Age of Innocence
153,Venice,45.4371908,12.3345898,The Age of Innocence
154,Beaufort,50.2144406,3.9615305,The Age of Innocence
155,America,39.7837304,-100.445882,The Age of Innocence
156,Kew,51.4771443,-0.2855658,The Age of Innocence
157,England,52.5310214,-1.2649062,The Age of Innocence
158,Philadelphia,39.9527237,-75.1635262,The Age of Innocence
159,York,53.9656579,-1.0743052,The Age of Innocence
160,Rome,41.8933203,12.4829321,The Age of Innocence
161,Madison Square,-26.0731268,27.9637919,The Age of Innocence
162,New England,44.2057083,-70.7537839,The Age of Innocence
163,Newlands,-33.9742832,18.4572951,The Age of Innocence
164,Lausanne,46.5218269,6.6327025,The Age of Innocence
165,Luyden,,,The Age of Innocence
166,Saratoga,43.0833231,-73.8712155,The Age of Innocence
167,Washington Square,39.9470379,-75.1523257,The Age of Innocence
168,Manhattan,40.7896239,-73.9598939,The Age of Innocence
169,Chippendale,-33.8863291,151.1998211,The Age of Innocence
170,Baltimore,39.2908816,-76.610759,The Age of Innocence
171,Maryland,39.5162401,-76.9382069,The Age of Innocence
172,St. Austrey,52.6566941,-1.5644977,The Age of Innocence
173,Trevenna,-25.7491891,28.2010395,The Age of Innocence
174,Cornwall,50.416667,-4.75,The Age of Innocence
175,Gloucestershire,51.7643786,-2.1880662,The Age of Innocence
176,Skuytercliff,,,The Age of Innocence
177,Patroon,31.6229546,-93.9810245,The Age of Innocence
178,Russia,64.6863136,97.7453061,The Age of Innocence
179,Italy,42.6384261,12.674297,The Age of Innocence
180,Manzoni,41.8901796,12.5068166,The Age of Innocence
181,Florence,43.7697955,11.2556404,The Age of Innocence
182,Cowes,50.7633176,-1.2985186,The Age of Innocence
183,Transylvania,35.1982216,-82.7724889,The Age of Innocence
184,Debrett,-36.8467769,174.7670123,The Age of Innocence
185,Medora,39.1744908,-90.1431654,The Age of Innocence
186,Egypt,26.2540493,29.2675469,The Age of Innocence
187,New,51.1785153,6.4416347,The Age of Innocence
188,Samarkand,39.6550017,66.9756954,The Age of Innocence
189,London,51.5074456,-0.1277653,The Age of Innocence
190,San Francisco,37.7792588,-122.4193286,The Age of Innocence
191,Kendal,54.3289795,-2.747183,The Age of Innocence
192,St. Augustine,40.7183728,-90.4109616,The Age of Innocence
193,Florida,27.7567667,-81.4639835,The Age of Innocence
194,Highbank,54.959807,-7.5975717,The Age of Innocence
195,Rhinebeck,41.9267604,-73.912763,The Age of Innocence
196,Aix,50.4912838,3.2907097,The Age of Innocence
197,Granada,37.1734995,-3.5995337,The Age of Innocence
198,Seville,37.3886303,-5.9953403,The Age of Innocence
199,Lent,46.1199017,5.194702,The Age of Innocence
200,Newport,41.4899827,-71.3137707,The Age of Innocence
201,California,36.7014631,-118.755997,The Age of Innocence
202,Providence,41.8239891,-71.4128343,The Age of Innocence
203,Dagonets,,,The Age of Innocence
