,Titles,male,female,plural,ze/zem/zir/hir,Author
0,A Connecticut Yankee,379,86,359,0.0,Mark Twain
1,A Horse Tale,54,39,52,0.0,Mark Twain
2,Personal Recollections of Joan of Arc,208,90,245,0.0,Mark Twain
3,The Adventures of Tom Sawyer,148,57,165,0.0,Mark Twain
4,The American Claimant,215,59,151,0.0,Mark Twain
5,The Gilded Age,391,174,366,0.0,Mark Twain
6,The Mysterious Stranger,112,40,118,0.0,Mark Twain
7,The Prince and the Pauper,259,48,181,1.0,Mark Twain
8,The Tragedy of Pudd’nhead Wilson,167,67,99,0.0,Mark Twain
9,Tom Sawyer Abroad,77,23,74,0.0,Mark Twain
10,Tom Sawyer Detective,84,10,60,0.0,Mark Twain
