COREF;start_token;end_token;prop;cat;text
-1;74;74;PRON;PER;we
-1;78;78;PRON;PER;us
-1;80;80;PRON;PER;we
-1;84;84;PRON;PER;us
-1;86;86;PRON;PER;we
-1;92;92;NOM;LOC;Heaven
-1;94;94;PRON;PER;we
-1;117;121;NOM;PER;some of its noisiest authorities
-1;119;119;PRON;FAC;its
-1;144;149;NOM;PER;a king with a large jaw
-1;151;156;NOM;PER;a queen with a plain face
1;162;162;PROP;GPE;England
-1;166;171;NOM;PER;a king with a large jaw
-1;173;178;NOM;PER;a queen with a fair face
-1;181;184;NOM;LOC;the throne of France
2;184;184;PROP;GPE;France
-1;187;188;NOM;GPE;both countries
-1;195;199;NOM;PER;the lords of the State
-1;198;199;NOM;GPE;the State
-1;220;220;PRON;PER;Our
1;236;236;PROP;GPE;England
127;246;247;PROP;PER;Mrs. Southcott
-1;251;251;PRON;PER;her
-1;262;268;NOM;PER;a prophetic private in the Life Guards
3;285;285;PROP;GPE;London
4;287;287;PROP;GPE;Westminster
-1;312;319;NOM;PER;the spirits of this very year last past
-1;328;328;PRON;PER;theirs
-1;342;346;NOM;PER;the English Crown and People
-1;349;355;NOM;PER;a congress of British subjects in America
-1;352;355;NOM;PER;British subjects in America
5;355;355;PROP;GPE;America
-1;368;370;NOM;PER;the human race
-1;382;386;NOM;PER;the Cock - lane brood
2;388;388;PROP;GPE;France
-1;400;400;PRON;PER;her
-1;400;401;NOM;PER;her sister
-1;426;426;PRON;PER;her
-1;426;428;NOM;PER;her Christian pastors
-1;430;430;PRON;PER;she
-1;432;432;PRON;PER;herself
-1;442;443;NOM;PER;a youth
-1;446;446;PRON;PER;his
-1;451;451;PRON;PER;his
-1;459;459;PRON;PER;his
-1;465;465;PRON;PER;he
-1;485;485;PRON;PER;his
-1;506;511;NOM;LOC;the woods of France and Norway
2;509;509;PROP;GPE;France
6;511;511;PROP;GPE;Norway
-1;519;520;NOM;PER;that sufferer
-1;529;532;NOM;PER;the Woodman , Fate
-1;568;580;NOM;FAC;the rough outhouses of some tillers of the heavy lands adjacent to Paris
-1;572;580;NOM;FAC;some tillers of the heavy lands adjacent to Paris
-1;575;577;NOM;LOC;the heavy lands
7;580;580;PROP;GPE;Paris
-1;612;613;NOM;PER;the Farmer
128;615;615;PROP;PER;Death
-1;623;623;PRON;PER;his
-1;630;631;NOM;PER;that Woodman
-1;633;634;NOM;PER;that Farmer
-1;637;637;PRON;PER;they
-1;645;646;NOM;PER;no one
-1;648;648;PRON;PER;them
-1;650;650;PRON;PER;they
-1;667;667;PRON;PER;they
1;679;679;PROP;GPE;England
-1;699;700;NOM;PER;armed men
-1;709;710;NOM;GPE;the capital
-1;715;715;NOM;PER;families
-1;724;724;NOM;GPE;town
-1;727;727;PRON;PER;their
-1;730;732;NOM;FAC;upholsterers â€™ warehouses
-1;736;740;NOM;PER;the highwayman in the dark
-1;742;747;NOM;PER;a City tradesman in the light
-1;756;756;PRON;PER;his
-1;756;759;NOM;PER;his fellow - tradesman
-1;761;761;PRON;PER;he
-1;764;764;PRON;PER;his
-1;768;769;NOM;PER;the Captain
-1;774;774;PRON;PER;him
-1;787;788;NOM;PER;seven robbers
-1;791;792;NOM;PER;the guard
-1;802;802;PRON;PER;himself
-1;804;806;NOM;PER;the other four
-1;815;815;PRON;PER;his
-1;828;836;NOM;PER;that magnificent potentate , the Lord Mayor of London
-1;832;836;NOM;PER;the Lord Mayor of London
3;836;836;PROP;GPE;London
8;845;846;PROP;FAC;Turnham Green
-1;849;850;NOM;PER;one highwayman
-1;861;861;PRON;PER;his
-1;861;862;NOM;PER;his retinue
-1;864;867;NOM;PER;prisoners in London gaols
3;866;866;PROP;GPE;London
-1;866;867;NOM;FAC;London gaols
-1;871;871;PRON;PER;their
-1;884;884;PRON;PER;them
-1;894;894;NOM;PER;thieves
-1;903;904;NOM;PER;noble lords
-1;906;909;NOM;FAC;Court drawing - rooms
-1;911;911;NOM;PER;musketeers
9;914;916;PROP;FAC;St. Giles â€™s
-1;925;926;NOM;PER;the mob
-1;929;930;NOM;PER;the musketeers
-1;933;934;NOM;PER;the musketeers
-1;937;938;NOM;PER;the mob
-1;941;941;NOM;PER;nobody
-1;958;958;PRON;PER;them
-1;960;961;NOM;PER;the hangman
-1;983;984;NOM;PER;miscellaneous criminals
-1;1003;1003;NOM;PER;people
10;1008;1008;PROP;GPE;Newgate
11;1021;1022;PROP;FAC;Westminster Hall
-1;1032;1034;NOM;PER;an atrocious murderer
-1;1041;1052;NOM;PER;a wretched pilferer who had robbed a farmer â€™s boy of sixpence
-1;1047;1052;NOM;PER;a farmer â€™s boy of sixpence
-1;1086;1086;PRON;PER;them
-1;1089;1090;NOM;PER;the Woodman
-1;1092;1093;NOM;PER;the Farmer
-1;1105;1114;NOM;PER;those other two of the plain and the fair faces
-1;1123;1123;PRON;PER;their
-1;1144;1144;PRON;PER;their
-1;1159;1160;NOM;PER;the rest
-1;1163;1168;NOM;FAC;the roads that lay before them
-1;1168;1168;PRON;PER;them
-1;1177;1179;NOM;FAC;the Dover road
-1;1195;1202;NOM;PER;the persons with whom this history has business
-1;1204;1206;NOM;FAC;The Dover road
-1;1211;1211;PRON;PER;him
-1;1219;1219;PRON;VEH;it
12;1222;1224;PROP;LOC;Shooter â€™s Hill
-1;1226;1226;PRON;PER;He
-1;1241;1245;NOM;PER;the rest of the passengers
-1;1244;1245;NOM;PER;the passengers
-1;1250;1250;PRON;PER;they
-1;1265;1266;NOM;LOC;the hill
-1;1300;1301;NOM;VEH;the coach
-1;1303;1304;NOM;FAC;the road
-1;1312;1312;PRON;VEH;it
13;1315;1315;PROP;GPE;Blackheath
-1;1321;1321;NOM;PER;coachman
-1;1323;1323;NOM;PER;guard
-1;1358;1359;NOM;PER;the team
-1;1365;1365;PRON;PER;their
-1;1375;1375;PRON;PER;they
-1;1377;1377;PRON;PER;their
-1;1392;1392;PRON;PER;they
-1;1405;1406;NOM;PER;the driver
-1;1408;1408;PRON;PER;them
-1;1411;1411;PRON;PER;them
-1;1431;1433;NOM;PER;the near leader
-1;1436;1436;PRON;PER;his
-1;1451;1452;NOM;VEH;the coach
-1;1457;1458;NOM;LOC;the hill
-1;1461;1462;NOM;PER;the leader
-1;1467;1468;NOM;PER;the passenger
-1;1472;1474;NOM;PER;a nervous passenger
-1;1489;1491;NOM;LOC;all the hollows
-1;1501;1502;NOM;LOC;the hill
-1;1544;1546;NOM;LOC;an unwholesome sea
-1;1568;1568;PRON;LOC;its
-1;1577;1577;NOM;FAC;road
-1;1592;1592;PRON;PER;they
-1;1598;1600;NOM;PER;Two other passengers
-1;1603;1604;NOM;PER;the one
-1;1609;1610;NOM;LOC;the hill
-1;1618;1619;NOM;PER;All three
-1;1639;1640;NOM;PER;the three
-1;1647;1647;PRON;PER;he
-1;1684;1684;PRON;PER;his
-1;1684;1686;NOM;PER;his two companions
-1;1692;1692;NOM;PER;travellers
-1;1705;1708;NOM;PER;anybody on the road
-1;1707;1708;NOM;FAC;the road
-1;1711;1712;NOM;PER;a robber
-1;1717;1717;NOM;PER;robbers
-1;1725;1728;NOM;FAC;every posting - house
-1;1730;1732;NOM;FAC;ale - house
-1;1735;1735;NOM;PER;somebody
-1;1738;1739;NOM;PER;the Captain
-1;1746;1747;NOM;PER;the landlord
-1;1766;1771;NOM;PER;the guard of the Dover mail
-1;1774;1774;PRON;PER;himself
12;1793;1795;PROP;FAC;Shooter â€™s Hill
-1;1798;1798;PRON;PER;he
-1;1801;1801;PRON;PER;his
-1;1810;1810;PRON;PER;his
-1;1826;1826;PRON;PER;him
15;1853;1853;PROP;GPE;Dover
-1;1862;1863;NOM;PER;the guard
-1;1865;1866;NOM;PER;the passengers
-1;1868;1869;NOM;PER;the passengers
-1;1871;1872;NOM;PER;one another
-1;1874;1875;NOM;PER;the guard
-1;1877;1877;PRON;PER;they
-1;1880;1881;NOM;PER;everybody else
-1;1884;1885;NOM;PER;the coachman
-1;1898;1898;PRON;PER;he
-1;1906;1906;PRON;PER;his
-1;1909;1911;NOM;PER;the two Testaments
-1;1913;1913;PRON;PER;they
-1;1928;1929;NOM;PER;the coachman
-1;1940;1940;PRON;PER;you
-1;1949;1949;PRON;PER;you
-1;1952;1952;PRON;PER;I
-1;1959;1959;PRON;PER;you
129;1965;1965;PROP;PER;Halloa
-1;1968;1969;NOM;PER;the guard
-1;1976;1976;PRON;PER;you
130;1980;1980;PROP;PER;Joe
-1;1994;1994;PRON;PER;My
-1;1999;2001;NOM;PER;the vexed coachman
131;2008;2008;PROP;PER;Shooter
-1;2019;2019;PRON;PER;you
-1;2022;2035;NOM;PER;The emphatic horse , cut short by the whip in a most decided negative
-1;2045;2048;NOM;PER;the three other horses
-1;2067;2068;NOM;PER;its passengers
-1;2072;2072;PRON;PER;its
-1;2075;2075;PRON;PER;They
-1;2079;2080;NOM;VEH;the coach
-1;2084;2084;PRON;PER;they
-1;2089;2089;PRON;PER;it
-1;2092;2096;NOM;PER;any one of the three
-1;2095;2096;NOM;PER;the three
-1;2117;2117;PRON;PER;he
-1;2121;2121;PRON;PER;himself
-1;2131;2132;NOM;PER;a highwayman
-1;2141;2145;NOM;LOC;the summit of the hill
-1;2144;2145;NOM;LOC;the hill
-1;2155;2156;NOM;PER;the guard
-1;2175;2176;NOM;PER;the passengers
130;2182;2182;PROP;PER;Joe
-1;2186;2187;NOM;PER;the coachman
-1;2196;2196;PRON;PER;his
-1;2202;2202;PRON;PER;you
132;2205;2205;PROP;PER;Tom
-1;2208;2208;PRON;PER;They
-1;2213;2213;PRON;PER;I
130;2223;2223;PROP;PER;Joe
-1;2228;2228;PRON;PER;I
132;2237;2237;PROP;PER;Tom
-1;2241;2242;NOM;PER;the guard
-1;2245;2245;PRON;PER;his
-1;2255;2255;PRON;PER;his
-1;2259;2259;NOM;PER;Gentlemen
-1;2262;2263;NOM;PER;the king
-1;2269;2269;PRON;PER;you
-1;2277;2277;PRON;PER;he
-1;2279;2279;PRON;PER;his
-1;2288;2293;NOM;PER;The passenger booked by this history
-1;2305;2308;NOM;PER;the two other passengers
-1;2312;2312;PRON;PER;him
-1;2319;2319;PRON;PER;He
-1;2327;2328;NOM;VEH;the coach
-1;2334;2334;PRON;PER;they
-1;2337;2340;NOM;FAC;the road below him
-1;2340;2340;PRON;PER;him
-1;2342;2342;PRON;PER;They
-1;2346;2347;NOM;PER;the coachman
-1;2349;2350;NOM;PER;the guard
-1;2354;2355;NOM;PER;the guard
-1;2357;2358;NOM;PER;the coachman
-1;2363;2364;NOM;PER;The coachman
-1;2368;2369;NOM;PER;the guard
-1;2375;2377;NOM;PER;the emphatic leader
-1;2380;2380;PRON;PER;his
-1;2401;2402;NOM;VEH;the coach
-1;2428;2429;NOM;VEH;the coach
-1;2444;2445;NOM;PER;the passengers
-1;2466;2482;NOM;PER;people out of breath , and holding the breath , and having the pulses quickened by expectation
-1;2497;2498;NOM;LOC;the hill
-1;2506;2507;NOM;PER;the guard
-1;2514;2514;PRON;PER;he
-1;2524;2524;PRON;PER;I
-1;2543;2544;NOM;PER;a man
-1;2562;2562;PRON;PER;you
-1;2569;2570;NOM;PER;the guard
-1;2576;2576;PRON;PER;you
-1;2592;2592;PRON;PER;you
-1;2599;2599;PRON;PER;I
