COREF;start_token;end_token;prop;cat;text
698;1;3;NOM;PER;A Chancery judge
0;10;10;PRON;PER;me
699;15;22;NOM;PER;a company of some hundred and fifty men
700;24;31;NOM;PER;women not labouring under any suspicions of lunacy
1;34;37;PROP;ORG;the Court of Chancery
0;51;51;PRON;PER;I
701;53;54;NOM;PER;the judge
0;61;61;PRON;PER;my
701;73;73;PRON;PER;he
9471;101;102;NOM;PER;the public
702;106;107;NOM;PER;guilty public
703;130;132;NOM;PER;Chancery judges appointed
0;134;134;PRON;PER;I
243;137;139;PROP;PER;Richard the Second
704;142;144;NOM;PER;any other king
0;153;153;PRON;PER;me
0;168;168;PRON;PER;I
244;174;175;PROP;PER;Conversation Kenge
245;178;179;PROP;PER;Mr. Vholes
0;187;187;PRON;PER;I
0;197;197;PRON;PER;I
246;209;209;PROP;PER;Shakespeare
246;214;214;PRON;PER;My
9472;225;226;NOM;PER;the dyer
246;231;231;PRON;PER;me
246;237;237;PRON;PER;I
705;248;250;NOM;PER;the parsimonious public
0;267;267;PRON;PER;I
706;278;281;NOM;FAC;the Court of Chancery
247;294;294;PROP;PER;Gridley
707;309;326;NOM;PER;a disinterested person who was professionally acquainted with the whole of the monstrous wrong from beginning to end
708;355;358;NOM;PER;thirty to forty counsel
0;392;392;PRON;PER;I
0;452;452;PRON;PER;I
709;454;459;NOM;PER;other authorities for Jarndyce and Jarndyce
248;457;457;PROP;PER;Jarndyce
248;459;459;PROP;PER;Jarndyce
0;461;461;PRON;PER;I
710;474;476;NOM;PER;a parsimonious public
0;486;486;PRON;PER;I
249;508;509;PROP;PER;Mr. Krook
0;512;512;PRON;PER;my
711;512;514;NOM;PER;my good friend
250;515;516;PROP;PER;Mr. Lewes
250;522;522;PRON;PER;he
712;535;536;NOM;PER;all authorities
0;543;543;PRON;PER;me
0;562;562;PRON;PER;I
0;569;569;PRON;PER;I
0;576;576;PRON;PER;my
713;576;577;NOM;PER;my readers
0;581;581;PRON;PER;I
0;585;585;PRON;PER;I
251;609;614;PROP;PER;the Countess Cornelia de Baudi Cesenate
252;622;623;PROP;PER;Giuseppe Bianchini
714;625;651;NOM;PER;a prebendary of Verona , otherwise distinguished in letters , who published an account of it at Verona in 1731 , which he afterwards republished at Rome
2;628;628;PROP;GPE;Verona
2;642;642;PROP;GPE;Verona
252;647;647;PRON;PER;he
3;651;651;PROP;GPE;Rome
249;670;671;PROP;PER;Mr. Krook
4;682;682;PROP;GPE;Rheims
715;688;692;NOM;PER;the historian in that case
253;694;695;PROP;PER;Le Cat
716;697;705;NOM;PER;one of the most renowned surgeons produced by France
5;705;705;PROP;GPE;France
717;707;708;NOM;PER;The subject
718;710;711;NOM;PER;a woman
718;721;721;PRON;PER;her
719;728;730;NOM;PER;a higher court
249;732;732;PRON;PER;he
718;743;743;PRON;PER;she
0;758;758;PRON;PER;I
720;798;800;NOM;PER;distinguished medical professors
254;807;807;PROP;PER;Scotch
0;815;815;PRON;PER;myself
0;819;819;PRON;PER;I
721;848;849;NOM;FAC;Bleak House
0;850;850;PRON;PER;I
722;904;905;NOM;PER;a dentist
723;909;911;NOM;GPE;the town of
6;912;912;PROP;GPE;Columbus
724;915;919;NOM;GPE;the United States of America
717;924;925;NOM;PER;The subject
726;931;934;NOM;FAC;a liquor - shop
727;937;939;NOM;PER;an inveterate drunkard
7;944;944;PROP;GPE;Chancery
8;945;945;PROP;GPE;London
728;953;955;NOM;PER;the Lord Chancellor
9;958;961;PROP;FAC;Lincoln â€™s Inn Hall
729;971;972;NOM;FAC;the streets
730;985;986;NOM;LOC;the earth
10;1011;1012;PROP;FAC;Holborn Hill
255;1057;1057;PROP;PER;Dogs
731;1070;1070;PRON;PER;their
732;1074;1075;NOM;PER;Foot passengers
733;1078;1079;NOM;PER;one another
732;1092;1092;PRON;PER;their
734;1102;1108;NOM;PER;tens of thousands of other foot passengers
735;1157;1158;NOM;LOC;the river
736;1164;1167;NOM;LOC;green aits and meadows
735;1171;1172;NOM;LOC;the river
738;1188;1194;NOM;GPE;a great ( and dirty ) city
739;1198;1200;NOM;LOC;the Essex marshes
740;1204;1206;NOM;LOC;the Kentish heights
741;1211;1216;NOM;FAC;the cabooses of collier - brigs
742;1214;1216;NOM;VEH;collier - brigs
743;1222;1223;NOM;FAC;the yards
744;1230;1231;NOM;VEH;great ships
745;1239;1239;NOM;VEH;barges
746;1241;1242;NOM;VEH;small boats
747;1251;1253;NOM;PER;ancient Greenwich pensioners
747;1260;1260;PRON;PER;their
748;1274;1276;NOM;PER;the wrathful skipper
748;1280;1280;PRON;PER;his
749;1280;1282;NOM;FAC;his close cabin
748;1292;1292;PRON;PER;his
