COREF;start_token;end_token;prop;cat;text
0;2;2;PRON;PER;My
432;2;3;NOM;PER;My father
249;8;8;PROP;PER;Pirrip
0;11;11;PRON;PER;my
249;14;14;PROP;PER;Philip
0;16;16;PRON;PER;my
249;30;30;PROP;PER;Pip
0;34;34;PRON;PER;I
0;36;36;PRON;PER;myself
249;37;37;PROP;PER;Pip
249;44;44;PROP;PER;Pip
0;46;46;PRON;PER;I
249;48;48;PROP;PER;Pirrip
0;50;50;PRON;PER;my
432;50;51;NOM;PER;my father
432;60;60;PRON;PER;his
0;63;63;PRON;PER;my
434;63;64;NOM;PER;my sister,â€”Mrs
151;66;67;PROP;PER;Joe Gargery
435;71;72;NOM;PER;the blacksmith
0;75;75;PRON;PER;I
0;78;78;PRON;PER;my
432;78;79;NOM;PER;my father
0;81;81;PRON;PER;my
437;81;82;NOM;PER;my mother
438;92;92;PRON;PER;them
438;95;95;PRON;PER;their
0;106;106;PRON;PER;my
438;111;111;PRON;PER;they
438;118;118;PRON;PER;their
0;127;127;PRON;PER;my
432;127;128;NOM;PER;my father
0;132;132;PRON;PER;me
432;137;137;PRON;PER;he
440;139;150;NOM;PER;a square , stout , dark man , with curly black hair
4439;164;169;NOM;PER;Georgiana Wife of the Above _
4440;167;169;NOM;PER;the Above _
0;172;172;PRON;PER;I
0;178;178;PRON;PER;my
437;178;179;NOM;PER;my mother
438;208;208;PRON;PER;their
442;218;222;NOM;PER;five little brothers of mine,â€”who
443;222;222;PRON;PER;mine,â€”who
0;242;242;PRON;PER;I
438;246;246;PRON;PER;they
438;252;252;PRON;PER;their
438;255;255;PRON;PER;their
438;258;258;PRON;PER;their
438;267;267;PRON;PER;them
444;275;275;PRON;PER;Ours
445;277;279;NOM;LOC;the marsh country
446;283;284;NOM;LOC;the river
446;289;290;NOM;LOC;the river
448;296;297;NOM;LOC;the sea
0;299;299;PRON;PER;My
0;313;313;PRON;PER;me
0;330;330;PRON;PER;I
449;336;341;NOM;LOC;this bleak place overgrown with nettles
450;343;344;NOM;FAC;the churchyard
249;348;349;PROP;PER;Philip Pirrip
451;353;354;NOM;FAC;this parish
452;358;362;NOM;PER;Georgiana wife of the above
152;371;371;PROP;PER;Alexander
153;373;373;PROP;PER;Bartholomew
154;375;375;PROP;PER;Abraham
155;377;377;PROP;PER;Tobias
156;380;380;PROP;PER;Roger
453;382;386;NOM;PER;infant children of the aforesaid
454;385;386;NOM;PER;the aforesaid
455;396;402;NOM;LOC;the dark flat wilderness beyond the churchyard
450;401;402;NOM;FAC;the churchyard
455;417;417;PRON;LOC;it
457;420;421;NOM;LOC;the marshes
446;431;432;NOM;LOC;the river
459;436;443;NOM;LOC;the distant savage lair from which the wind
448;447;448;NOM;LOC;the sea
461;452;465;NOM;PER;the small bundle of shivers growing afraid of it all and beginning to cry
249;468;468;PROP;PER;Pip
249;472;472;PRON;PER;your
462;482;483;NOM;PER;a man
463;494;496;NOM;FAC;the church porch
249;502;502;PRON;PER;you
4441;502;504;NOM;PER;you little devil
462;507;507;PRON;PER;I
249;510;510;PRON;PER;your
464;514;529;NOM;PER;A fearful man , all in coarse grey , with a great iron on his leg
462;528;528;PRON;PER;his
465;531;540;NOM;PER;A man with no hat , and with broken shoes
462;549;549;PRON;PER;his
466;552;596;NOM;PER;"A man who had been soaked in water , and smothered in mud , and lamed by stones , and cut by flints , and stung by nettles , and torn by briars ; who limped , and shivered , and glared , and growled"
462;603;603;PRON;PER;his
462;606;606;PRON;PER;he
0;608;608;PRON;PER;me
0;619;619;PRON;PER;my
4442;622;622;NOM;PER;sir
0;625;625;PRON;PER;I
4442;637;637;NOM;PER;sir
4444;642;642;PRON;PER;us
0;643;643;PRON;PER;your
467;648;649;NOM;PER;the man
249;656;656;PROP;PER;Pip
4442;658;658;NOM;PER;sir
467;667;668;NOM;PER;the man
0;672;672;PRON;PER;me
249;681;681;PROP;PER;Pip
249;683;683;PROP;PER;Pip
4442;685;685;NOM;PER;sir
4444;690;690;PRON;PER;us
0;692;692;PRON;PER;you
467;697;698;NOM;PER;the man
4447;703;704;NOM;LOC;the place
0;707;707;PRON;PER;I
470;711;711;PRON;PER;our
471;711;712;NOM;GPE;our village
472;716;725;NOM;LOC;the flat in - shore among the alder - trees
473;734;735;NOM;FAC;the church
467;737;738;NOM;PER;The man
0;743;743;PRON;PER;me
0;749;749;PRON;PER;me
0;755;755;PRON;PER;my
473;770;771;NOM;FAC;the church
467;775;775;PRON;PER;he
467;782;782;PRON;PER;he
0;790;790;PRON;PER;me
0;793;793;PRON;PER;I
0;798;798;PRON;PER;my
473;800;801;NOM;FAC;the church
473;804;804;PRON;PER;itself
0;806;806;PRON;PER;I
0;809;809;PRON;PER;I
467;819;819;PRON;PER;he
0;829;829;PRON;PER;You
467;835;836;NOM;PER;the man
467;839;839;PRON;PER;his
0;846;846;PRON;PER;you
0;852;852;PRON;PER;I
0;859;859;PRON;PER;I
0;866;866;PRON;PER;my
467;875;875;PRON;PER;me
467;877;877;PRON;PER;I
4448;881;881;PRON;PER;â€™em
467;885;886;NOM;PER;the man
467;893;893;PRON;PER;his
467;899;899;PRON;PER;I
0;907;907;PRON;PER;I
0;910;910;PRON;PER;my
467;913;913;PRON;PER;he
467;925;925;PRON;PER;he
0;928;928;PRON;PER;me
0;934;934;PRON;PER;myself
0;942;942;PRON;PER;myself
467;953;954;NOM;PER;the man
0;959;959;PRON;PER;your
4449;959;960;NOM;PER;your mother
4442;966;966;NOM;PER;sir
0;970;970;PRON;PER;I.
467;971;971;PRON;PER;He
467;984;984;PRON;PER;his
4442;990;990;NOM;PER;sir
0;993;993;PRON;PER;I
157;999;999;PROP;PER;Georgiana
0;1003;1003;PRON;PER;my
437;1003;1004;NOM;PER;my mother
467;1012;1012;PRON;PER;he
0;1021;1021;PRON;PER;your
4453;1021;1022;NOM;PER;your father
0;1024;1024;PRON;PER;your
4449;1024;1025;NOM;PER;your mother
4442;1031;1031;NOM;PER;sir
0;1035;1035;PRON;PER;I
4453;1038;1038;PRON;PER;him
451;1043;1044;NOM;FAC;this parish
467;1051;1051;PRON;PER;he
0;1063;1063;PRON;PER;you
467;1071;1071;PRON;PER;I
467;1075;1075;PRON;PER;my
0;1081;1081;PRON;PER;My
4457;1081;1082;NOM;PER;My sister
4458;1084;1084;NOM;PER;sir,â€”Mrs
