COREF;start_token;end_token;prop;cat;text
832;46;46;PRON;FAC;it
1;50;51;PROP;LOC;the Thames
833;54;59;NOM;FAC;Southwark bridge which is of iron
2;62;63;PROP;FAC;London Bridge
834;77;81;NOM;PER;The figures in this boat
835;85;97;NOM;PER;a strong man with ragged grizzled hair and a sun - browned face
836;100;106;NOM;PER;a dark girl of nineteen or twenty
835;110;110;PRON;PER;him
835;115;115;PRON;PER;his
837;115;116;NOM;PER;his daughter
838;118;119;NOM;PER;The girl
839;130;131;NOM;PER;the man
839;140;140;PRON;PER;his
839;144;144;PRON;PER;his
839;148;148;PRON;PER;his
839;157;157;PRON;PER;He
839;168;168;PRON;PER;he
840;172;173;NOM;PER;a fisherman
839;175;175;PRON;PER;his
841;175;176;NOM;VEH;his boat
842;181;182;NOM;PER;a sitter
839;203;203;PRON;PER;he
843;207;208;NOM;PER;a waterman
839;210;210;PRON;PER;his
841;210;211;NOM;VEH;his boat
839;226;226;PRON;PER;he
845;230;231;NOM;PER;a lighterman
846;233;235;NOM;PER;river - carrier
839;243;243;PRON;PER;he
839;248;248;PRON;PER;he
839;276;276;PRON;PER;his
847;290;291;NOM;VEH;the boat
847;298;298;PRON;FAC;it
847;305;305;PRON;PER;it
839;309;309;PRON;PER;he
839;311;311;PRON;PER;his
837;311;312;NOM;PER;his daughter
839;317;317;PRON;PER;his
837;320;320;PRON;PER;She
839;322;322;PRON;PER;his
839;327;327;PRON;PER;he
849;329;330;NOM;LOC;the river
837;338;338;PRON;PER;her
245;349;349;PROP;PER;Allied
850;351;355;NOM;LOC;the bottom of the river
849;354;355;NOM;LOC;the river
852;379;380;NOM;VEH;this boat
853;382;386;NOM;PER;the two figures in it
853;392;392;PRON;PER;they
853;400;400;PRON;PER;they
839;407;408;NOM;PER;the man
839;415;415;PRON;PER;his
839;420;420;PRON;PER;his
839;443;443;PRON;PER;his
839;458;458;PRON;PER;he
839;470;470;PRON;PER;his
841;470;471;NOM;VEH;his boat
839;482;482;PRON;PER;his
838;492;493;NOM;PER;the girl
838;499;499;PRON;PER;her
838;507;507;PRON;PER;her
246;525;525;PROP;PER;Lizzie
838;533;533;PRON;PER;her
838;544;545;NOM;PER;the girl
839;556;556;PRON;PER;he
838;567;568;NOM;PER;the girl
839;570;570;PRON;PER;him
847;592;593;NOM;VEH;the boat
860;610;613;NOM;PER;a muffled human form
838;625;626;NOM;PER;the girl
838;631;631;PRON;PER;she
838;637;637;PRON;PER;you
839;641;642;NOM;PER;the man
839;658;658;PRON;PER;I
839;676;676;PRON;PER;his
847;684;685;NOM;VEH;the boat
839;703;703;PRON;PER;his
864;719;742;NOM;VEH;every stationery boat or barge that split the current into a broad - arrowhead , at the offsets from the piers of Southwark Bridge
865;738;742;NOM;FAC;the piers of Southwark Bridge
3;741;742;PROP;FAC;Southwark Bridge
866;752;752;PRON;PER;they
839;771;771;PRON;PER;his
839;793;793;PRON;PER;his
839;797;797;PRON;PER;he
867;801;803;NOM;LOC;the Surrey shore
839;807;807;PRON;PER;his
838;810;811;NOM;PER;the girl
838;818;818;PRON;PER;her
847;822;823;NOM;VEH;the boat
839;839;840;NOM;PER;the man
838;848;849;NOM;PER;The girl
838;856;856;PRON;PER;she
838;860;860;PRON;PER;her
838;864;864;PRON;PER;her
849;882;883;NOM;LOC;the river
847;886;887;NOM;VEH;the boat
847;899;900;NOM;VEH;the boat
838;904;904;PRON;PER;her
2;931;932;PROP;FAC;London Bridge
875;952;957;NOM;PER;the upper half of the man
847;961;962;NOM;VEH;the boat
839;964;964;PRON;PER;His
839;972;972;PRON;PER;he
839;980;980;PRON;PER;his
839;983;983;PRON;PER;he
839;988;988;PRON;PER;he
849;992;993;NOM;LOC;the river
839;1000;1000;PRON;PER;He
839;1006;1006;PRON;PER;he
839;1013;1013;PRON;PER;he
839;1021;1021;PRON;PER;he
839;1026;1026;PRON;PER;he
839;1030;1030;PRON;PER;his
