COREF;start_token;end_token;prop;cat;text
0;1;1;PRON;PER;I
0;14;14;PRON;PER;me
12;16;17;PROP;PER;Mrs. Peerybingle
0;20;20;PRON;PER;I
12;24;25;PROP;PER;Mrs. Peerybingle
12;37;37;PRON;PER;she
77;43;43;PRON;PER;them
0;49;49;PRON;PER;I
0;55;55;PRON;PER;I
0;60;60;PRON;PER;I
13;84;85;PROP;PER;the Cricket
78;100;108;NOM;PER;the convulsive little Haymaker at the top of it
79;121;123;NOM;FAC;a Moorish Palace
80;136;137;NOM;PER;the Cricket
0;145;145;PRON;PER;I
81;151;152;NOM;PER;Every one
0;156;156;PRON;PER;I
0;160;160;PRON;PER;my
12;167;168;PROP;PER;Mrs. Peerybingle
0;171;171;PRON;PER;I
0;184;184;PRON;PER;me
0;222;222;PRON;PER;me
0;225;225;PRON;PER;I
0;231;231;PRON;PER;me
0;238;238;PRON;PER;I
0;246;246;PRON;PER;my
0;258;258;PRON;PER;I
0;264;264;PRON;PER;I
82;304;304;PRON;PER;you
13;312;313;PROP;PER;the Cricket
12;329;330;PROP;PER;Mrs. Peerybingle
83;363;364;NOM;FAC;the yard
12;366;367;PROP;PER;Mrs. Peerybingle
12;395;396;PROP;PER;Mrs. Peerybingle
12;402;402;PRON;PER;she
12;413;413;PRON;PER;she
12;415;415;PRON;PER;her
12;463;464;PROP;PER;Mrs. Peerybingle
12;471;471;PRON;PER;her
84;476;476;PRON;PER;we
84;479;479;PRON;PER;ourselves
84;486;486;PRON;PER;our
84;491;491;PRON;PER;ourselves
84;499;499;PRON;PER;we
85;561;566;NOM;PER;a very Idiot of a kettle
86;572;572;PRON;PER;It
12;594;595;PROP;PER;Mrs. Peerybingle
87;634;639;NOM;FAC;the hull of the Royal George
14;637;639;PROP;PER;the Royal George
12;662;663;PROP;PER;Mrs. Peerybingle
12;666;666;PRON;PER;she
14;672;672;PRON;PER;It
12;701;702;PROP;PER;Mrs. Peerybingle
14;706;706;PRON;PER;it
14;710;710;PRON;PER;I
14;718;718;PRON;PER;me
12;722;723;PROP;PER;Mrs. Peerybingle
12;731;731;PRON;PER;her
88;777;777;PRON;PER;he
89;782;784;NOM;FAC;the Moorish Palace
88;795;795;PRON;PER;He
88;805;805;PRON;PER;his
88;820;820;PRON;PER;his
90;838;839;NOM;PER;a Cuckoo
91;848;849;NOM;FAC;the Palace
88;859;859;PRON;PER;him
88;877;877;PRON;PER;his
