COREF,start_token,end_token,prop,cat,text
1,20,20,PROP,GPE,England
2,80,80,PROP,GPE,London
3,267,267,PROP,GPE,Yorkshire
6,1219,1220,PROP,GPE,Falkland Islands
7,1428,1428,PROP,GPE,Ludgate
9,1492,1492,PROP,GPE,Tyburn
45,1526,1526,PROP,GPE,Cornhill
11,3458,3458,PROP,GPE,Chigwell
12,5025,5025,PROP,GPE,"London,--all"
13,5409,5409,PROP,GPE,argeyment
19,15983,15983,PROP,GPE,Clerkenwell
21,16151,16151,PROP,GPE,Whitechapel
24,20899,20899,PROP,GPE,Southwark
28,32847,32847,PROP,GPE,Aldgate
26,34726,34726,PROP,GPE,Barbican
210,54513,54513,PROP,GPE,Heaven
40,61638,61639,PROP,GPE,Kentish Town
41,61641,61641,PROP,GPE,Hampstead
42,61646,61646,PROP,GPE,Kensington
43,61648,61648,PROP,GPE,Chelsea
46,68983,68983,PROP,GPE,Smithfield
47,73246,73246,PROP,GPE,Egypt
228,76653,76653,PROP,GPE,Edward
53,92768,92768,PROP,GPE,Canterbury
55,98980,98980,PROP,GPE,Eden
56,100778,100778,PROP,GPE,Europe
61,118328,118328,PROP,GPE,Islington
62,118333,118333,PROP,GPE,Highgate
64,120633,120633,PROP,GPE,Gravesend
65,120643,120643,PROP,GPE,Chatham
67,133994,133994,PROP,GPE,Suffolk
68,134317,134317,PROP,GPE,Scottish
69,134559,134559,PROP,GPE,Scotland
71,136681,136681,PROP,GPE,Newgate
73,138182,138182,PROP,GPE,Country
75,140786,140786,PROP,GPE,Cheapside
79,141074,141074,PROP,GPE,Westminster
86,149445,149445,PROP,GPE,Holborn
90,161421,161421,PROP,GPE,Vauxhall
93,162870,162872,PROP,GPE,Saint Omer â€™s
94,162915,162915,PROP,GPE,Paris
100,179851,179851,PROP,GPE,Surrey
101,180941,180944,PROP,GPE,St George â€™s Fields
333,185836,185836,PROP,GPE,Parliament
107,188188,188188,PROP,GPE,Blackfriars
112,198374,198374,PROP,GPE,Moorfields
113,202313,202313,PROP,GPE,Wapping
117,210731,210732,PROP,GPE,Leicester Fields
279,220479,220479,PROP,GPE,Damme
124,237255,237255,PROP,GPE,Houndsditch
132,252768,252768,PROP,GPE,Piccadilly
140,253702,253702,PROP,GPE,Woolwich
141,253920,253920,PROP,GPE,Bedlam
153,258049,258049,PROP,GPE,Finchley
402,262705,262705,PROP,GPE,Hallo
325,267143,267144,PROP,GPE,Muster Gashford
159,268351,268351,PROP,GPE,durance
160,270611,270611,PROP,GPE,Britain
162,273546,273546,PROP,GPE,China
163,274352,274352,PROP,GPE,America
412,274528,274528,PROP,GPE,Salwanners
165,275231,275231,PROP,GPE,purse
169,284902,284902,PROP,GPE,Newgate--
172,302287,302287,PROP,GPE,Wales
174,303394,303395,PROP,GPE,Great Britain
175,307027,307027,PROP,GPE,Bristol
176,311621,311621,PROP,GPE,France
177,311649,311649,PROP,GPE,Holland
178,311666,311666,PROP,GPE,Amsterdam
179,311690,311690,PROP,GPE,Harwich
180,311696,311696,PROP,GPE,Birmingham
181,312560,312560,PROP,GPE,Millbank
