COREF,start_token,end_token,prop,cat,text
1,429,429,PROP,GPE,England
3,801,801,PROP,GPE,London
4,908,909,PROP,GPE,New York
5,1002,1002,PROP,GPE,America
8,2261,2261,PROP,GPE,Spain
9,2421,2421,PROP,GPE,Westminster
11,4573,4573,PROP,GPE,Salisbury
13,15220,15220,PROP,GPE,Christendom
17,32143,32143,PROP,GPE,Ireland
20,42194,42194,PROP,GPE,Hope
21,42202,42202,PROP,GPE,Bounty
23,46491,46491,PROP,GPE,Rome
24,46500,46500,PROP,GPE,Constantinople
257,53335,53336,PROP,GPE,Chevy Slyme
27,57701,57701,PROP,GPE,Africa
33,65129,65130,PROP,GPE,Don Juan
35,66891,66891,PROP,GPE,Scotland
320,67446,67446,PROP,GPE,Todgers
39,70108,70108,PROP,GPE,Camberwell
40,75579,75579,PROP,GPE,Germany
350,87542,87542,PROP,GPE,Baal
43,96344,96344,PROP,GPE,Britannia
218,96386,96386,PROP,GPE,Pecksniff
46,98196,98196,PROP,GPE,Thither
47,99073,99073,PROP,GPE,Europe
48,100448,100448,PROP,GPE,Northkey
247,100452,100452,PROP,GPE,Westlock
51,111377,111377,PROP,GPE,Hounslow
52,111853,111853,PROP,GPE,Wiltshire
53,112127,112127,PROP,GPE,the
54,112186,112186,PROP,GPE,Liverpool
55,112358,112359,PROP,GPE,Old York
56,112413,112413,PROP,GPE,Columbia
58,113752,113752,PROP,GPE,Mayfair
60,114363,114363,PROP,GPE,Holborn
64,131828,131830,PROP,GPE,New York Sewer
65,131842,131844,PROP,GPE,New York Stabber
66,131850,131850,PROP,GPE,York
76,138108,138108,PROP,GPE,Washington
81,144751,144751,PROP,GPE,Mississippi
82,144753,144753,PROP,GPE,Missouri
251,144823,144823,PROP,GPE,Heaven
85,147835,147835,PROP,GPE,Millinery
87,148001,148001,PROP,GPE,Hebrew
406,149084,149084,PROP,GPE,Fladdock
351,154676,154676,PROP,GPE,Ecod
92,158581,158582,PROP,GPE,High Holborn
94,161354,161354,PROP,GPE,Stratford
96,174221,174221,PROP,GPE,EDEN
103,177697,177697,PROP,GPE,Windsor
104,177990,177990,PROP,GPE,Massachusetts
105,181054,181054,PROP,GPE,Natur
109,184246,184246,PROP,GPE,Cornwall
115,188425,188425,PROP,GPE,Kent
116,189912,189912,PROP,GPE,Tarnal
117,190097,190097,PROP,GPE,ginâ€™ral
122,193350,193350,PROP,GPE,Indy
124,204291,204291,PROP,GPE,PART
125,205001,205001,PROP,GPE,Cheapside
126,214605,214605,PROP,GPE,Capricorn
130,219064,219064,PROP,GPE,Bengal
134,222363,222363,PROP,GPE,Brixton
135,223365,223365,PROP,GPE,India
139,234190,234190,PROP,GPE,Jerusalem
140,235934,235935,PROP,GPE,Saint Polge
141,235953,235953,PROP,GPE,Harâ€™fordshire
142,249892,249892,PROP,GPE,Calcutta
144,259221,259221,PROP,GPE,Java
145,260465,260465,PROP,GPE,Trafalgar
147,264954,264954,PROP,GPE,IllinOY
149,265439,265439,PROP,GPE,Americay
156,278306,278306,PROP,GPE,Persia
158,281701,281701,PROP,GPE,STARTING
159,282078,282078,PROP,GPE,Bagdad
616,284777,284777,PROP,GPE,Yoho
164,292110,292110,PROP,GPE,Islington
169,293229,293229,PROP,GPE,Aldermanbury
174,298837,298837,PROP,GPE,Cornhill
179,315413,315413,PROP,GPE,Gravesend
180,315432,315432,PROP,GPE,Antwerp
181,355852,355853,PROP,GPE,London Bridge
505,377828,377829,PROP,GPE,Saint Bartholomew
200,379098,379098,PROP,GPE,Sweedlepipes
211,414303,414303,PROP,GPE,Araby
212,421146,421147,PROP,GPE,Salisbury Plain
214,422485,422488,PROP,GPE,Van Dieman â€™s Land
215,422656,422656,PROP,GPE,Cholberry
216,422663,422663,PROP,GPE,Bolberry
