COREF,start_token,end_token,prop,cat,text
4,2331,2331,PROP,GPE,SOMEWHERE
5,2354,2354,PROP,GPE,London
11,4277,4277,PROP,GPE,Snigsworthy
13,5220,5220,PROP,GPE,Jamaica
14,5250,5250,PROP,GPE,Tobago
15,5753,5753,PROP,GPE,Nowhere
16,5847,5847,PROP,GPE,Europe
17,6822,6822,PROP,GPE,Brussels
18,7980,7980,PROP,GPE,Canterbury
21,9383,9383,PROP,GPE,Ratcliffe
22,9387,9387,PROP,GPE,Rotherhithe
24,12163,12163,PROP,GPE,Westminster
25,14563,14563,PROP,GPE,England
26,15393,15393,PROP,GPE,Cheapside
301,15701,15701,PROP,GPE,Chicksey
32,24796,24796,PROP,GPE,Holloway
34,26680,26680,PROP,GPE,Erboff
335,27626,27626,PROP,GPE,Bower
36,27980,27980,PROP,GPE,Arbour
332,28918,28918,PROP,GPE,Rooshan
333,29589,29589,PROP,GPE,Print
42,34863,34863,PROP,GPE,Chiswick
43,37853,37853,PROP,GPE,Clerkenwell
52,44635,44635,PROP,GPE,Agincourt
33,50581,50582,PROP,GPE,Harmony Jail
420,56625,56625,PROP,GPE,Shares
58,56694,56694,PROP,GPE,Paris
59,56734,56734,PROP,GPE,Parliament
60,56850,56850,PROP,GPE,Hymen
62,57295,57295,PROP,GPE,Rhodes
65,58294,58294,PROP,GPE,Piccadilly
66,58310,58310,PROP,GPE,Yorkshire
67,58329,58329,PROP,GPE,Stucconia
69,60605,60605,PROP,GPE,Wight
70,60885,60885,PROP,GPE,Shanklin
73,65194,65194,PROP,GPE,Londres
74,65270,65270,PROP,GPE,Mong
75,65332,65344,PROP,GPE,"the Streets Of The World â€™s Metropolis , London , Londres , London"
76,65338,65338,PROP,GPE,Metropolis
77,65389,65389,PROP,GPE,Britannique
78,65636,65636,PROP,GPE,Angleterre
79,65826,65826,PROP,GPE,Ozer
81,65969,65969,PROP,GPE,Blest
83,66131,66131,PROP,GPE,Asia
84,66133,66133,PROP,GPE,Africa
85,66136,66136,PROP,GPE,America
438,66935,66935,PROP,GPE,Podsnappery
88,71112,71112,PROP,GPE,Hampton
89,71573,71573,PROP,GPE,Essex
90,71575,71575,PROP,GPE,Kent
91,72185,72185,PROP,GPE,Wellington
95,77496,77496,PROP,GPE,Whitefriars
96,78989,78989,PROP,GPE,Northfleet
356,79125,79125,PROP,GPE,Cosy
103,96933,96933,PROP,GPE,Brentford
105,103475,103476,PROP,GPE,Portland Place
106,104147,104147,PROP,GPE,Linseed
248,105091,105091,PROP,GPE,Esquire
112,107552,107552,PROP,GPE,Surrey
115,108941,108941,PROP,GPE,Millbank
118,110041,110041,PROP,GPE,Bedlam.â€”Now
479,120754,120754,PROP,GPE,Britannia
121,120968,120968,PROP,GPE,Waterloo
125,122253,122253,PROP,GPE,Italy
124,122948,122950,PROP,GPE,Pocket - Breaches
128,129147,129147,PROP,GPE,India
543,133445,133445,PROP,GPE,Fledgeby
133,151411,151411,PROP,GPE,St
138,157665,157665,PROP,GPE,Saul
139,158154,158154,PROP,GPE,Newcastle
140,158172,158172,PROP,GPE,China
141,158413,158413,PROP,GPE,Gravesend
142,159266,159266,PROP,GPE,Greenwich
143,168037,168037,PROP,GPE,Vesuvius
144,168039,168039,PROP,GPE,Aetna
145,168054,168054,PROP,GPE,Iceland
246,168775,168775,PROP,GPE,Hexam
152,184942,184942,PROP,GPE,Whitehall
155,196064,196064,PROP,GPE,Newgate
256,204143,204143,PROP,GPE,Snigsworth
157,204485,204485,PROP,GPE,Warwick
161,209888,209888,PROP,GPE,Cornhill
164,211557,211557,PROP,GPE,Israel
561,212009,212009,PROP,GPE,Pubsey
563,215409,215409,PROP,GPE,Riah
171,220059,220060,PROP,GPE,Penal Settlement
173,238444,238444,PROP,GPE,Rome
284,239116,239116,PROP,GPE,Halloa
175,239499,239499,PROP,GPE,Southwark
177,239506,239506,PROP,GPE,Gloucester
178,240472,240472,PROP,GPE,Dunghill
179,241476,241476,PROP,GPE,Cambridge
180,242283,242283,PROP,GPE,Maryborough
181,242286,242286,PROP,GPE,Ireland
183,251882,251882,PROP,GPE,Chertsey
184,251884,251884,PROP,GPE,Walton
185,251886,251886,PROP,GPE,Kingston
186,251889,251889,PROP,GPE,Staines
192,264899,264899,PROP,GPE,Oxfordshire
193,265589,265589,PROP,GPE,Hertfordshire
199,271776,271777,PROP,GPE,Merry England
269,274174,274174,PROP,GPE,Wrayburn
211,304029,304029,PROP,GPE,Golconda
305,308539,308539,PROP,GPE,Wilfers
217,315824,315824,PROP,GPE,Richmond
219,333031,333031,PROP,GPE,Blackheath
220,345020,345020,PROP,GPE,Barcelona
221,346058,346059,PROP,GPE,St Helena
223,357042,357042,PROP,GPE,PEPPER
163,359303,359303,PROP,GPE,Albany
423,360748,360748,PROP,GPE,Lammle
227,364251,364251,PROP,GPE,Egypt
230,376231,376231,PROP,GPE,Eternity
2,381535,381536,PROP,GPE,London Bridge
235,402466,402466,PROP,GPE,GENERAL
238,408522,408522,PROP,GPE,Calais
271,408723,408723,PROP,GPE,Twemlow
240,408865,408865,PROP,GPE,Britain
241,408903,408903,PROP,GPE,Russia
242,408916,408916,PROP,GPE,France
244,411513,411513,PROP,GPE,Coketown
