COREF;start_token;end_token;prop;cat;text
236;5;6;NOM;PER;the Prince
237;8;9;NOM;PER;the Pauper
238;12;15;NOM;GPE;the ancient city of
1;16;16;PROP;GPE;London
239;32;33;NOM;PER;a boy
240;37;44;NOM;PER;a poor family of the name of Canty
239;50;50;PRON;PER;him
241;56;58;NOM;PER;another English child
242;62;69;NOM;PER;a rich family of the name of Tudor
239;74;74;PRON;PER;him
243;76;77;NOM;GPE;All England
239;79;79;PRON;PER;him
2;82;82;PROP;GPE;England
239;87;87;PRON;PER;him
239;92;92;PRON;PER;him
87;96;96;PROP;PER;God
239;98;98;PRON;PER;him
239;104;104;PRON;PER;he
244;109;110;NOM;PER;the people
245;117;118;NOM;PER;Mere acquaintances
246;122;123;NOM;PER;each other
247;127;127;NOM;PER;Everybody
247;153;153;PRON;PER;they
1;166;166;PROP;GPE;London
248;178;179;NOM;FAC;every balcony
249;181;181;NOM;FAC;housetop
1;192;192;PRON;FAC;it
1;201;201;PRON;FAC;its
250;209;212;NOM;PER;its troops of revellers
251;212;212;NOM;PER;revellers
247;216;216;PRON;PER;them
2;224;224;PROP;GPE;England
252;227;229;NOM;PER;the new baby
88;231;232;PROP;PER;Edward Tudor
89;234;266;PROP;PER;Prince of Wales , who lay lapped in silks and satins , unconscious of all this fuss , and not knowing that great lords and ladies were tending him and watching over him
3;236;236;PROP;GPE;Wales
253;256;257;NOM;PER;great lords
254;259;259;NOM;PER;ladies
252;262;262;PRON;PER;him
252;266;266;PRON;PER;him
255;280;282;NOM;PER;the other baby
90;284;285;PROP;PER;Tom Canty
90;289;289;PRON;PER;his
256;295;308;NOM;PER;the family of paupers whom he had just come to trouble with his presence
90;300;300;PRON;PER;he
90;307;307;PRON;PER;his
90;313;313;PROP;PER;Tom
257;319;319;PRON;PER;us
1;326;326;PROP;GPE;London
258;335;337;NOM;GPE;a great town
1;343;343;PRON;GPE;It
259;345;348;NOM;PER;a hundred thousand inhabitants
260;350;354;NOM;PER;some think double as many
261;356;357;NOM;FAC;The streets
90;373;374;PROP;PER;Tom Canty
4;382;383;PROP;FAC;London Bridge
262;385;386;NOM;FAC;The houses
263;404;404;PRON;FAC;its
262;413;414;NOM;FAC;the houses
262;419;419;PRON;PER;they
262;422;422;PRON;PER;They
265;453;454;NOM;PER;the owner
262;461;462;NOM;FAC;the houses
267;492;499;NOM;FAC;The house which Tom â€™s father lived in
90;495;495;PROP;PER;Tom
268;495;499;NOM;PER;Tom â€™s father lived in
269;502;513;NOM;FAC;a foul little pocket called Offal Court , out of Pudding Lane
18;507;508;PROP;LOC;Offal Court
6;512;513;PROP;FAC;Pudding Lane
267;515;515;PRON;FAC;It
267;525;525;PRON;FAC;it
270;530;532;NOM;PER;wretchedly poor families
90;534;534;PROP;PER;Canty
271;534;536;NOM;PER;Canty â€™s tribe
272;538;543;NOM;FAC;a room on the third floor
273;545;546;NOM;PER;The mother
274;548;548;NOM;PER;father
90;559;559;PROP;PER;Tom
90;561;561;PRON;PER;his
275;561;562;NOM;PER;his grandmother
90;565;565;PRON;PER;his
276;565;567;NOM;PER;his two sisters
91;569;569;PROP;PER;Bet
92;571;571;PROP;PER;Nan
271;577;577;PRON;PER;they
271;583;583;PRON;PER;themselves
271;589;589;PRON;PER;they
91;648;648;PROP;PER;Bet
92;650;650;PROP;PER;Nan
277;656;656;NOM;PER;twins
277;658;658;PRON;PER;They
278;660;663;NOM;PER;good - hearted girls
279;665;665;NOM;PER;unclean
277;675;675;PRON;PER;Their
280;675;676;NOM;PER;Their mother
277;679;679;PRON;PER;them
281;682;683;NOM;PER;the father
282;685;686;NOM;PER;the grandmother
283;688;691;NOM;PER;a couple of fiends
277;693;693;PRON;PER;They
277;697;697;PRON;PER;they
277;701;701;PRON;PER;they
246;703;704;NOM;PER;each other
285;706;712;NOM;PER;anybody else who came in the way
277;714;714;PRON;PER;they
93;724;725;PROP;PER;John Canty
286;727;728;NOM;PER;a thief
93;731;731;PRON;PER;his
287;731;732;NOM;PER;his mother
288;733;734;NOM;PER;a beggar
277;736;736;PRON;PER;They
289;738;741;NOM;PER;beggars of the children
290;740;741;NOM;PER;the children
291;747;747;NOM;PER;thieves
290;749;749;PRON;PER;them
292;762;763;NOM;FAC;the house
293;766;786;NOM;PER;a good old priest whom the King had turned out of house and home with a pension of a few farthings
294;771;772;NOM;PER;the King
295;777;777;NOM;FAC;house
296;779;779;NOM;FAC;home
293;789;789;PRON;PER;he
290;793;794;NOM;PER;the children
290;798;798;PRON;PER;them
94;803;804;PROP;PER;Father Andrew
90;807;807;PROP;PER;Tom
298;826;827;NOM;PER;the girls
277;830;830;PRON;PER;they
277;837;837;PRON;PER;their
299;837;838;NOM;PER;their friends
277;850;850;PRON;PER;them
300;852;854;NOM;FAC;All Offal Court
301;857;863;NOM;FAC;such another hive as Canty â€™s house
90;861;861;PROP;PER;Canty
302;861;863;NOM;FAC;Canty â€™s house
303;892;893;NOM;GPE;that place
90;896;897;PROP;PER;little Tom
90;902;902;PRON;PER;He
304;923;927;NOM;PER;all the Offal Court boys
90;931;931;PRON;PER;he
90;942;942;PRON;PER;he
296;944;944;NOM;FAC;home
90;951;951;PRON;PER;he
90;953;953;PRON;PER;his
306;953;954;NOM;PER;his father
90;957;957;PRON;PER;him
90;960;960;PRON;PER;him
90;966;966;PRON;PER;he
307;969;971;NOM;PER;the awful grandmother
90;989;989;PRON;PER;his
308;989;991;NOM;PER;his starving mother
90;995;995;PRON;PER;him
