COREF;start_token;end_token;prop;cat;text
225;3;4;NOM;PER;the Reader
226;8;9;NOM;PER;no character
227;30;31;NOM;PER;the ass
227;36;36;PRON;PER;his
227;42;42;PRON;PER;he
227;59;59;PRON;PER;him
228;67;67;PRON;PER;we
229;70;71;NOM;PER;an ass
228;73;73;PRON;PER;we
68;77;78;PROP;PER;doubt.--Pudd'nhead Wilson
230;82;89;NOM;PER;A person who is ignorant of legal matters
230;97;97;PRON;PER;he
230;105;105;PRON;PER;his
0;110;110;PRON;PER;I
231;137;139;NOM;PER;a trained barrister
69;169;170;PROP;PER;William Hicks
1;180;181;PROP;GPE;southwest Missouri
232;191;191;NOM;GPE;here
2;193;193;PROP;GPE;Florence
69;195;195;PRON;PER;his
70;206;207;PROP;PER;Macaroni Vermicelli
233;216;218;NOM;FAC;the back alley
234;220;220;PRON;PER;you
3;228;230;PROP;FAC;Piazza del Duomo
235;233;247;NOM;FAC;the house where that stone that Dante used to sit on six hundred years ago
71;239;239;PROP;PER;Dante
71;254;254;PRON;PER;he
236;260;260;PRON;PER;them
72;262;262;PROP;PER;Giotto
237;262;264;NOM;FAC;Giotto 's campanile
73;274;274;PROP;PER;Beatrice
73;278;278;PRON;PER;her
73;289;289;PRON;PER;herself
73;298;298;PRON;PER;she
238;301;301;NOM;FAC;school
236;309;309;PRON;PER;they
71;343;343;PRON;PER;He
71;349;349;PRON;PER;his
71;353;353;PRON;PER;he
71;374;374;PRON;PER;He
0;376;376;PRON;PER;me
71;378;378;PRON;PER;himself
0;382;382;PRON;PER;my
239;393;395;NOM;FAC;the Villa Viviani
240;397;399;NOM;GPE;village of Settignano
4;399;399;PROP;GPE;Settignano
241;401;405;NOM;LOC;three miles back of Florence
2;405;405;PROP;GPE;Florence
242;408;409;NOM;LOC;the hills
243;423;424;NOM;LOC;this planet
244;439;440;NOM;LOC;any planet
245;444;446;NOM;LOC;any solar system
246;454;459;NOM;FAC;the swell room of the house
247;458;459;NOM;FAC;the house
248;465;472;NOM;PER;Cerretani senators and other grandees of this line
0;477;477;PRON;PER;me
248;479;479;PRON;PER;they
71;485;485;PROP;PER;Dante
0;490;490;PRON;PER;me
248;493;493;PRON;PER;them
0;495;495;PRON;PER;my
249;495;496;NOM;PER;my family
0;499;499;PRON;PER;I
0;505;505;PRON;PER;my
250;505;507;NOM;PER;my remotest ancestors
0;530;530;PRON;PER;me
74;538;539;PROP;PER;Mark Twain
251;545;545;PRON;PER;His
68;558;558;PROP;PER;Wilson
252;568;573;NOM;GPE;the town of Dawson 's Landing
75;571;571;PROP;PER;Dawson
75;571;573;PROP;GPE;Dawson 's Landing
253;576;581;NOM;LOC;the Missouri side of the Mississippi
1;577;577;PROP;GPE;Missouri
7;580;581;PROP;LOC;the Mississippi
8;593;594;PROP;GPE;St. Louis
254;598;598;PRON;FAC;it
255;605;634;NOM;FAC;modest one- and two - story frame dwellings whose whitewashed exteriors were almost concealed from sight by climbing tangles of rose - vines , honeysuckles , and morning - glories
256;636;640;NOM;FAC;Each of these pretty homes
257;638;640;NOM;FAC;these pretty homes
258;642;643;NOM;FAC;a garden
259;681;682;NOM;FAC;the houses
260;715;719;NOM;FAC;the rose - clad house
261;764;764;PRON;PER;her
261;775;775;PRON;PER;her
262;779;780;NOM;FAC;that house
263;793;794;NOM;LOC;the world
264;804;809;NOM;FAC;A home without a cat --
265;826;828;NOM;FAC;a perfect home
266;841;842;NOM;FAC;the streets
267;853;855;NOM;FAC;the brick sidewalks
268;888;890;NOM;FAC;The main street
269;896;897;NOM;LOC;the river
269;903;903;PRON;FAC;it
270;906;909;NOM;FAC;the sole business street
268;911;911;PRON;FAC;It
271;919;920;NOM;FAC;each block
272;921;928;NOM;FAC;two or three brick stores three stories high
273;934;936;NOM;FAC;little frame shops
274;945;946;NOM;FAC;the street
275;963;969;NOM;FAC;the palace - bordered canals of Venice
9;969;969;PROP;GPE;Venice
276;973;984;NOM;FAC;the humble barber shop along the main street of Dawson 's Landing
277;978;984;NOM;FAC;the main street of Dawson 's Landing
75;982;984;PROP;FAC;Dawson 's Landing
278;987;989;NOM;FAC;a chief corner
279;1008;1010;NOM;PER;the chief tinmonger
263;1015;1016;NOM;LOC;the world
279;1024;1024;PRON;PER;his
281;1024;1025;NOM;FAC;his shop
282;1032;1033;NOM;FAC;that corner
283;1035;1036;NOM;FAC;The hamlet
284;1035;1038;NOM;FAC;The hamlet 's front
285;1046;1048;NOM;LOC;the great river
283;1050;1050;PRON;FAC;its
283;1060;1060;PRON;FAC;its
283;1069;1069;PRON;PER;its
286;1069;1078;NOM;FAC;its houses about the base - line of the hills
242;1077;1078;NOM;LOC;the hills
242;1080;1081;NOM;LOC;the hills
289;1086;1087;NOM;GPE;the town
290;1103;1103;NOM;VEH;Steamboats
291;1113;1124;NOM;PER;Those belonging to the little Cairo line and the little Memphis line
292;1116;1119;NOM;FAC;the little Cairo line
11;1118;1118;PROP;GPE;Cairo
293;1121;1124;NOM;FAC;the little Memphis line
12;1123;1123;PROP;GPE;Memphis
294;1128;1131;NOM;VEH;the big Orleans liners
13;1130;1130;PROP;GPE;Orleans
295;1140;1140;NOM;PER;passengers
1421;1156;1158;NOM;PER;"transients . """
296;1164;1166;NOM;LOC;a dozen rivers
14;1168;1169;PROP;LOC;the Illinois
1;1171;1172;PROP;LOC;the Missouri
16;1174;1176;PROP;LOC;the Upper Mississippi
17;1178;1179;PROP;LOC;the Ohio
18;1181;1182;PROP;LOC;the Monongahela
19;1184;1185;PROP;LOC;the Tennessee
20;1187;1189;PROP;LOC;the Red River
21;1191;1193;PROP;LOC;the White River
297;1213;1214;NOM;PER;the Mississippi
298;1213;1216;NOM;PER;the Mississippi 's communities
299;1221;1226;NOM;LOC;the frosty Falls of St. Anthony
22;1225;1226;PROP;GPE;St. Anthony
23;1233;1234;PROP;GPE;New Orleans
75;1236;1236;PROP;PER;Dawson
75;1236;1238;PROP;FAC;Dawson 's Landing
300;1240;1242;NOM;GPE;a slaveholding town
301;1252;1256;NOM;LOC;pork country back of it
300;1256;1256;PRON;GPE;it
289;1258;1259;NOM;GPE;The town
289;1267;1267;PRON;GPE;It
303;1290;1292;NOM;PER;The chief citizen
76;1294;1296;PROP;PER;York Leicester Driscoll
304;1303;1307;NOM;PER;judge of the county court
305;1305;1307;NOM;FAC;the county court
76;1309;1309;PRON;PER;He
76;1314;1314;PRON;PER;his
76;1321;1321;PRON;PER;his
76;1324;1324;PRON;PER;his
76;1330;1330;PRON;PER;he
76;1336;1336;PRON;PER;He
306;1346;1347;NOM;PER;a gentleman
307;1349;1354;NOM;PER;a gentleman without stain or blemish
76;1357;1357;PRON;PER;his
76;1364;1364;PRON;PER;he
76;1369;1369;PRON;PER;He
308;1377;1379;NOM;PER;all the community
76;1381;1381;PRON;PER;He
76;1391;1391;PRON;PER;his
309;1391;1392;NOM;FAC;his store
76;1394;1394;PRON;PER;He
76;1396;1396;PRON;PER;his
310;1396;1397;NOM;PER;his wife
311;1408;1408;PRON;PER;they
312;1410;1411;NOM;PER;no children
313;1419;1420;NOM;PER;a child
314;1445;1446;NOM;PER;this pair
315;1448;1449;NOM;PER;the Judge
316;1448;1452;NOM;PER;the Judge 's widowed sister
77;1454;1456;PROP;PER;Mrs. Rachel Pratt
316;1459;1459;PRON;PER;she
317;1478;1479;NOM;PER;The women
318;1481;1484;NOM;PER;good and commonplace people
317;1488;1488;PRON;PER;their
317;1492;1492;PRON;PER;their
319;1498;1499;NOM;PER;the community
317;1503;1503;PRON;PER;They
320;1505;1505;NOM;PER;Presbyterians
315;1507;1508;NOM;PER;the Judge
322;1510;1513;NOM;PER;a free - thinker
78;1515;1516;PROP;PER;Pembroke Howard
323;1518;1518;NOM;PER;lawyer
324;1520;1524;NOM;PER;bachelor , aged about forty
325;1527;1537;NOM;PER;another old Virginian grandee with proved descent from the First Families
326;1535;1537;NOM;PER;the First Families
78;1539;1539;PRON;PER;He
327;1541;1547;NOM;PER;a fine , brave , majestic creature
328;1549;1559;NOM;PER;a gentleman according to the nicest requirements of the Virginia rule
24;1558;1558;PROP;GPE;Virginia
329;1561;1563;NOM;PER;a devoted Presbyterian
1422;1565;1572;NOM;PER;"an authority on the "" code , """
330;1574;1586;NOM;PER;a man always courteously ready to stand up before you in the field
331;1583;1583;PRON;PER;you
78;1593;1593;PRON;PER;his
331;1600;1600;PRON;PER;you
331;1608;1608;PRON;PER;you
78;1618;1618;PRON;PER;He
332;1623;1624;NOM;PER;the people
315;1628;1629;NOM;PER;the Judge
334;1628;1632;NOM;PER;the Judge 's dearest friend
79;1637;1640;PROP;PER;Colonel Cecil Burleigh Essex
335;1642;1648;NOM;PER;another F. F. V. of formidable caliber
79;1653;1653;PRON;PER;him
336;1654;1654;PRON;PER;we
80;1659;1661;PROP;PER;Percy Northumberland Driscoll
315;1665;1666;NOM;PER;the Judge
80;1671;1671;PRON;PER;he
338;1677;1679;NOM;PER;a married man
339;1684;1684;NOM;PER;children
80;1686;1686;PRON;PER;his
340;1686;1687;NOM;FAC;his hearthstone
339;1690;1690;PRON;PER;they
341;1707;1708;NOM;PER;the doctor
80;1712;1712;PRON;PER;his
80;1723;1723;PRON;PER;He
342;1725;1727;NOM;PER;a prosperous man
80;1737;1737;PRON;PER;his
343;1750;1752;NOM;PER;two boy babes
80;1756;1756;PRON;PER;his
344;1756;1757;NOM;FAC;his house
345;1759;1759;NOM;PER;one
80;1761;1761;PRON;PER;him
346;1766;1770;NOM;PER;one of his slave girls
80;1768;1768;PRON;PER;his
347;1768;1770;NOM;PER;his slave girls
81;1772;1772;PROP;PER;Roxana
81;1776;1776;PROP;PER;Roxana
81;1782;1782;PRON;PER;She
81;1792;1792;PRON;PER;her
81;1797;1797;PRON;PER;she
348;1800;1801;NOM;PER;both babies
82;1803;1805;PROP;PER;Mrs. Percy Driscoll
81;1811;1811;PROP;PER;Roxy
349;1816;1817;NOM;PER;the children
81;1819;1819;PRON;PER;She
81;1821;1821;PRON;PER;her
83;1826;1827;PROP;PER;Mr. Driscoll
83;1830;1830;PRON;PER;himself
83;1832;1832;PRON;PER;his
81;1836;1836;PRON;PER;her
81;1838;1838;PRON;PER;her
75;1849;1851;PROP;PER;Dawson 's Landing
350;1853;1855;NOM;PER;a new citizen
84;1859;1861;PROP;PER;Mr. David Wilson
351;1863;1868;NOM;PER;a young fellow of Scotch parentage
84;1870;1870;PRON;PER;He
352;1874;1888;NOM;GPE;this remote region from his birthplace in the interior of the State of New York
84;1878;1878;PRON;PER;his
353;1881;1888;NOM;LOC;the interior of the State of New York
25;1884;1888;PROP;GPE;the State of New York
84;1892;1892;PRON;PER;his
84;1895;1895;PRON;PER;He
354;1916;1919;NOM;ORG;an Eastern law school
84;1926;1926;PRON;PER;He
355;1928;1958;NOM;PER;a homely , freckled , sandy - haired young fellow , with an intelligent blue eye that had frankness and comradeship in it and a covert twinkle of a pleasant sort
84;1966;1966;PRON;PER;his
84;1968;1968;PRON;PER;he
75;1981;1983;PROP;FAC;Dawson 's Landing
84;1986;1986;PRON;PER;he
84;1988;1988;PRON;PER;his
84;1994;1994;PRON;PER;he
356;1997;1998;NOM;GPE;the village
84;2005;2005;PRON;PER;him
84;2007;2007;PRON;PER;He
357;2014;2017;NOM;PER;a group of citizens
84;2031;2031;PRON;PER;himself
84;2037;2038;PROP;PER;young Wilson
84;2049;2049;PRON;PER;I
84;2051;2051;PRON;PER;I
358;2063;2063;NOM;PER;somebody
359;2068;2068;PRON;PER;I
359;2071;2071;PRON;PER;my
359;2075;2076;NOM;PER;The group
84;2078;2078;PRON;PER;his
359;2096;2096;PRON;PER;they
359;2100;2100;PRON;PER;They
84;2104;2104;PRON;PER;him
84;2116;2116;PRON;PER;him
345;2118;2118;NOM;PER;One
85;2123;2123;PROP;PER;Pears
1423;2126;2127;NOM;PER;a fool
85;2132;2132;PROP;PER;Pears
361;2136;2136;NOM;PER;another
345;2141;2141;PRON;PER;I
84;2143;2143;PRON;PER;you
84;2150;2150;PRON;PER;he
84;2152;2152;PRON;PER;he
1424;2159;2160;NOM;PER;the idiot
362;2164;2165;NOM;PER;a third
84;2170;2170;PRON;PER;he
84;2179;2179;PRON;PER;he
84;2181;2181;PRON;PER;his
84;2185;2185;PRON;PER;you
84;2187;2187;PRON;PER;he
84;2197;2197;PRON;PER;he
84;2204;2204;PRON;PER;he
1425;2206;2211;NOM;PER;the downrightest fool in the world
263;2210;2211;NOM;LOC;the world
84;2215;2215;PRON;PER;he
84;2221;2221;PRON;PER;he
84;2234;2234;PRON;PER;he
84;2236;2236;PRON;PER;his
1427;2239;2241;NOM;PER;the other half
84;2244;2244;PRON;PER;he
84;2256;2256;PRON;PER;he
84;2263;2263;PRON;PER;his
84;2273;2273;PRON;PER;you
1428;2275;2275;NOM;PER;gents
84;2285;2285;PRON;PER;he
84;2300;2300;PRON;PER;he
1429;2308;2309;NOM;PER;another person
84;2332;2332;PRON;PER;you
1430;2334;2339;NOM;PER;one half of a general dog
1431;2344;2352;NOM;PER;any man that can tell whose half it was
84;2356;2356;PRON;PER;he
84;2365;2365;PRON;PER;he
84;2368;2368;PRON;PER;his
84;2377;2377;PRON;PER;he
84;2382;2382;PRON;PER;he
362;2400;2400;PRON;PER;my
1432;2403;2403;NOM;PER;man
84;2407;2407;PRON;PER;his
345;2414;2414;PRON;PER;my
84;2416;2416;PRON;PER;he
363;2423;2425;NOM;PER;No . 3
84;2431;2431;PRON;PER;he
1433;2433;2434;NOM;PER;a lummox
84;2443;2443;PRON;PER;he
364;2448;2450;NOM;PER;No . 4
84;2453;2453;PRON;PER;he
1434;2455;2456;NOM;PER;a labrick
1435;2458;2460;NOM;PER;just a Simon
1436;2475;2475;NOM;PER;sir
84;2477;2477;PRON;PER;he
1437;2479;2481;NOM;PER;a dam fool
365;2487;2487;PRON;PER;I
84;2489;2489;PRON;PER;him
365;2494;2496;NOM;PER;No . 5
1438;2499;2499;NOM;PER;Anybody
365;2510;2510;PRON;PER;my
364;2515;2515;PRON;PER;I
1436;2518;2518;PRON;PER;you
1439;2520;2520;NOM;PER;gentlemen
1440;2529;2530;NOM;PER;Perfect jackass
84;2543;2543;PRON;PER;he
1441;2545;2546;NOM;PER;a pudd'nhead
84;2549;2549;PRON;PER;he
1441;2552;2553;NOM;PER;a pudd'nhead
364;2555;2555;PRON;PER;I
1443;2558;2559;NOM;PER;no judge
84;2566;2567;PROP;PER;Mr. Wilson
289;2577;2578;NOM;GPE;the town
367;2584;2584;NOM;PER;everybody
84;2589;2589;PRON;PER;he
84;2592;2592;PRON;PER;his
86;2596;2596;PROP;PER;Pudd'nhead
84;2603;2603;PRON;PER;he
84;2636;2636;PRON;PER;him
1423;2637;2638;NOM;PER;a fool
84;2641;2641;PRON;PER;he
83;2691;2691;PROP;PER;Driscoll
83;2693;2693;PRON;PER;His
369;2693;2694;NOM;PER;His Slaves
87;2696;2696;PROP;PER;Adam
84;2706;2706;PRON;PER;He
84;2718;2718;PRON;PER;he
84;2737;2737;PRON;PER;he
86;2743;2743;PROP;PER;Wilson
86;2747;2748;PROP;PER;Pudd'nhead Wilson
84;2755;2755;PRON;PER;he
84;2759;2759;PRON;PER;he
370;2761;2771;NOM;FAC;a small house on the extreme western verge of the town
371;2765;2771;NOM;LOC;the extreme western verge of the town
289;2770;2771;NOM;GPE;the town
370;2774;2774;PRON;FAC;it
88;2776;2777;PROP;PER;Judge Driscoll
373;2776;2779;NOM;FAC;Judge Driscoll 's house
374;2783;2785;NOM;FAC;a grassy yard
375;2792;2793;NOM;FAC;the properties
84;2798;2798;PRON;PER;He
376;2800;2806;NOM;FAC;a small office down in the town
289;2805;2806;NOM;GPE;the town
84;2819;2820;PROP;PER;DAVID WILSON
84;2837;2837;PRON;PER;his
84;2842;2842;PRON;PER;his
378;2851;2852;NOM;PER;No clients
84;2855;2855;PRON;PER;He
84;2858;2858;PRON;PER;his
84;2870;2870;PRON;PER;his
379;2870;2872;NOM;FAC;his own house
379;2882;2882;PRON;PER;It
84;2884;2884;PRON;PER;his
380;2896;2897;NOM;PER;expert accountant
84;2902;2902;PRON;PER;he
381;2915;2916;NOM;PER;a merchant
84;2918;2918;PRON;PER;him
84;2922;2922;PRON;PER;his
84;2930;2930;PRON;PER;he
84;2935;2935;PRON;PER;his
84;2939;2939;PRON;PER;his
382;2947;2948;NOM;PER;Poor fellow
84;2950;2950;PRON;PER;he
84;2960;2960;PRON;PER;him
84;2970;2970;PRON;PER;He
84;2985;2985;PRON;PER;his
84;2989;2989;PRON;PER;he
84;2991;2991;PRON;PER;himself
84;3013;3013;PRON;PER;his
344;3013;3014;NOM;FAC;his house
84;3018;3018;PRON;PER;his
84;3027;3027;PRON;PER;he
84;3034;3034;PRON;PER;he
1438;3037;3037;NOM;PER;anybody
84;3053;3053;PRON;PER;he
84;3057;3057;PRON;PER;his
84;3061;3061;PRON;PER;his
1441;3064;3065;NOM;PER;a pudd'nhead
84;3068;3068;PRON;PER;he
386;3077;3077;PRON;PER;them
387;3079;3083;NOM;PER;The fad without a name
388;3089;3089;NOM;PER;people
84;3095;3095;PRON;PER;He
84;3098;3098;PRON;PER;his
84;3139;3139;PRON;PER;He
388;3141;3141;NOM;PER;people
388;3144;3144;PRON;PER;their
388;3147;3147;PRON;PER;their
388;3153;3153;PRON;PER;them
84;3196;3196;PRON;PER;he
89;3210;3211;PROP;PER;John Smith
89;3228;3228;PROP;PER;Smith
84;3266;3266;PROP;PER;Wilson
84;3268;3268;PRON;PER;his
84;3273;3273;PRON;PER;He
84;3276;3276;PRON;PER;his
84;3295;3295;PRON;PER;he
84;3300;3300;PRON;PER;he
84;3304;3304;PRON;PER;he
390;3307;3308;NOM;PER;no one
84;3311;3311;PRON;PER;he
84;3338;3338;PRON;PER;he
84;3378;3378;PRON;PER;his
391;3378;3381;NOM;FAC;his work - room
392;3387;3391;NOM;FAC;a stretch of vacant lots
84;3398;3398;PRON;PER;him
393;3410;3414;NOM;PER;the people engaged in it
