text,Titles
HARTFORD,The_Adventures_of_Tom_Sawyer
St. Petersburg,The_Adventures_of_Tom_Sawyer
England,The_Adventures_of_Tom_Sawyer
Constantinople,The_Adventures_of_Tom_Sawyer
America,The_Adventures_of_Tom_Sawyer
the United States,The_Adventures_of_Tom_Sawyer
Rubbage,The_Adventures_of_Tom_Sawyer
Coonville,The_Adventures_of_Tom_Sawyer
Guisborne,The_Adventures_of_Tom_Sawyer
Nottingham,The_Adventures_of_Tom_Sawyer
Sherwood Forest,The_Adventures_of_Tom_Sawyer
Hellum,The_Adventures_of_Tom_Sawyer
Port,The_Adventures_of_Tom_Sawyer
Glory,The_Adventures_of_Tom_Sawyer
ALABAMA,The_Adventures_of_Tom_Sawyer
Coosa,The_Adventures_of_Tom_Sawyer
St. Louis,The_Adventures_of_Tom_Sawyer
Europe,The_Adventures_of_Tom_Sawyer
Texas,The_Adventures_of_Tom_Sawyer
Troy,The_Adventures_of_Tom_Sawyer
Rome,The_Adventures_of_Tom_Sawyer
Lexington,The_Adventures_of_Tom_Sawyer
