text,Titles
Eschol,The_American_Claimant_NER
Hartford,The_American_Claimant_NER
Rossmore,The_American_Claimant_NER
London,The_American_Claimant_NER
Falaise,The_American_Claimant_NER
Warwickshire,The_American_Claimant_NER
America,The_American_Claimant_NER
Virginia,The_American_Claimant_NER
England,The_American_Claimant_NER
Maryland,The_American_Claimant_NER
WASHINGTON,The_American_Claimant_NER
Duffy,The_American_Claimant_NER
SIBERIA,The_American_Claimant_NER
Libertyorloffskoizalinski,The_American_Claimant_NER
Hawkeye,The_American_Claimant_NER
St. James,The_American_Claimant_NER
Paris,The_American_Claimant_NER
China,The_American_Claimant_NER
Japan,The_American_Claimant_NER
the United States of America,The_American_Claimant_NER
Russia,The_American_Claimant_NER
Cherokee Strip,The_American_Claimant_NER
Sheridan,The_American_Claimant_NER
Stratford - on - Avon,The_American_Claimant_NER
New York,The_American_Claimant_NER
Europe,The_American_Claimant_NER
Tahlequah,The_American_Claimant_NER
Baltimore,The_American_Claimant_NER
Duffy â€™s Corners,The_American_Claimant_NER
Arkansas,The_American_Claimant_NER
St. Louis,The_American_Claimant_NER
Great Britain,The_American_Claimant_NER
Buccleugh,The_American_Claimant_NER
Grafton,The_American_Claimant_NER
Liverpool,The_American_Claimant_NER
the District of Columbia,The_American_Claimant_NER
Columbia,The_American_Claimant_NER
San Francisco,The_American_Claimant_NER
Christendom,The_American_Claimant_NER
Princeton,The_American_Claimant_NER
Vesuvius,The_American_Claimant_NER
Rome,The_American_Claimant_NER
Golconda,The_American_Claimant_NER
Sewer,The_American_Claimant_NER
Land,The_American_Claimant_NER
Gibraltar,The_American_Claimant_NER
Sheol,The_American_Claimant_NER
York,The_American_Claimant_NER
Lancaster,The_American_Claimant_NER
Siloam,The_American_Claimant_NER
Snodgrass,The_American_Claimant_NER
Zylobalsamum,The_American_Claimant_NER
Greenland,The_American_Claimant_NER
Iceland,The_American_Claimant_NER
Kerak - Moab_.â€â€”_Clinton Scollard,The_American_Claimant_NER
Gettysburg,The_American_Claimant_NER
Bindarra,The_American_Claimant_NER
