text,Titles
England,a_connecticut_yankee
HARTFORD,a_connecticut_yankee
Whitsunday,a_connecticut_yankee
Camelot,a_connecticut_yankee
Arkansas,a_connecticut_yankee
Carlion,a_connecticut_yankee
Egypt,a_connecticut_yankee
India,a_connecticut_yankee
East Hartford,a_connecticut_yankee
Land,a_connecticut_yankee
London,a_connecticut_yankee
France,a_connecticut_yankee
America,a_connecticut_yankee
Ireland,a_connecticut_yankee
Scotland,a_connecticut_yankee
Gore,a_connecticut_yankee
Columbus,a_connecticut_yankee
Moder,a_connecticut_yankee
East Har--,a_connecticut_yankee
Connecticut,a_connecticut_yankee
Britain,a_connecticut_yankee
Arthur,a_connecticut_yankee
Rome,a_connecticut_yankee
Columbia,a_connecticut_yankee
Palestine,a_connecticut_yankee
the United States,a_connecticut_yankee
Sheol,a_connecticut_yankee
La,a_connecticut_yankee
Christendom,a_connecticut_yankee
Arthurdom,a_connecticut_yankee
Lecky,a_connecticut_yankee
Africa,a_connecticut_yankee
Asia,a_connecticut_yankee
West Point,a_connecticut_yankee
Gaul,a_connecticut_yankee
Halibut,a_connecticut_yankee
Cornwall,a_connecticut_yankee
South Astolat,a_connecticut_yankee
Pisa,a_connecticut_yankee
Wayback,a_connecticut_yankee
Paradise,a_connecticut_yankee
Bagdemagus,a_connecticut_yankee
Cambenet,a_connecticut_yankee
Astolat,a_connecticut_yankee
West Hartford,a_connecticut_yankee
Europe,a_connecticut_yankee
CENTRAL,a_connecticut_yankee
LOTHIAN,a_connecticut_yankee
LITTLE BRITAIN,a_connecticut_yankee
LABOR,a_connecticut_yankee
SYRIA,a_connecticut_yankee
Dover,a_connecticut_yankee
Canterbury,a_connecticut_yankee
his Duchy of Guienne,a_connecticut_yankee
Guienne,a_connecticut_yankee
Barham,a_connecticut_yankee
Kent,a_connecticut_yankee
Salisbury,a_connecticut_yankee
Almesbury,a_connecticut_yankee
Cadiz--,a_connecticut_yankee
Cadiz,a_connecticut_yankee
Merlin's,a_connecticut_yankee
