text,Titles
Shoshone,a_horse_tale
Cheyenne,a_horse_tale
American,a_horse_tale
Kentucky,a_horse_tale
Fort Paxton,a_horse_tale
Seventh Cavalry,a_horse_tale
France,a_horse_tale
America,a_horse_tale
Spain,a_horse_tale
ROUEN,a_horse_tale
California,a_horse_tale
San Bernardino,a_horse_tale
Jerusalem,a_horse_tale
Australia,a_horse_tale
Virginia,a_horse_tale
Cuba,a_horse_tale
Arizona,a_horse_tale
Philadelphia,a_horse_tale
Clayton,a_horse_tale
Andalusian,a_horse_tale
Oregonian,a_horse_tale
Sancho,a_horse_tale
Ceylon,a_horse_tale
Missouri,a_horse_tale
Georgia,a_horse_tale
West Point,a_horse_tale
