COREF,start_token,end_token,prop,cat,text
1,19,19,PROP,GPE,DOMREMY
2,27,27,PROP,GPE,Paris
4,42,42,PROP,GPE,France
7,78,78,PROP,GPE,COURT
8,80,80,PROP,GPE,CAMP
10,127,128,PROP,GPE,His Glory
11,190,190,PROP,GPE,Smash
14,254,254,PROP,GPE,Nobility
18,391,391,PROP,GPE,CHABANNES
19,395,395,PROP,GPE,Lorraine
20,409,409,PROP,GPE,F.S.A.
21,868,868,PROP,GPE,Christendom
22,1106,1106,PROP,GPE,Rome
23,1123,1123,PROP,GPE,Europe
24,1929,1929,PROP,GPE,England
25,2066,2066,PROP,GPE,Neufchateau
26,2499,2499,PROP,GPE,Agincourt
29,3847,3847,PROP,GPE,Vaucouleurs
31,5073,5073,PROP,GPE,Bourlemont
33,12946,12946,PROP,GPE,Troyes
34,12981,12981,PROP,GPE,Burgundy
154,16406,16406,PROP,GPE,Maxey
38,16536,16536,PROP,GPE,London
39,18155,18155,PROP,GPE,Orleans
40,18220,18220,PROP,GPE,Saintrailles
41,20911,20911,PROP,GPE,Scotland
44,24972,24972,PROP,GPE,Burey
45,26117,26117,PROP,GPE,Heaven
46,26743,26743,PROP,GPE,Toul
149,27832,27832,PROP,GPE,Haumette
144,35310,35310,PROP,GPE,Satan
51,37116,37116,PROP,GPE,Gien
52,37295,37295,PROP,GPE,Fierbois
53,37313,37313,PROP,GPE,Chinon
54,39351,39351,PROP,GPE,Rheims
55,40019,40019,PROP,GPE,Sicily
56,42167,42167,PROP,GPE,Courdray
57,43107,43107,PROP,GPE,Vendome
58,45381,45382,PROP,GPE,Courdray Castle
60,46223,46223,PROP,GPE,Beaulieu
61,48727,48727,PROP,GPE,Alencon
63,49340,49340,PROP,GPE,Poitiers
64,50715,50715,PROP,GPE,Limoges
195,52734,52735,PROP,GPE,La Hire
69,53154,53154,PROP,GPE,Blois
70,53321,53321,PROP,GPE,Tours
196,54549,54549,PROP,GPE,Dâ€™Aulon
74,60535,60535,PROP,GPE,Olivet
75,60657,60657,PROP,GPE,Checy
215,60767,60767,PROP,GPE,Talbot
78,60896,60897,PROP,GPE,St. Louis
79,61156,61157,PROP,GPE,St. Loup
80,62343,62343,PROP,GPE,Bedford
264,62358,62358,PROP,GPE,Suffolk
83,67663,67663,PROP,GPE,Rouen
84,70098,70098,PROP,GPE,Paradise
88,73154,73154,PROP,GPE,February
90,76534,76535,PROP,GPE,St. Aignan
92,76698,76699,PROP,GPE,St. Prive
94,80247,80247,PROP,GPE,Tourelles
97,87695,87695,PROP,GPE,Loches
98,88242,88242,PROP,GPE,Selles
99,88244,88244,PROP,GPE,Berry
100,89428,89428,PROP,GPE,Romorantin
42,89820,89820,PROP,GPE,Loire
256,90176,90176,PROP,GPE,Jargeau
103,91582,91582,PROP,GPE,Etampes
104,91588,91588,PROP,GPE,Janville
105,92006,92006,PROP,GPE,Dinant
