COREF,start_token,end_token,prop,cat,text
2,177,177,PROP,GPE,HARTFORD
3,2033,2034,PROP,GPE,St. Petersburg
7,5804,5804,PROP,GPE,England
8,11312,11312,PROP,GPE,Constantinople
9,13490,13490,PROP,GPE,America
10,13587,13589,PROP,GPE,the United States
11,15778,15778,PROP,GPE,Rubbage
12,17558,17558,PROP,GPE,Coonville
16,23807,23807,PROP,GPE,Guisborne
17,24185,24185,PROP,GPE,Nottingham
15,24357,24358,PROP,GPE,Sherwood Forest
23,35261,35261,PROP,GPE,Hellum
24,35280,35280,PROP,GPE,Port
27,48792,48792,PROP,GPE,Glory
29,55155,55155,PROP,GPE,ALABAMA
31,55226,55226,PROP,GPE,Coosa
32,60175,60176,PROP,GPE,St. Louis
33,61006,61006,PROP,GPE,Europe
34,64744,64744,PROP,GPE,Texas
40,81558,81558,PROP,GPE,Troy
41,81565,81565,PROP,GPE,Rome
42,81590,81590,PROP,GPE,Lexington
