COREF,start_token,end_token,prop,cat,text
1,77,77,PROP,GPE,Eschol
2,192,192,PROP,GPE,Hartford
110,559,559,PROP,GPE,Rossmore
5,601,601,PROP,GPE,London
6,671,671,PROP,GPE,Falaise
7,849,849,PROP,GPE,Warwickshire
9,1382,1382,PROP,GPE,America
10,1402,1402,PROP,GPE,Virginia
11,1541,1541,PROP,GPE,England
12,1568,1568,PROP,GPE,Maryland
114,2634,2634,PROP,GPE,WASHINGTON
15,2710,2710,PROP,GPE,Duffy
17,3713,3713,PROP,GPE,SIBERIA
18,3782,3782,PROP,GPE,Libertyorloffskoizalinski
22,4820,4820,PROP,GPE,Hawkeye
23,4853,4854,PROP,GPE,St. James
24,4938,4938,PROP,GPE,Paris
26,5057,5057,PROP,GPE,China
27,5067,5067,PROP,GPE,Japan
29,5659,5663,PROP,GPE,the United States of America
30,5808,5808,PROP,GPE,Russia
20,5873,5874,PROP,GPE,Cherokee Strip
33,7953,7953,PROP,GPE,Sheridan
34,8125,8129,PROP,GPE,Stratford - on - Avon
36,9178,9179,PROP,GPE,New York
37,9480,9480,PROP,GPE,Europe
39,10249,10249,PROP,GPE,Tahlequah
40,10443,10443,PROP,GPE,Baltimore
42,12455,12457,PROP,GPE,Duffy â€™s Corners
43,12459,12459,PROP,GPE,Arkansas
44,12474,12475,PROP,GPE,St. Louis
45,12666,12667,PROP,GPE,Great Britain
52,14976,14976,PROP,GPE,Buccleugh
53,14978,14978,PROP,GPE,Grafton
54,15666,15666,PROP,GPE,Liverpool
55,15691,15694,PROP,GPE,the District of Columbia
56,15694,15694,PROP,GPE,Columbia
59,21768,21769,PROP,GPE,San Francisco
60,25533,25533,PROP,GPE,Christendom
62,26521,26521,PROP,GPE,Princeton
64,31260,31260,PROP,GPE,Vesuvius
71,48902,48902,PROP,GPE,Rome
72,50045,50045,PROP,GPE,Golconda
73,51100,51100,PROP,GPE,Sewer
77,55477,55477,PROP,GPE,Land
78,61127,61127,PROP,GPE,Gibraltar
79,64839,64839,PROP,GPE,Sheol
80,68232,68232,PROP,GPE,York
81,68234,68234,PROP,GPE,Lancaster
82,73027,73027,PROP,GPE,Siloam
251,74764,74764,PROP,GPE,Snodgrass
84,75190,75190,PROP,GPE,Zylobalsamum
86,79737,79737,PROP,GPE,Greenland
87,79739,79739,PROP,GPE,Iceland
91,80289,80292,PROP,GPE,Kerak - Moab_.â€â€”_Clinton Scollard
92,80439,80439,PROP,GPE,Gettysburg
93,80750,80750,PROP,GPE,Bindarra
