COREF,start_token,end_token,prop,cat,text
1,36,36,PROP,GPE,Obedstown
2,38,39,PROP,GPE,East Tennessee
60,466,467,PROP,GPE,United States
4,1088,1088,PROP,GPE,Shelby
5,1141,1141,PROP,GPE,Mozouri
6,1181,1181,PROP,GPE,Kaintuck
8,1250,1250,PROP,GPE,Turpentine
9,1426,1426,PROP,GPE,Missouri
11,2402,2403,PROP,GPE,New Orleans
12,2441,2443,PROP,GPE,the Eastern States
14,3166,3166,PROP,GPE,Virginia
15,3179,3179,PROP,GPE,Kentucky
16,3405,3405,PROP,GPE,Delaware
17,3409,3409,PROP,GPE,Tennessee
18,3425,3425,PROP,GPE,Alabama
19,3778,3778,PROP,GPE,Cincinnati
22,7786,7791,PROP,GPE,his Itinerary of Spain and Portugal
23,7789,7789,PROP,GPE,Spain
24,7791,7791,PROP,GPE,Portugal
27,10318,10318,PROP,GPE,Napoleon
28,10327,10327,PROP,GPE,Cairo
29,10415,10415,PROP,GPE,Hastings
31,11214,11215,PROP,GPE,St. Louis
32,11500,11500,PROP,GPE,Memphis
33,12139,12139,PROP,GPE,Cuba
34,12147,12149,PROP,GPE,the Atlantic States
35,12778,12779,PROP,GPE,Tennessee Land
382,13926,13926,PROP,GPE,Washington
38,15007,15007,PROP,GPE,Philadelphia
41,18291,18291,PROP,GPE,Hawkeye
42,18406,18406,PROP,GPE,Swansea
44,19806,19806,PROP,GPE,Via
45,19808,19808,PROP,GPE,Pecunia
47,21819,21819,PROP,GPE,Christendom
48,22289,22289,PROP,GPE,London
49,22523,22523,PROP,GPE,Paris
50,22543,22543,PROP,GPE,France
54,24193,24193,PROP,GPE,Ohio
55,24195,24195,PROP,GPE,Indiana
56,24199,24199,PROP,GPE,Illinois
58,24683,24683,PROP,GPE,Iowa
59,24688,24688,PROP,GPE,Arkansas
61,25051,25051,PROP,GPE,America
62,25190,25190,PROP,GPE,Constantinople
64,25204,25204,PROP,GPE,Ispahan
65,25206,25206,PROP,GPE,Bagdad
66,25208,25208,PROP,GPE,Damascus
67,25210,25210,PROP,GPE,Jerusalem
68,25212,25212,PROP,GPE,Yedo
69,25214,25214,PROP,GPE,Peking
70,25216,25216,PROP,GPE,Bangkok
71,25218,25218,PROP,GPE,Delhi
72,25220,25220,PROP,GPE,Bombay
73,25223,25223,PROP,GPE,Calcutta
75,28699,28700,PROP,GPE,St Louis
81,28826,28826,PROP,GPE,BRIERLY
82,28847,28847,PROP,GPE,CHILE
87,30160,30160,PROP,GPE,L.
88,30228,30229,PROP,GPE,New York
89,30269,30269,PROP,GPE,Boston
90,30271,30271,PROP,GPE,Baltimore
92,32549,32549,PROP,GPE,Lafayette
93,33303,33304,PROP,GPE,New Jersey
95,34627,34627,PROP,GPE,Broadway
96,35425,35425,PROP,GPE,Yale
98,36534,36534,PROP,GPE,Montreal
99,36538,36538,PROP,GPE,Liverpool
100,36567,36567,PROP,GPE,Panama
101,36569,36569,PROP,GPE,Peoria
103,36680,36681,PROP,GPE,St. Jo
105,37126,37126,PROP,GPE,India
106,37210,37210,PROP,GPE,Cathay
108,37597,37598,PROP,GPE,Jersey City
110,37759,37759,PROP,GPE,Portland
111,38099,38099,PROP,GPE,Chicago
112,38145,38145,PROP,GPE,Alton
118,41245,41245,PROP,GPE,Camden
119,41247,41247,PROP,GPE,Amboy
123,41357,41357,PROP,GPE,Naples
127,42271,42271,PROP,GPE,Greece
128,42393,42393,PROP,GPE,Philadelphian
132,42670,42670,PROP,GPE,Germantown
135,44457,44457,PROP,GPE,Tunkhannock
137,45281,45281,PROP,GPE,Harrisburg
141,49981,49981,PROP,GPE,Magnolia
142,50743,50743,PROP,GPE,Louis
143,50806,50806,PROP,GPE,Massachusetts
85,51393,51395,PROP,GPE,Stone 's Landing
146,52382,52383,PROP,GPE,Goose Run
145,52776,52776,PROP,GPE,Columbus
154,54059,54059,PROP,GPE,Unionist
155,54061,54061,PROP,GPE,Confederate
156,54900,54900,PROP,GPE,Murpheysburg
158,55617,55617,PROP,GPE,Harding
159,56632,56632,PROP,GPE,Fallkill
163,56776,56776,PROP,GPE,REALITY
164,56806,56806,PROP,GPE,HERE
169,56862,56863,PROP,GPE,THE BONFIRE
485,57671,57671,PROP,GPE,Stone
176,59396,59397,PROP,GPE,Jefferson City
151,61566,61566,PROP,GPE,Landing
180,63738,63739,PROP,GPE,Delft Haven
181,63751,63752,PROP,GPE,Massachusetts Bay
182,63990,63990,PROP,GPE,Cambridge
185,65619,65620,PROP,GPE,New England
186,65818,65819,PROP,GPE,Lower California
190,68200,68200,PROP,GPE,Arizona
193,72210,72210,PROP,GPE,Territories
194,75123,75127,PROP,GPE,Columbus River Slack - water
114,77884,77884,PROP,GPE,East
198,80078,80078,PROP,GPE,Slouchburg
199,80094,80094,PROP,GPE,Doodleville
200,80127,80127,PROP,GPE,Belshazzar
201,80165,80165,PROP,GPE,Babylon
202,80186,80186,PROP,GPE,Columbia
204,80327,80327,PROP,GPE,Hallelujah
205,80331,80331,PROP,GPE,Corruptionville
207,80579,80579,PROP,GPE,Catfish
208,80649,80649,PROP,GPE,Hail
209,80652,80652,PROP,GPE,Hark
210,80669,80669,PROP,GPE,Halifax
213,80909,80909,PROP,GPE,Hawkeye'll
214,81245,81246,PROP,GPE,Central Africa
219,81759,81759,PROP,GPE,BALAAM
227,86133,86133,PROP,GPE,Ilium
228,86139,86139,PROP,GPE,Pennsylvania
229,86937,86937,PROP,GPE,H----
230,87014,87014,PROP,GPE,Shanghai
231,87094,87094,PROP,GPE,Bascom
234,90714,90714,PROP,GPE,Queens
236,90924,90924,PROP,GPE,Injun
478,94529,94529,PROP,GPE,Dilworthy
240,96029,96030,PROP,GPE,New Hampshire
242,98132,98132,PROP,GPE,Newport
244,98152,98152,PROP,GPE,Cape
245,99071,99071,PROP,GPE,Cork
247,99848,99850,PROP,GPE,Sing - Sing
248,99946,99946,PROP,GPE,Europe
249,101006,101006,PROP,GPE,Florida
251,101039,101040,PROP,GPE,St. Augustine
253,101457,101457,PROP,GPE,Richmond
626,107041,107041,PROP,GPE,Buckstone
256,107601,107601,PROP,GPE,China
257,107604,107604,PROP,GPE,Austria
258,108260,108260,PROP,GPE,England
403,110382,110382,PROP,GPE,Laura
265,112665,112667,PROP,GPE,New England City
267,113443,113444,PROP,GPE,Santo Domingo
268,114913,114913,PROP,GPE,Louisiana
269,114985,114985,PROP,GPE,Georgetown:--
270,115059,115059,PROP,GPE,Georgetown
272,118214,118216,PROP,GPE,New York Tribune
273,118466,118466,PROP,GPE,Zurich
274,118469,118469,PROP,GPE,Switzerland
391,119025,119025,PROP,GPE,Selby
277,119072,119072,PROP,GPE,Sheba
280,130114,130114,PROP,GPE,Congress'--that
286,134689,134689,PROP,GPE,Freiburg
287,134691,134691,PROP,GPE,Creuzot
289,136623,136624,PROP,GPE,Hong Kong
298,138176,138176,PROP,GPE,Arlington
417,138393,138393,PROP,GPE,Providence
302,139168,139168,PROP,GPE,Wilmington
303,139233,139233,PROP,GPE,Jersey
304,139268,139268,PROP,GPE,Elizabeth
305,139354,139354,PROP,GPE,Princeton
306,139385,139385,PROP,GPE,Newark
307,139390,139390,PROP,GPE,Newarks
308,139649,139649,PROP,GPE,Scotia
309,141508,141508,PROP,GPE,Berlin
312,142994,142994,PROP,GPE,Corinth
313,144843,144843,PROP,GPE,Mobile
314,150258,150259,PROP,GPE,San Francisco
315,150439,150439,PROP,GPE,November
580,152639,152639,PROP,GPE,Heaven
321,158344,158344,PROP,GPE,Cattleville
91,160273,160273,PROP,GPE,West
26,165508,165508,PROP,GPE,Mississippi
346,177052,177057,PROP,GPE,#¿NOMBRE?
350,183286,183286,PROP,GPE,Melbourne
351,183288,183288,PROP,GPE,Australia
352,183418,183419,PROP,GPE,the States
353,183498,183499,PROP,GPE,Salt Lake
441,185371,185371,PROP,GPE,Jefferson
358,188871,188871,PROP,GPE,Lancaster
359,188903,188903,PROP,GPE,Heliogabalus
360,188911,188911,PROP,GPE,Chester
