COREF,start_token,end_token,prop,cat,text
1,16,16,PROP,GPE,London
2,82,82,PROP,GPE,England
3,236,236,PROP,GPE,Wales
8,1363,1363,PROP,GPE,Cheapside
10,1421,1421,PROP,GPE,Smithfield
14,2427,2428,PROP,GPE,Charing Village
15,2475,2475,PROP,GPE,Westminster
16,3062,3062,PROP,GPE,Poverty
22,6590,6590,PROP,GPE,Norfolk
23,12614,12614,PROP,GPE,Berkeley
24,13069,13069,PROP,GPE,Holland
25,15709,15709,PROP,GPE,Somerset
4,18817,18818,PROP,GPE,London Bridge
27,18852,18852,PROP,GPE,Southwark
33,19718,19718,PROP,GPE,Bucklersbury
36,20178,20178,PROP,GPE,Russia
37,20297,20297,PROP,GPE,Prussia
40,24237,24237,PROP,GPE,Kent
42,25516,25516,PROP,GPE,France
45,28765,28766,PROP,GPE,Windsor Forest
46,28861,28861,PROP,GPE,Canterbury
47,29131,29131,PROP,GPE,Lancaster
48,29590,29590,PROP,GPE,Durham--
49,29975,29975,PROP,GPE,Billingsgate--
51,31933,31933,PROP,GPE,Marlow
107,33141,33141,PROP,GPE,Hertford
53,34609,34609,PROP,GPE,Germany
54,34845,34845,PROP,GPE,Islington
128,38545,38545,PROP,GPE,Hendon
58,39982,39982,PROP,GPE,Rome
95,49583,49583,PROP,GPE,Heaven
61,52860,52860,PROP,GPE,Europe
62,58302,58302,PROP,GPE,Yonder
63,63709,63709,PROP,GPE,Windsor
64,64975,64975,PROP,GPE,Heathennesse
65,64977,64978,PROP,GPE,Christian England
70,72277,72277,PROP,GPE,Scone
73,80987,80987,PROP,GPE,Kingsale
74,81395,81395,PROP,GPE,Flanders
75,82112,82112,PROP,GPE,Hamburg
76,82228,82228,PROP,GPE,Huntingdon
77,82371,82371,PROP,GPE,Connecticut
78,82373,82374,PROP,GPE,New Haven
80,82942,82946,PROP,GPE,Papistry.--J. Heneage Jesse â€™s London
81,83156,83156,PROP,GPE,London.--Ibid
85,83437,83437,PROP,GPE,Anacreon
86,83597,83597,PROP,GPE,America
