COREF,start_token,end_token,prop,cat,text
1,180,181,PROP,GPE,southwest Missouri
2,193,193,PROP,GPE,Florence
4,399,399,PROP,GPE,Settignano
75,571,573,PROP,GPE,Dawson 's Landing
8,593,594,PROP,GPE,St. Louis
9,969,969,PROP,GPE,Venice
11,1118,1118,PROP,GPE,Cairo
12,1123,1123,PROP,GPE,Memphis
13,1130,1130,PROP,GPE,Orleans
22,1225,1226,PROP,GPE,St. Anthony
23,1233,1234,PROP,GPE,New Orleans
24,1558,1558,PROP,GPE,Virginia
25,1884,1888,PROP,GPE,the State of New York
26,7369,7369,PROP,GPE,Englan
27,11114,11114,PROP,GPE,Landing
29,11679,11679,PROP,GPE,Yale
32,13021,13021,PROP,GPE,Europe
33,13027,13029,PROP,GPE,the United States
34,13567,13567,PROP,GPE,Glory
35,13845,13845,PROP,GPE,Italy
36,13916,13916,PROP,GPE,Germany
37,14095,14095,PROP,GPE,Berlin
38,14267,14267,PROP,GPE,London
39,14269,14269,PROP,GPE,Paris
40,14271,14271,PROP,GPE,Russia
41,14273,14273,PROP,GPE,India
42,14275,14275,PROP,GPE,China
43,14277,14277,PROP,GPE,Japan--
44,16799,16799,PROP,GPE,Cincinnati
46,23386,23386,PROP,GPE,Krakatoa
49,28085,28085,PROP,GPE,Baroda
50,29213,29213,PROP,GPE,America
51,30955,30956,PROP,GPE,Old Virginia
86,33288,33288,PROP,GPE,Pudd'nhead
14,34819,34819,PROP,GPE,Illinois
81,35630,35630,PROP,GPE,Roxana
56,36808,36808,PROP,GPE,Land
57,38120,38120,PROP,GPE,Pocahontas
58,38134,38134,PROP,GPE,Africa
60,45288,45288,PROP,GPE,Rome
61,46116,46116,PROP,GPE,Fiji
62,47068,47068,PROP,GPE,South
66,63781,63781,PROP,GPE,Hartford
