COREF,start_token,end_token,prop,cat,text
1,910,910,PROP,GPE,Washington
2,1144,1144,PROP,GPE,Illinois
3,1511,1511,PROP,GPE,Philadelphia
6,3349,3349,PROP,GPE,Missouri
78,3670,3670,PROP,GPE,Huck
8,4191,4192,PROP,GPE,St. Louis
9,4209,4209,PROP,GPE,Europe
11,7462,7462,PROP,GPE,Indiana
13,9122,9122,PROP,GPE,Ohio
14,9133,9133,PROP,GPE,Pennsylvania
15,9135,9136,PROP,GPE,New York
17,9757,9757,PROP,GPE,England
18,9840,9840,PROP,GPE,Choosday
19,9847,9847,PROP,GPE,tâ€™other
22,10861,10861,PROP,GPE,London
24,14053,14053,PROP,GPE,America
26,15590,15590,PROP,GPE,Scotland
27,15602,15602,PROP,GPE,Africa
28,15928,15928,PROP,GPE,Ireland
31,22529,22529,PROP,GPE,Siffra
32,26159,26159,PROP,GPE,Desert
37,26313,26313,PROP,GPE,Maine
38,26320,26320,PROP,GPE,Florida
39,26337,26337,PROP,GPE,California
42,26507,26507,PROP,GPE,France
43,26509,26509,PROP,GPE,Denmark
44,26753,26753,PROP,GPE,Den
47,27287,27287,PROP,GPE,China
48,27456,27456,PROP,GPE,Russia
49,27476,27477,PROP,GPE,Rhode Island
50,27892,27892,PROP,GPE,Balsora
53,33391,33391,PROP,GPE,Egypt
54,33393,33393,PROP,GPE,Arabia
55,33395,33395,PROP,GPE,Hindostan
106,35135,35136,PROP,GPE,George Washington
59,39231,39231,PROP,GPE,Cairo
62,40588,40588,PROP,GPE,Mecca
63,40590,40590,PROP,GPE,Medina
64,40592,40593,PROP,GPE,Central Africa
67,40785,40785,PROP,GPE,Israel
