COREF,start_token,end_token,prop,cat,text
1,38,38,PROP,GPE,England
3,328,328,PROP,GPE,HARTFORD
6,1772,1772,PROP,GPE,Whitsunday
7,2896,2896,PROP,GPE,Camelot
9,7551,7551,PROP,GPE,Arkansas
10,8674,8674,PROP,GPE,Carlion
11,11546,11546,PROP,GPE,Egypt
12,11556,11556,PROP,GPE,India
13,15908,15909,PROP,GPE,East Hartford
14,16785,16785,PROP,GPE,Land
16,17447,17447,PROP,GPE,London
17,18990,18990,PROP,GPE,France
19,20388,20388,PROP,GPE,America
21,22384,22384,PROP,GPE,Ireland
22,22478,22478,PROP,GPE,Scotland
23,22503,22503,PROP,GPE,Gore
152,23112,23112,PROP,GPE,Columbus
28,26285,26285,PROP,GPE,Moder
29,27699,27700,PROP,GPE,East Har--
31,33915,33915,PROP,GPE,Connecticut
32,34916,34916,PROP,GPE,Britain
116,37172,37172,PROP,GPE,Arthur
34,38473,38473,PROP,GPE,Rome
36,41061,41061,PROP,GPE,Columbia
37,41097,41097,PROP,GPE,Palestine
38,46866,46868,PROP,GPE,the United States
39,47500,47500,PROP,GPE,Sheol
183,56874,56874,PROP,GPE,La
45,64923,64923,PROP,GPE,Christendom
46,65230,65230,PROP,GPE,Arthurdom
47,65531,65531,PROP,GPE,Lecky
50,69931,69931,PROP,GPE,Africa
53,71286,71286,PROP,GPE,Asia
27,75756,75757,PROP,GPE,West Point
61,80904,80904,PROP,GPE,Gaul
63,80918,80918,PROP,GPE,Halibut
64,80967,80967,PROP,GPE,Cornwall
66,81124,81125,PROP,GPE,South Astolat
68,83145,83145,PROP,GPE,Pisa
72,97240,97240,PROP,GPE,Wayback
73,99441,99441,PROP,GPE,Paradise
189,104125,104125,PROP,GPE,Bagdemagus
75,109453,109453,PROP,GPE,Cambenet
268,110211,110211,PROP,GPE,Astolat
78,122626,122627,PROP,GPE,West Hartford
82,125697,125697,PROP,GPE,Europe
83,125915,125915,PROP,GPE,CENTRAL
85,127358,127358,PROP,GPE,LOTHIAN
87,127380,127381,PROP,GPE,LITTLE BRITAIN
89,127389,127389,PROP,GPE,LABOR
91,127422,127422,PROP,GPE,SYRIA
93,128649,128649,PROP,GPE,Dover
94,128675,128675,PROP,GPE,Canterbury
96,130506,130509,PROP,GPE,his Duchy of Guienne
97,130509,130509,PROP,GPE,Guienne
98,130628,130628,PROP,GPE,Barham
99,130648,130648,PROP,GPE,Kent
100,130693,130693,PROP,GPE,Salisbury
102,131524,131524,PROP,GPE,Almesbury
103,131968,131968,PROP,GPE,Cadiz--
104,131971,131971,PROP,GPE,Cadiz
105,132409,132409,PROP,GPE,Merlin's
