COREF,start_token,end_token,prop,cat,text
3,481,481,PROP,GPE,Shoshone
4,483,483,PROP,GPE,Cheyenne
5,524,524,PROP,GPE,American
6,797,797,PROP,GPE,Kentucky
8,1210,1211,PROP,GPE,Fort Paxton
10,1328,1329,PROP,GPE,Seventh Cavalry
13,1388,1388,PROP,GPE,France
14,1420,1420,PROP,GPE,America
15,1426,1426,PROP,GPE,Spain
16,1688,1688,PROP,GPE,ROUEN
17,1816,1816,PROP,GPE,California
18,2578,2579,PROP,GPE,San Bernardino
22,4536,4536,PROP,GPE,Jerusalem
23,4538,4538,PROP,GPE,Australia
25,5758,5758,PROP,GPE,Virginia
26,7935,7935,PROP,GPE,Cuba
28,8783,8783,PROP,GPE,Arizona
33,11612,11612,PROP,GPE,Philadelphia
38,13231,13231,PROP,GPE,Clayton
40,17216,17216,PROP,GPE,Andalusian
41,17234,17234,PROP,GPE,Oregonian
42,17286,17286,PROP,GPE,Sancho
43,17317,17317,PROP,GPE,Ceylon
46,17601,17601,PROP,GPE,Missouri
49,20085,20085,PROP,GPE,Georgia
50,21746,21747,PROP,GPE,West Point
