COREF;start_token;end_token;prop;cat;text
110;6;15;PROP;PER;JOAN OF ARC â€™S HISTORY THE SIEUR LOUIS DE CONTE
0;17;17;PRON;PER;I
1;19;19;PROP;GPE;DOMREMY
2;27;27;PROP;GPE;Paris
3;30;34;PROP;FAC;The Fairy Tree of Domremy
1;34;34;PROP;GPE;Domremy
4;42;42;PROP;GPE;France
107;45;49;PROP;PER;Joan Tames the Mad Man
5;52;53;PROP;FAC;Domremy Pillaged
107;58;58;PROP;PER;Joan
108;60;61;PROP;PER;Archangel Michael
107;64;64;PRON;PER;She
6;66;68;PROP;FAC;the Divine Command
109;72;73;PROP;PER;the Scorners
7;78;78;PROP;GPE;COURT
8;80;80;PROP;GPE;CAMP
107;83;83;PROP;PER;Joan
268;90;93;NOM;PER;The Governor Speeds Joan
9;96;98;PROP;LOC;The Paladin Groans
107;103;103;PROP;PER;Joan
269;105;105;PRON;PER;Us
269;111;111;PRON;PER;We
107;118;118;PROP;PER;Joan
270;120;121;NOM;PER;the King
269;124;124;PRON;PER;Our
271;127;127;PRON;PER;His
10;127;128;PROP;GPE;His Glory
107;131;131;PROP;PER;Joan
107;133;133;PRON;PER;Her
107;137;137;PRON;PER;She
110;147;148;PROP;PER;The Maid
110;162;162;PROP;PER;Joan
107;166;166;PRON;PER;Her
0;185;185;PRON;PER;My
11;190;190;PROP;GPE;Smash
111;196;197;PROP;PER;the Dwarf
112;200;204;PROP;PER;Sweet Fruit of Bitter Truth
110;207;207;PROP;PER;Joan
269;215;215;PRON;PER;We
110;222;226;PROP;PER;Joan Makes Cowards Brave Victors
107;229;229;PRON;PER;She
107;232;232;PRON;PER;Her
12;232;234;PROP;LOC;Her Dear Friend
13;237;240;PROP;LOC;The Fate of France
4;240;240;PROP;GPE;France
110;244;244;PROP;PER;Joan
272;246;248;NOM;GPE;the Tawdry King
14;254;254;PROP;GPE;Nobility
273;264;268;NOM;FAC;The Last Doubts Scattered Chapter
110;271;271;PROP;PER;Joan
114;273;274;PROP;PER;Jargeau PERSONAL
