COREF;start_token;end_token;prop;cat;text
72;2;5;PROP;PER;TOM SEEKS NEW ADVENTURES
141;7;7;PRON;PER;you
73;9;10;PROP;PER;Tom Sawyer
0;18;18;PRON;PER;I
142;22;22;PRON;PER;we
143;25;26;NOM;LOC;the river
142;31;31;PRON;PER;we
74;33;35;PROP;PER;the darky Jim
75;38;38;PROP;PER;Tom
73;47;47;PRON;PER;he
73;55;55;PRON;PER;him
141;67;67;PRON;PER;You
142;71;71;PRON;PER;we
143;76;77;NOM;LOC;the river
141;82;82;PRON;PER;you
145;92;93;NOM;GPE;the village
142;95;95;PRON;PER;us
146;104;104;NOM;PER;everybody
142;111;111;PRON;PER;us
147;112;112;NOM;PER;heroes
73;118;119;PROP;PER;Tom Sawyer
73;130;130;PRON;PER;he
146;136;136;NOM;PER;Everybody
73;140;140;PRON;PER;him
73;143;143;PRON;PER;he
73;146;146;PRON;PER;his
149;151;152;NOM;GPE;the town
73;155;155;PRON;PER;he
149;157;157;PRON;FAC;it
150;159;159;NOM;PER;Some
73;161;161;PRON;PER;him
73;162;163;PROP;PER;Tom Sawyer
151;164;165;NOM;PER;the Traveler
73;171;171;PRON;PER;him
141;177;177;PRON;PER;You
73;179;179;PRON;PER;he
0;182;182;PRON;PER;me
74;184;184;PROP;PER;Jim
142;188;188;PRON;PER;we
143;192;193;NOM;LOC;the river
153;195;196;NOM;VEH;a raft
154;201;202;NOM;VEH;the steamboat
75;205;205;PROP;PER;Tom
154;208;209;NOM;VEH;the steamboat
156;213;214;NOM;PER;The boys
0;216;216;PRON;PER;me
74;218;218;PROP;PER;Jim
157;224;224;NOM;LOC;land
156;226;226;PRON;PER;they
75;233;233;PROP;PER;TOM
0;237;237;PRON;PER;I
73;243;243;PRON;PER;he
76;254;256;PROP;PER;old Nat Parsons
73;286;286;PRON;PER;his
158;291;297;NOM;PER;the talkiest old cretur I ever see
0;295;295;PRON;PER;I
73;305;305;PRON;PER;he
159;308;313;NOM;PER;the only man in the village
145;312;313;NOM;GPE;the village
0;319;319;PRON;PER;I
161;325;326;NOM;PER;a traveler
73;331;331;PRON;PER;he
73;350;350;PRON;PER;he
162;370;374;NOM;PER;a boy not quite fifteen
146;378;378;NOM;PER;everybody
73;384;384;PRON;PER;his
164;392;395;NOM;PER;the poor old man
164;402;402;PRON;PER;him
75;407;407;PROP;PER;Tom
165;412;413;NOM;PER;the people
165;416;416;PRON;PER;My
1092;416;417;NOM;GPE;My land
75;422;422;PRON;PER;you
165;427;427;PRON;PER;My
75;439;439;PRON;PER;he
75;466;466;PROP;PER;Tom
166;472;475;NOM;PER;the poor old cretur
75;481;481;PRON;PER;his
167;488;488;PRON;PER;them
167;491;491;PRON;PER;they
75;517;517;PROP;PER;Tom
168;525;527;NOM;PER;the old man
169;549;550;NOM;PER;the other
170;552;552;PRON;PER;You
76;555;555;PROP;PER;Parsons
76;563;563;PRON;PER;he
171;568;568;NOM;PER;postmaster
172;581;581;NOM;PER;somebody
173;581;585;NOM;PER;somebody he did nâ€™t know
76;582;582;PRON;PER;he
174;591;596;NOM;PER;any such person in the village
145;595;596;NOM;GPE;the village
76;600;600;PRON;PER;he
76;634;634;PRON;PER;him
76;667;667;PRON;PER;he
176;669;670;NOM;PER;the govâ€™ment
76;673;673;PRON;PER;him
76;680;680;PRON;PER;him
176;685;685;PRON;PER;they
76;687;687;PRON;PER;he
76;697;697;PRON;PER;he
76;705;705;PRON;PER;He
76;711;711;PRON;PER;he
76;716;716;PRON;PER;he
76;725;725;PRON;PER;he
177;728;728;NOM;PER;anybody
178;733;739;NOM;PER;the very person he asked for advice
76;736;736;PRON;PER;he
76;744;744;PRON;PER;him
176;747;748;NOM;PER;the govâ€™ment
76;754;754;PRON;PER;He
76;770;770;PRON;PER;he
180;774;779;NOM;PER;a person standing over the place
76;783;783;PRON;PER;him
76;790;790;PRON;PER;him
76;796;796;PRON;PER;he
149;803;804;NOM;GPE;the town
76;812;812;PRON;PER;he
182;815;815;NOM;FAC;there
183;824;825;NOM;LOC;another place
184;830;830;NOM;PER;people
76;834;834;PRON;PER;him
184;837;837;PRON;PER;their
76;846;846;PRON;PER;he
184;852;852;PRON;PER;they
