COREF;start_token;end_token;prop;cat;text
17;5;5;PROP;PER;TOM
18;7;7;PROP;PER;HUCK
78;34;35;NOM;PER;the accused
0;37;37;PRON;PER;I
79;39;39;PRON;PER;them
1;58;58;PROP;GPE;America
0;60;60;PRON;PER;I
0;88;88;PRON;PER;me
17;90;91;PROP;PER;Tom Sawyer
80;93;93;PRON;PER;our
19;96;96;PROP;PER;Jim
19;101;101;PRON;PER;he
81;106;108;NOM;PER;a runaway slave
17;112;112;PROP;PER;Tom
82;112;119;NOM;FAC;Tom â€™s uncle Silas â€™s farm in Arkansaw
20;115;115;PROP;PER;Silas
83;115;119;NOM;FAC;Silas â€™s farm in Arkansaw
2;119;119;PROP;GPE;Arkansaw
84;191;192;NOM;PER;a boy
84;212;212;PRON;PER;him
84;226;226;PRON;PER;him
84;228;228;PRON;PER;he
84;237;237;PRON;PER;he
84;241;241;PRON;PER;himself
84;249;249;PRON;PER;he
85;258;259;NOM;LOC;the hill
86;261;265;NOM;LOC;the edge of the woods
87;264;265;NOM;LOC;the woods
88;275;277;NOM;LOC;the big Mississippi
89;313;313;PRON;PER;you
89;322;322;PRON;PER;you
89;326;326;PRON;PER;you
89;341;341;PRON;PER;you
89;363;363;PRON;PER;you
89;368;368;PRON;PER;you
89;373;373;PRON;PER;you
89;381;381;PRON;PER;you
89;392;392;PRON;PER;your
89;396;396;PRON;PER;you
89;404;404;PRON;PER;you
89;408;408;PRON;PER;you
89;423;423;PRON;PER;you
89;444;444;PRON;PER;you
90;450;451;NOM;PER;a wanderer
89;453;453;PRON;PER;you
91;461;470;NOM;LOC;strange countries where everything is mysterious and wonderful and romantic
89;474;474;PRON;PER;you
89;480;480;PRON;PER;you
89;488;488;PRON;PER;you
89;492;492;PRON;PER;you
0;516;516;PRON;PER;me
17;518;519;PROP;PER;Tom Sawyer
17;540;540;PROP;PER;Tom
17;549;549;PRON;PER;he
17;552;552;PRON;PER;his
92;552;554;NOM;PER;his Aunt Polly
21;554;554;PROP;PER;Polly
17;558;558;PRON;PER;him
93;560;560;NOM;FAC;school
94;570;570;PRON;PER;we
94;575;575;PRON;PER;We
17;593;593;PRON;PER;his
95;593;594;NOM;PER;his aunt
21;595;595;PROP;PER;Polly
21;600;600;PRON;PER;her
17;606;606;PROP;PER;Tom
21;608;608;PRON;PER;I
17;610;610;PRON;PER;you
2;620;620;PROP;GPE;Arkansaw
17;622;622;PRON;PER;your
546;622;623;NOM;PER;your aunt
22;624;624;PROP;PER;Sally
17;626;626;PRON;PER;you
0;629;629;PRON;PER;I
0;635;635;PRON;PER;my
0;640;640;PRON;PER;I
17;642;642;PROP;PER;Tom
17;646;646;PRON;PER;his
95;646;647;NOM;PER;his aunt
95;650;650;PRON;PER;her
97;656;656;PRON;PER;you
0;658;658;PRON;PER;me
17;659;659;PRON;PER;he
0;674;674;PRON;PER;me
17;680;680;PRON;PER;him
98;697;697;PRON;PER;we
17;702;702;PRON;PER;he
17;709;709;PRON;PER;he
17;716;716;PRON;PER;he
0;724;724;PRON;PER;I
0;728;728;PRON;PER;I
17;737;737;PRON;PER;he
0;744;744;PRON;PER;I
17;748;748;PRON;PER;him
17;756;756;PRON;PER;he
17;760;760;PRON;PER;I
21;766;767;PROP;PER;Aunt Polly
17;770;770;PRON;PER;I
17;772;772;PRON;PER;I
17;783;783;PRON;PER;His
21;785;785;PROP;PER;Polly
21;800;800;PRON;PER;she
0;818;818;PRON;PER;me
17;823;823;PROP;PER;Tom
0;830;830;PRON;PER;you
17;849;849;PRON;PER;he
17;853;853;PRON;PER;He
18;858;859;PROP;PER;Huck Finn
18;862;862;PRON;PER;you
17;864;864;PRON;PER;me
21;867;867;PRON;PER;her
17;873;873;PRON;PER;I
21;880;880;PRON;PER;she
18;902;902;PRON;PER;you
21;904;904;PRON;PER;she
18;911;911;PRON;PER;You
17;915;915;PRON;PER;I
17;917;917;PRON;PER;I
21;922;922;PRON;PER;her
0;926;926;PRON;PER;I
17;937;937;PRON;PER;he
17;941;942;PROP;PER;Tom Sawyer
0;950;950;PRON;PER;I
17;959;959;PRON;PER;himself
99;964;964;PRON;PER;you
17;968;968;PRON;PER;him
17;973;973;PRON;PER;his
95;973;974;NOM;PER;his aunt
21;975;975;PROP;PER;Polly
21;982;982;PRON;PER;she
21;986;986;PRON;PER;She
0;992;992;PRON;PER;I
0;994;994;PRON;PER;I
17;1001;1001;PRON;PER;You
17;1007;1007;PRON;PER;you
21;1013;1013;PRON;PER;I
21;1022;1022;PRON;PER;my
17;1028;1028;PRON;PER;you
21;1034;1034;PRON;PER;me
17;1039;1039;PRON;PER;yourself
17;1043;1043;PRON;PER;your
21;1048;1048;PRON;PER;I
17;1054;1054;PRON;PER;you
17;1057;1057;PRON;PER;you
17;1064;1064;PRON;PER;you
21;1068;1068;PRON;PER;I
21;1071;1071;PRON;PER;I
17;1075;1075;PRON;PER;you
21;1082;1082;PRON;PER;She
101;1084;1084;PRON;PER;his
21;1089;1089;PRON;PER;her
102;1092;1092;PRON;PER;we
101;1097;1097;PRON;PER;he
102;1104;1104;PRON;PER;we
101;1112;1112;PRON;PER;his
103;1112;1113;NOM;FAC;his room
101;1114;1114;PRON;PER;he
0;1116;1116;PRON;PER;me
101;1118;1118;PRON;PER;he
101;1123;1123;PRON;PER;his
101;1128;1128;PRON;PER;he
101;1134;1134;PRON;PER;he
102;1139;1139;PRON;PER;we
21;1142;1142;PRON;PER;she
21;1145;1145;PRON;PER;she
101;1149;1149;PRON;PER;me
21;1153;1153;PRON;PER;she
21;1167;1167;PRON;PER;she
21;1171;1171;PRON;PER;her
21;1176;1176;PRON;PER;her
17;1182;1182;PROP;PER;Tom
17;1192;1192;PRON;PER;his
95;1192;1193;NOM;PER;his aunt
21;1195;1195;PROP;PER;Mary
17;1200;1200;PRON;PER;him
105;1203;1203;PRON;PER;we
95;1208;1208;PRON;PER;her
17;1220;1220;PROP;PER;Tom
95;1224;1224;PRON;PER;her
95;1234;1234;PRON;PER;her
106;1255;1255;PRON;PER;they
105;1261;1261;PRON;PER;we
95;1276;1276;PRON;PER;She
107;1281;1283;NOM;FAC;a brown study
95;1289;1289;PRON;PER;her
105;1292;1292;PRON;PER;We
95;1297;1297;PRON;PER;she
106;1301;1301;PRON;PER;They
106;1310;1310;PRON;PER;they
547;1312;1312;PRON;PER;you
23;1314;1314;PROP;PER;Huckâ€™ll
548;1321;1321;PRON;PER;themâ€”â€™comfort
106;1324;1324;PRON;PER;they
106;1330;1330;PRON;PER;they
547;1335;1335;PRON;PER;you
18;1337;1338;PROP;PER;Huck Finn
95;1340;1340;PRON;PER;I
549;1345;1357;NOM;PER;a neighbor named Brace Dunlap that â€™s been wanting to marry their Benny
24;1348;1349;PROP;PER;Brace Dunlap
106;1356;1356;PRON;PER;their
550;1356;1357;NOM;PER;their Benny
25;1357;1357;PROP;PER;Benny
106;1365;1365;PRON;PER;they
24;1367;1367;PRON;PER;him
24;1375;1375;PRON;PER;he
24;1381;1381;PRON;PER;he
106;1385;1385;PRON;PER;them
106;1388;1388;PRON;PER;they
95;1394;1394;PRON;PER;I
24;1396;1396;PRON;PER;he
106;1399;1399;PRON;PER;they
106;1401;1401;PRON;PER;they
106;1411;1411;PRON;PER;they
24;1416;1416;PRON;PER;him
24;1419;1419;PRON;PER;his
551;1419;1423;NOM;PER;his no - account brother
552;1427;1428;NOM;FAC;the farm
106;1430;1430;PRON;PER;they
24;1441;1441;PRON;PER;him
26;1447;1448;PROP;PER;the Dunlaps
26;1452;1452;PRON;PER;They
27;1458;1459;PROP;PER;Uncle Silas
553;1458;1461;NOM;FAC;Uncle Silas â€™s place
21;1463;1464;PROP;PER;Aunt Polly
554;1467;1468;NOM;PER;the farmers
24;1478;1479;PROP;PER;Brace Dunlap
555;1493;1497;NOM;PER;a whole grist of niggers
556;1497;1497;NOM;PER;niggers
24;1499;1499;PRON;PER;He
557;1501;1502;NOM;PER;a widower
558;1511;1512;NOM;PER;any children
24;1518;1518;PRON;PER;his
559;1524;1524;NOM;PER;everybody
24;1530;1530;PRON;PER;him
95;1532;1532;PRON;PER;I
24;1534;1534;PRON;PER;he
24;1536;1536;PRON;PER;he
560;1539;1542;NOM;PER;any girl he wanted
24;1541;1541;PRON;PER;he
24;1554;1554;PRON;PER;him
24;1560;1560;PRON;PER;he
24;1562;1562;PRON;PER;he
25;1566;1566;PROP;PER;Benny
25;1570;1570;PROP;PER;Benny
25;1577;1577;PRON;PER;he
561;1590;1590;PRON;PER;you
562;1593;1593;PRON;PER;her
27;1595;1598;PROP;PER;Poor old Uncle Silas
24;1606;1606;PRON;PER;him
28;1623;1626;PROP;PER;that useless Jubiter Dunlap
24;1629;1629;PRON;PER;his
563;1629;1631;NOM;PER;his ornery brother
28;1639;1639;PROP;PER;Jubiter
24;1643;1643;PRON;PER;he
95;1656;1656;PRON;PER;I
564;1658;1658;PRON;PER;they
24;1661;1661;PRON;PER;his
24;1668;1668;PRON;PER;He
24;1685;1685;PRON;PER;he
565;1691;1693;NOM;PER;The school teacher
24;1705;1705;PRON;PER;his
24;1709;1709;PRON;PER;his
24;1722;1722;PRON;PER;he
565;1727;1727;PRON;PER;he
24;1731;1731;PRON;PER;him
28;1733;1733;PROP;PER;Jubiter
28;1735;1735;PRON;PER;his
566;1735;1736;NOM;PER;his moons
567;1739;1740;NOM;PER;the children
567;1748;1748;PRON;PER;they
28;1752;1752;PRON;PER;him
28;1753;1753;PROP;PER;Jubiter
28;1756;1756;PRON;PER;he
28;1758;1758;PROP;PER;Jubiter
24;1761;1761;PRON;PER;He
24;1804;1804;PROP;PER;Brace
24;1806;1806;PRON;PER;him
24;1812;1812;PRON;PER;him
24;1813;1813;PRON;PER;his
24;1821;1821;PRON;PER;him
28;1823;1823;PROP;PER;Jubiter
568;1825;1826;NOM;PER;a twin
28;1841;1841;PROP;PER;Jubiter
567;1844;1844;PRON;PER;they
24;1854;1854;PRON;PER;he
24;1862;1862;PRON;PER;He
24;1867;1867;PRON;PER;he
567;1874;1874;PRON;PER;they
24;1876;1876;PRON;PER;him
24;1879;1879;PRON;PER;he
569;1890;1890;NOM;PER;somers
567;1892;1892;PRON;PER;They
24;1897;1897;PRON;PER;him
24;1911;1911;PRON;PER;He
