COREF,start_token,end_token,prop,cat,text
110,6,15,PROP,PER,JOAN OF ARC â€™S HISTORY THE SIEUR LOUIS DE CONTE
107,45,49,PROP,PER,Joan Tames the Mad Man
108,60,61,PROP,PER,Archangel Michael
109,72,73,PROP,PER,the Scorners
111,196,197,PROP,PER,the Dwarf
112,200,204,PROP,PER,Sweet Fruit of Bitter Truth
114,273,274,PROP,PER,Jargeau PERSONAL
115,320,323,PROP,PER,Jean Francois Alden Authorities
116,334,337,PROP,PER,J. E. J. QUICHERAT
117,346,347,PROP,PER,J. FABRE
118,363,364,PROP,PER,M. SEPET
119,369,370,PROP,PER,J. MICHELET
120,375,379,PROP,PER,BERRIAT DE SAINT - PRIX
121,397,398,PROP,PER,Monseigneur RICARD
122,405,407,PROP,PER,Lord RONALD GOWER
123,415,416,PROP,PER,JOHN Oâ€™HAGAN
124,422,423,PROP,PER,JANET TUCKEY
125,1090,1090,PROP,PER,Caesar
126,1116,1116,PROP,PER,Napoleon
127,1576,1584,PROP,PER,his Great - Great - Grand Nephews and Nieces
128,2144,2145,PROP,PER,the English
129,2722,2723,PROP,PER,Guillaume Fronte
130,2762,2762,PROP,PER,Jacques
131,2769,2770,PROP,PER,Isabel Romee
132,2781,2781,PROP,PER,Pierre
133,2798,2798,PROP,PER,Catherine
134,2829,2830,PROP,PER,Etienne Roze
135,2832,2833,PROP,PER,Noel Rainguesson
136,2836,2837,PROP,PER,Edmond Aubrey
137,2867,2867,PROP,PER,Haumetter
138,2873,2874,PROP,PER,Little Mengette
139,3040,3041,PROP,PER,John Huss
140,4557,4557,PROP,PER,God
141,5063,5063,PROP,PER,Tree
1,5485,5485,PROP,PER,Domremy
143,5701,5702,PROP,PER,Dame Aubrey
144,8125,8125,PROP,PER,Satan
145,8831,8831,PROP,PER,France
146,11963,11963,PROP,PER,Roland
147,12978,12986,PROP,PER,the Duke of Burgundy and that she - devil
148,12995,12995,PROP,PER,Henry
149,13193,13194,PROP,PER,presently Haumette
