COREF,start_token,end_token,prop,cat,text
45,32,33,PROP,PER,Huck Finn
46,39,40,PROP,PER,Tom Sawyer
47,627,627,PROP,PER,Polly
48,927,927,PROP,PER,hookey
49,1009,1009,PROP,PER,Southwestern
50,1036,1036,PROP,PER,Jim
51,1090,1090,PROP,PER,Sid
52,1612,1612,PROP,PER,Siddy
53,3077,3077,PROP,PER,Holler
54,3591,3592,PROP,PER,Buffalo Gals
56,3732,3733,PROP,PER,Ole missis
57,4256,4257,PROP,PER,Ben Rogers
58,4433,4439,PROP,PER,Ting - a - ling - ling
59,5429,5430,PROP,PER,Billy Fisher
60,5445,5446,PROP,PER,Johnny Miller
61,6361,6361,PROP,PER,sally
62,6506,6507,PROP,PER,Joe Harper
63,6630,6631,PROP,PER,Jeff Thatcher
64,6680,6681,PROP,PER,Amy Lawrence
2095,7243,7243,PROP,PER,Aunt
65,7773,7773,PROP,PER,God
66,8621,8621,PROP,PER,Sinai
67,8941,8941,PROP,PER,Mary?â€”what
68,10700,10701,PROP,PER,Mr. Walters
69,12739,12739,PROP,PER,David
70,12741,12741,PROP,PER,Goliah
71,12900,12900,PROP,PER,Douglas
72,12959,12960,PROP,PER,Mrs. Ward
73,12962,12963,PROP,PER,lawyer Riverson
74,13047,13048,PROP,PER,Willie Mufferson
75,13442,13445,PROP,PER,the Rev. Mr. Sprague
76,16945,16946,PROP,PER,Bob Tanner
77,16968,16969,PROP,PER,Johnny Baker
78,17662,17662,PROP,PER,Devil
79,17706,17708,PROP,PER,old Mother Hopkins
80,17751,17751,PROP,PER,Pap
2176,17838,17838,PROP,PER,Lord
81,17908,17910,PROP,PER,old Hoss Williams
82,17953,17953,PROP,PER,Devils
83,18035,18036,PROP,PER,old Hays
85,18304,18304,PROP,PER,genuwyne
86,19242,19243,PROP,PER,Becky Thatcher
87,20958,20958,PROP,PER,Church
88,22446,22447,PROP,PER,Jimmy Hodges
89,22740,22741,PROP,PER,the Indians
90,23592,23592,PROP,PER,Brother
91,23866,23867,PROP,PER,Robin Hood
92,24160,24161,PROP,PER,Friar Tuck
93,24677,24677,PROP,PER,Scat
94,25179,25180,PROP,PER,Mister Williams
95,25507,25507,PROP,PER,Lordy
96,25583,25585,PROP,PER,old Muff Potter
97,25621,25621,PROP,PER,Drunk
98,25784,25786,PROP,PER,young Doctor Robinson
99,26035,26035,PROP,PER,Sawbones
100,26060,26061,PROP,PER,Injun Joe
101,26692,26692,PROP,PER,Joeâ€”_honest
102,28441,28442,PROP,PER,Bull Harbison
103,28449,28450,PROP,PER,Mr. Harbison
104,28657,28657,PROP,PER,Dad
105,30134,30134,PROP,PER,Horsemen
106,30307,30308,PROP,PER,Muff Potterâ€™ll
107,30408,30408,PROP,PER,Hallo
108,30811,30811,PROP,PER,Satan
109,31290,31290,PROP,PER,Sho
110,32176,32176,PROP,PER,Gilead
111,32710,32710,PROP,PER,Peter
112,32987,32987,PROP,PER,Deed
113,34408,34408,PROP,PER,Jackson
114,35412,35414,PROP,PER,The Black Avenger
115,36993,36993,PROP,PER,Nature
116,38533,38534,PROP,PER,Bill Turner
117,39186,39186,PROP,PER,Mutiny
118,40120,40121,PROP,PER,Mrs. Harper
119,40195,40195,PROP,PER,Godâ€™ll
120,45437,45438,PROP,PER,The Harpers
121,45678,45678,PROP,PER,Joeâ€™s
26,46705,46706,PROP,PER,Old Hundred
123,47671,47672,PROP,PER,Sereny Harper
124,48070,48072,PROP,PER,old Miss Harper
125,49068,49069,PROP,PER,Mary Austin
126,49115,49116,PROP,PER,Miss Peters
127,49349,49350,PROP,PER,Grace Miller
128,49377,49378,PROP,PER,Susy Harper
129,49601,49602,PROP,PER,Alfred Temple
130,49635,49635,PROP,PER,Jealousy
84,50574,50574,PROP,PER,Auntie
131,51300,51300,PROP,PER,Tom!â€”and
132,51728,51729,PROP,PER,Miss Smarty
133,51884,51885,PROP,PER,Mr. Dobbins
134,52069,52070,PROP,PER,Professor Somebody
135,53048,53048,PROP,PER,Good!â€”he
136,55149,55151,PROP,PER,A MISSOURI MAIDEN
137,55218,55218,PROP,PER,Tallassee
138,55229,55229,PROP,PER,Aurora
29,55310,55311,PROP,PER,dear Alabama
140,55616,55616,PROP,PER,December
141,55723,55724,PROP,PER,Daniel Webster
142,56101,56101,PROP,PER,Vacation
143,56108,56108,PROP,PER,NOTE:â€”The
144,56313,56315,PROP,PER,old Judge Frazer
145,56640,56641,PROP,PER,Mr. Benton
146,59445,59446,PROP,PER,Horse Williams
148,61045,61045,PROP,PER,Shucks
149,61093,61096,PROP,PER,that old humpbacked Richard
150,62193,62193,PROP,PER,Spirits
151,63475,63475,PROP,PER,Cracky
152,64311,64312,PROP,PER,The Spaniard
153,64443,64443,PROP,PER,Milksop
154,65609,65609,PROP,PER,Murrel
155,65774,65776,PROP,PER,the great Sachem
156,68407,68407,PROP,PER,Caesar
157,69033,69034,PROP,PER,Uncle Jake
158,69201,69202,PROP,PER,Judge Thatcher
159,69521,69522,PROP,PER,Mrs. Thatcher
160,70286,70286,PROP,PER,McDougal
161,72240,72240,PROP,PER,George
163,75112,75112,PROP,PER,Whispers
164,78267,78267,PROP,PER,Thought
165,79265,79265,PROP,PER,Tuesday
166,81570,81570,PROP,PER,Christ
167,81575,81576,PROP,PER,the Conqueror
168,81583,81583,PROP,PER,Columbus
169,81751,81751,PROP,PER,Aladdin
170,82421,82421,PROP,PER,Earnest
171,83742,83742,PROP,PER,Lookyhere
172,84098,84098,PROP,PER,Huck!â€”you
173,84721,84722,PROP,PER,Benny Taylor
174,84981,84982,PROP,PER,Mr. Jones
175,85080,85081,PROP,PER,Mrs. Douglas
176,85117,85118,PROP,PER,The Thatchers
177,85307,85307,PROP,PER,Huckâ€™s
