COREF,start_token,end_token,prop,cat,text
95,1,4,PROP,PER,The Colonel Mulberry Sellers
96,19,22,PROP,PER,_ Eschol _ Sellers
97,42,45,PROP,PER,_ Beriah _ Sellers
98,58,61,PROP,PER,_ Mulberry _ Sellers
99,68,70,PROP,PER,John T. Raymond
100,189,190,PROP,PER,MARK TWAIN
101,637,637,PROP,PER,William
102,835,843,PROP,PER,the Honourable Kirkcudbright Llanover Marjoribanks Sellers Viscount - Berkeley
103,852,858,PROP,PER,Pronounced Kâ€™koobry Thlanover Marshbanks Sellers Vycount Barkly
105,1546,1547,PROP,PER,The Fairfaxes
106,1693,1694,PROP,PER,Simon Lathers
107,1735,1737,PROP,PER,Simon Lathers!â€”Simon Lathers
108,1886,1887,PROP,PER,Lord Tanzy
109,1890,1890,PROP,PER,Tollmache
110,2992,2995,PROP,PER,Mulberry Sellers Earl Rossmore
111,3628,3629,PROP,PER,Andrew Jackson
112,3807,3807,PROP,PER,Freedomolovnaivanovich
113,3907,3910,PROP,PER,Col . Mulberry Sellers
114,3990,3992,PROP,PER,Marse Washington Hawkins
115,3998,3999,PROP,PER,Great Scott
116,4005,4005,PROP,PER,Danâ€™l
117,4127,4127,PROP,PER,Polly
118,4135,4135,PROP,PER,Berry
119,4472,4472,PROP,PER,Louise
120,4851,4851,PROP,PER,Minister
121,5036,5036,PROP,PER,Constantinople
122,5114,5114,PROP,PER,George
123,5198,5199,PROP,PER,old Ticonderoga
124,6844,6844,PROP,PER,Hawking
125,6971,6972,PROP,PER,old Jinny
126,7808,7808,PROP,PER,Satan
127,7949,7949,PROP,PER,Grant
128,7951,7951,PROP,PER,Sherman
129,7955,7955,PROP,PER,Johnston
130,7957,7957,PROP,PER,Longstreet
131,7959,7959,PROP,PER,Lee
33,8221,8221,PROP,PER,Sheridan
17,8361,8361,PROP,PER,Siberia
134,8436,8438,PROP,PER,the hospitable Sellerses
135,8864,8866,PROP,PER,Witch of Endor
136,8868,8869,PROP,PER,John Milton
137,8874,8876,PROP,PER,Peter the Great
138,9081,9081,PROP,PER,Walk?â€”they
139,9419,9420,PROP,PER,the Romans
140,9425,9426,PROP,PER,the Greeks
141,9457,9457,PROP,PER,Indians
142,9890,9890,PROP,PER,Suggs
143,10779,10782,PROP,PER,One - Armed Pete
