COREF,start_token,end_token,prop,cat,text
363,7,8,PROP,PER,Squire Hawkins
364,101,101,PROP,PER,Nazareth
365,147,148,PROP,PER,Mrs. Hawkins
366,872,873,PROP,PER,Old Damrell
367,915,916,PROP,PER,Russ Mosely
368,925,926,PROP,PER,Obeds tomorrer
369,1080,1082,PROP,PER,Ole Drake Higgins
370,1174,1175,PROP,PER,Si Higgins
371,1283,1283,PROP,PER,Hit
372,1290,1292,PROP,PER,Ole Mam Higgins
373,1686,1686,PROP,PER,Nancy
374,2880,2881,PROP,PER,Si Hawkins
375,3026,3027,PROP,PER,Beriah Sellers
376,3956,3958,PROP,PER,old widow Hopkins
377,4161,4161,PROP,PER,Mum
378,4283,4283,PROP,PER,God
379,4314,4315,PROP,PER,the Hawkinses
405,4728,4728,PROP,PER,Clay
381,5158,5158,PROP,PER,Goodness
382,5441,5442,PROP,PER,Mr. Hawkins
383,6010,6011,PROP,PER,Uncle Dan'l
384,6024,6025,PROP,PER,aunt Jinny
385,6032,6036,PROP,PER,Young Miss â€ Emily Hawkins
386,6039,6043,PROP,PER,Young Mars â€ Washington Hawkins
5919,6535,6536,PROP,PER,good Lord
5926,6767,6767,PROP,PER,Lord
5929,6807,6807,PROP,PER,LORD
387,7024,7025,PROP,PER,Dis Chile
388,7360,7361,PROP,PER,ben gals
389,7577,7578,PROP,PER,De Lord
390,7779,7780,PROP,PER,Martinus Zeilerus
391,8846,8846,PROP,PER,George
392,8850,8851,PROP,PER,the Amaranth
393,8967,8967,PROP,PER,Harry
394,9073,9073,PROP,PER,Jim
395,9211,9212,PROP,PER,George Davis
396,9631,9631,PROP,PER,Murderer
397,9656,9656,PROP,PER,Boardman
398,9723,9724,PROP,PER,the Boreas
399,9878,9878,PROP,PER,Mark
400,10320,10321,PROP,PER,Wash Hastings
401,10679,10679,PROP,PER,Bully
402,11202,11203,PROP,PER,Henry Worley
403,12156,12157,PROP,PER,Van Brunt
404,12841,12846,PROP,PER,the Hon . George Washington Hawkins
406,13012,13013,PROP,PER,Colonel Sellers
407,14079,14079,PROP,PER,Tom
408,14081,14081,PROP,PER,Pete
409,14083,14083,PROP,PER,Jake
410,15029,15029,PROP,PER,Godey
411,15334,15335,PROP,PER,Benedict Arnold
412,15370,15371,PROP,PER,Judge Hawkins
413,15588,15588,PROP,PER,Philosophers
414,16169,16169,PROP,PER,Johnson----
415,16173,16173,PROP,PER,Johnson
416,16285,16285,PROP,PER,Franky
417,16598,16598,PROP,PER,Providence
418,18423,18423,PROP,PER,Father
419,18715,18716,PROP,PER,Mrs. Buckner
420,19894,19895,PROP,PER,B. Jonson
421,20303,20303,PROP,PER,Jerry
422,20563,20563,PROP,PER,Polly
423,21016,21017,PROP,PER,little Sellerses
424,21281,21282,PROP,PER,Mrs. Sellers
425,21627,21629,PROP,PER,Old Gov. Hager
426,21991,21991,PROP,PER,Sis
427,22508,22509,PROP,PER,Count Fugier
428,22879,22879,PROP,PER,Curtesye
429,22881,22881,PROP,PER,MAMMON
430,22917,22918,PROP,PER,Great Solomon
431,24093,24093,PROP,PER,Rothschild
432,24299,24299,PROP,PER,W.
433,26105,26106,PROP,PER,General Boswell
434,26494,26495,PROP,PER,Mrs. Boswell
435,26585,26586,PROP,PER,Louise Boswell
436,26714,26714,PROP,PER,"Louise,--not"
437,27098,27099,PROP,PER,the Boswells
646,28638,28639,PROP,PER,Philip Sterling
439,28667,28672,PROP,PER,Col Sellers CHAPTER XIV Ruth Bolton
440,28683,28689,PROP,PER,Mr Bigler â€œ Sees the Legislatureâ€--Ruth Bolton
441,28708,28708,PROP,PER,Jeff
442,28726,28727,PROP,PER,Colonel Selby
443,28787,28789,PROP,PER,RUTH 'S MOTHER
444,28953,28954,PROP,PER,Major Lackland
1446,29185,29185,PROP,PER,Mr.
445,29854,29856,PROP,PER,old Canada Joe
446,31602,31602,PROP,PER,Ned
41,31883,31883,PROP,PER,Hawkeye
448,32561,32561,PROP,PER,Byron
