COREF,start_token,end_token,prop,cat,text
17,467,467,PROP,PER,God
18,492,493,PROP,PER,Father Adolf
19,689,689,PROP,PER,Satan
20,784,785,PROP,PER,Father Peter
22,1204,1204,PROP,PER,Marget
23,1416,1417,PROP,PER,Wilhelm Meidling
24,1487,1488,PROP,PER,Solomon Isaacs
25,1551,1552,PROP,PER,Nikolaus Bauman
26,1564,1565,PROP,PER,Seppi Wohlmeyer
27,1609,1610,PROP,PER,Theodor Fischer
28,1735,1736,PROP,PER,Felix Brandt
29,1793,1794,PROP,PER,the Turks
30,5040,5040,PROP,PER,Adam
31,5045,5045,PROP,PER,Samson
32,5062,5062,PROP,PER,Caesar
33,6257,6258,PROP,PER,Philip Traum
34,7414,7414,PROP,PER,Man
35,7667,7668,PROP,PER,the Philistines
36,9280,9280,PROP,PER,Providence
37,9959,9960,PROP,PER,Marie Lueger
38,11318,11319,PROP,PER,Old Ursula
39,12620,12620,PROP,PER,Agnes
40,14222,14222,PROP,PER,Bohemian
41,16140,16141,PROP,PER,Hans Oppert
42,17558,17559,PROP,PER,Gottfried Narr
43,18032,18034,PROP,PER,the Evil One
44,18933,18933,PROP,PER,Lovely
45,20173,20173,PROP,PER,Gold
4,22776,22778,PROP,PER,The Golden Stag
47,23519,23520,PROP,PER,Bartel Sperling
48,25543,25543,PROP,PER,Columbus
49,25942,25943,PROP,PER,Lisa Brandt
50,26078,26078,PROP,PER,Nicky
51,31487,31488,PROP,PER,Frau Brandt
52,33947,33947,PROP,PER,Abel
53,33954,33954,PROP,PER,Cain
54,34155,34155,PROP,PER,Noah
55,34189,34189,PROP,PER,Lot
56,34229,34229,PROP,PER,Jael
57,35661,35662,PROP,PER,Poor Seppi
58,36223,36223,PROP,PER,Mueller
59,36228,36228,PROP,PER,Klein
60,36235,36235,PROP,PER,Pfeiffer
61,38743,38744,PROP,PER,Q. Pray
62,40135,40136,PROP,PER,Prince That
63,40300,40300,PROP,PER,him--â€œso
64,44651,44651,PROP,PER,Baloo
65,44708,44708,PROP,PER,Each
66,44789,44789,PROP,PER,Hathi
67,44862,44862,PROP,PER,MORAL
68,44926,44926,PROP,PER,Fred
69,46337,46338,PROP,PER,THE McWILLIAMSES
70,46391,46392,PROP,PER,Mr. McWilliams
71,46447,46448,PROP,PER,Mr. Twain
72,46509,46510,PROP,PER,Mrs. McWilliams
73,47724,47724,PROP,PER,Thomas
