COREF,start_token,end_token,prop,cat,text
87,96,96,PROP,PER,God
88,231,232,PROP,PER,Edward Tudor
89,234,266,PROP,PER,"Prince of Wales , who lay lapped in silks and satins , unconscious of all this fuss , and not knowing that great lords and ladies were tending him and watching over him"
90,284,285,PROP,PER,Tom Canty
91,569,569,PROP,PER,Bet
92,571,571,PROP,PER,Nan
93,724,725,PROP,PER,John Canty
94,803,804,PROP,PER,Father Andrew
95,2569,2569,PROP,PER,Heaven
96,3535,3536,PROP,PER,Gammer Canty
97,3651,3654,PROP,PER,the Lady Jane Grey
98,3674,3676,PROP,PER,the Lady Mary
99,4122,4122,PROP,PER,Marry
100,4218,4218,PROP,PER,Prithee
101,5595,5596,PROP,PER,Poor Edward
102,6012,6012,PROP,PER,Christ
103,6592,6592,PROP,PER,Surrey
105,7549,7550,PROP,PER,Henry VIII
106,7722,7722,PROP,PER,Alack
107,8826,8826,PROP,PER,Hertford
108,9474,9477,PROP,PER,the Earl of Hertford
109,9503,9506,PROP,PER,The Lord St. John
110,10793,10795,PROP,PER,The Princess Elizabeth
111,11030,11033,PROP,PER,the Lord Guilford Dudley
112,11384,11386,PROP,PER,Sir William Herbert
113,12101,12104,PROP,PER,the old Baron Marley
114,12140,12141,PROP,PER,Mary Magdalene
115,12457,12458,PROP,PER,St. Swithin
116,12571,12571,PROP,PER,Benvenuto
117,12609,12622,PROP,PER,"my lord the Earl of Berkeley , who fastened a napkin about his neck"
118,12789,12792,PROP,PER,The Lord Chief Butler
119,13364,13365,PROP,PER,Hereditary Scratcher
120,13694,13697,PROP,PER,Madam Parr the Queen
121,13874,13875,PROP,PER,CHAPTER VIII
122,14047,14050,PROP,PER,the Duke of Norfolk
123,14718,14721,PROP,PER,the kneeling Lord Chancellor
124,16305,16305,PROP,PER,Tarry
125,17083,17084,PROP,PER,Mrs. Canty
126,19921,19921,PROP,PER,Magog
127,20317,20317,PROP,PER,Moors
128,20609,20610,PROP,PER,Miles Hendon
129,20651,20654,PROP,PER,Don Caesar de Bazan
130,21471,21472,PROP,PER,the Kingâ€™s
131,23356,23356,PROP,PER,Arthur
132,23362,23362,PROP,PER,Hugh
133,23933,23933,PROP,PER,Lo
134,24226,24230,PROP,PER,Richard Hendon of Hendon Hall
135,24233,24233,PROP,PER,Monk
136,24285,24286,PROP,PER,Sir Richard
137,24394,24396,PROP,PER,the Lady Edith
138,25611,25614,PROP,PER,the Lord de Courcy
139,25681,25682,PROP,PER,King John
140,25684,25685,PROP,PER,De Courcy
141,27231,27231,PROP,PER,Satan
142,28280,28280,PROP,PER,Goodman
1145,28783,28885,PROP,PER,"the Chancellor Royal of the Duchy of Lancaster , who passed it to the Master of the Wardrobe , who passed it to Norroy King - at - Arms , who passed it to the Constable of the Tower , who passed it to the Chief Steward of the Household , who passed it to the Hereditary Grand Diaperer , who passed it to the Lord High Admiral of England , who passed it to the Archbishop of Canterbury , who passed it to the First Lord of the Bedchamber , who took what was left of it and put it on Tom"
143,29240,29241,PROP,PER,the Buckhounds
144,29574,29576,PROP,PER,John Lord Russell
145,29583,29585,PROP,PER,John Viscount Lisle
1198,29614,29615,PROP,PER,Lord Hertford--
146,30044,30046,PROP,PER,Sir Thomas Seymour
147,30731,30731,PROP,PER,Humphrey
148,31622,31623,PROP,PER,Master Humphrey
149,32433,32435,PROP,PER,the Great Seal
150,34024,34025,PROP,PER,Giles Witt
151,35880,35880,PROP,PER,Certes
152,37735,37736,PROP,PER,the Cantys
153,38181,38181,PROP,PER,Nightfall
154,39065,39065,PROP,PER,Hobbs
155,39072,39072,PROP,PER,Jack
156,39173,39173,PROP,PER,Hugo
157,39803,39806,PROP,PER,the Bat and Dick
158,39966,39967,PROP,PER,Bouse Mort
159,39969,39969,PROP,PER,Ken
160,40002,40002,PROP,PER,Bing
161,40382,40383,PROP,PER,Black Bess
162,40853,40853,PROP,PER,Yokel
163,40858,40858,PROP,PER,Hodge
165,43805,43805,PROP,PER,Providence
166,46007,46007,PROP,PER,One
167,46231,46231,PROP,PER,Margery?--he
168,46253,46253,PROP,PER,Prissy
169,47719,47721,PROP,PER,Alfred the Great
170,47893,47896,PROP,PER,the good King Alfred
171,49475,49475,PROP,PER,Abraham
172,49477,49477,PROP,PER,Isaac
173,49479,49479,PROP,PER,Jacob
174,50968,50970,PROP,PER,Henry the Eighth
175,52595,52596,PROP,PER,King Foo
176,54299,54302,PROP,PER,the Game - Cocks
4156,54996,54996,PROP,PER,Lord
177,58805,58806,PROP,PER,Hugh Hendon
178,59379,59379,PROP,PER,"Gone,--both"
4278,59401,59403,PROP,PER,the Lady Edith--
179,59498,59498,PROP,PER,Peter
180,59500,59500,PROP,PER,Halsey
181,59502,59502,PROP,PER,David
182,59504,59504,PROP,PER,Bernard
183,59507,59507,PROP,PER,Margaret
184,62094,62094,PROP,PER,Fly
185,62716,62717,PROP,PER,Blake Andrews
186,63827,63829,PROP,PER,the Lord Protector
187,63845,63848,PROP,PER,the Duke of Somerset
189,70533,70535,PROP,PER,Elizabeth of York
190,70557,70558,PROP,PER,Henry VII
191,70635,70636,PROP,PER,Jane Seymour
192,70662,70663,PROP,PER,Edward VI
193,70751,70752,PROP,PER,Whithersoever Tom
194,71286,71286,PROP,PER,Remorse
195,71889,71889,PROP,PER,Perdition
196,72321,72321,PROP,PER,Stillness
197,72409,72409,PROP,PER,Solomon
198,72632,72633,PROP,PER,Richard III
199,75153,75156,PROP,PER,the Lord St. John--
200,77605,77605,PROP,PER,Hunger
201,80509,80510,PROP,PER,Queen Mary
202,80518,80519,PROP,PER,Queen Elizabeth
203,80531,80532,PROP,PER,James I.
204,80558,80559,PROP,PER,the Kents
205,80580,80581,PROP,PER,Charles I.
206,80929,80930,PROP,PER,Mark Twain
207,81003,81003,PROP,PER,Hume
208,81008,81008,PROP,PER,Ib
209,81013,81014,PROP,PER,Leigh Hunt
210,81074,81077,PROP,PER,Dr. J. Hammond Trumbull
211,81307,81308,PROP,PER,Earl Marshal
212,81397,81398,PROP,PER,Queen Catherine
213,81762,81763,PROP,PER,Charles II
214,81920,81921,PROP,PER,Edward III
215,82100,82100,PROP,PER,Taylor
216,82403,82408,PROP,PER,Henry I.--Dr . J. Hammond Trumbull
217,82532,82533,PROP,PER,William Prynne
