COREF,start_token,end_token,prop,cat,text
72,2,5,PROP,PER,TOM SEEKS NEW ADVENTURES
73,9,10,PROP,PER,Tom Sawyer
74,33,35,PROP,PER,the darky Jim
75,38,38,PROP,PER,Tom
76,254,256,PROP,PER,old Nat Parsons
77,2466,2466,PROP,PER,Illustration
78,2526,2527,PROP,PER,Huck Finn
79,2632,2633,PROP,PER,Lance Williams
80,2640,2640,PROP,PER,Choctaw
81,2687,2688,PROP,PER,Bill Thompson
82,2758,2759,PROP,PER,the paynim
83,3270,3273,PROP,PER,Richard Cur de Loon
84,3280,3282,PROP,PER,Godfrey de Bulleyn
85,3647,3648,PROP,PER,Mars Tomâ€”â€™deed
86,4061,4062,PROP,PER,Walter Scott
87,5194,5196,PROP,PER,The Widder Douglas
88,5465,5465,PROP,PER,Steam
89,8755,8756,PROP,PER,Hank Wilson
90,9387,9387,PROP,PER,Yassir
91,9395,9395,PROP,PER,Polly
92,9438,9439,PROP,PER,De Lord
1181,9579,9580,PROP,PER,The Lord
18,9962,9963,PROP,PER,de Choosday
94,14051,14051,PROP,PER,Columbus
95,16460,16460,PROP,PER,Spiders
96,17818,17821,PROP,PER,TOM RESPECTS THE FLEA
97,22526,22527,PROP,PER,Anna Nias
98,23390,23390,PROP,PER,Ghost
99,25698,25698,PROP,PER,Generly
100,26340,26341,PROP,PER,the Mexicans
1350,26729,26730,PROP,PER,de Lord
101,27770,27770,PROP,PER,God
102,28941,28942,PROP,PER,Hen Scovil
103,29018,29020,PROP,PER,De Good Book
104,29075,29076,PROP,PER,Uncle Abner
105,30478,30479,PROP,PER,Captain Kidd
106,30481,30482,PROP,PER,George Washington
107,31642,31644,PROP,PER,Mr. Elexander Robinson
108,31646,31648,PROP,PER,Miss Adaline Robinson
109,31651,31653,PROP,PER,Colonel Jacob McDougal
110,31655,31657,PROP,PER,Miss Harryet McDougal
111,31660,31662,PROP,PER,Judge Jeremiah Butler
112,31664,31666,PROP,PER,young Bushrod Butler
113,31725,31725,PROP,PER,Elleck
114,31728,31728,PROP,PER,Addy
115,31734,31734,PROP,PER,Hattie
116,31740,31740,PROP,PER,Buck
117,32663,32663,PROP,PER,Le
118,32936,32936,PROP,PER,Creosote
119,32948,32948,PROP,PER,Creesus
120,33744,33745,PROP,PER,de mos
121,35372,35372,PROP,PER,Methusalem
122,35615,35615,PROP,PER,Moses
123,35617,35617,PROP,PER,Joseph
124,35619,35619,PROP,PER,Pharaoh
125,35658,35658,PROP,PER,Hit
127,35874,35874,PROP,PER,Noureddin
128,35877,35877,PROP,PER,Bedreddin
129,36440,36441,PROP,PER,the Sphinx
130,36809,36810,PROP,PER,Julus Cesar
131,38217,38217,PROP,PER,Jackson
132,39071,39071,PROP,PER,PIPE
133,39730,39731,PROP,PER,Whirling Dervishes
134,39805,39805,PROP,PER,Moslems
135,40139,40139,PROP,PER,Missourian
136,40427,40427,PROP,PER,Instink
137,40634,40635,PROP,PER,the Israelites
138,41150,41150,PROP,PER,Louis
139,41481,41483,PROP,PER,Tom Sawyer Erronott
140,42238,42238,PROP,PER,Tomâ€™s.â€”M.T.
