COREF,start_token,end_token,prop,cat,text
17,5,5,PROP,PER,TOM
18,7,7,PROP,PER,HUCK
19,96,96,PROP,PER,Jim
20,115,115,PROP,PER,Silas
21,554,554,PROP,PER,Polly
22,624,624,PROP,PER,Sally
23,1314,1314,PROP,PER,Huckâ€™ll
24,1348,1349,PROP,PER,Brace Dunlap
25,1357,1357,PROP,PER,Benny
26,1447,1448,PROP,PER,the Dunlaps
27,1458,1459,PROP,PER,Uncle Silas
28,1623,1626,PROP,PER,that useless Jubiter Dunlap
29,1943,1943,PROP,PER,Jake
30,2649,2649,PROP,PER,Phillips
31,3069,3069,PROP,PER,Jackson
3,3519,3519,PROP,PER,Land
33,3638,3639,PROP,PER,true?â€”honor bright
34,3651,3652,PROP,PER,Honor bright
35,3750,3750,PROP,PER,God
36,4114,4114,PROP,PER,George
37,4248,4248,PROP,PER,Illustration
38,5311,5312,PROP,PER,Bud Dixon
39,5787,5788,PROP,PER,Hal Clayton
40,6116,6116,PROP,PER,Thunder
41,8881,8882,PROP,PER,Poor Jake
42,9568,9568,PROP,PER,Sho
43,9659,9660,PROP,PER,Bill Withers
44,9664,9664,PROP,PER,Jack
45,9704,9704,PROP,PER,Nigger
46,9811,9812,PROP,PER,Lem Beebe
47,12479,12479,PROP,PER,Sid
48,12634,12635,PROP,PER,Marse Silas
49,14495,14496,PROP,PER,Marse Jubiter
50,15078,15079,PROP,PER,Poor Jakey
51,15345,15345,PROP,PER,Lordy
52,15829,15829,PROP,PER,Ghost
53,16076,16076,PROP,PER,Goo
54,16107,16108,PROP,PER,Steve Nickerson
55,16206,16207,PROP,PER,the Nickersons
56,16241,16241,PROP,PER,Babtis
57,16244,16244,PROP,PER,Methodis
58,16251,16251,PROP,PER,Whig
59,16253,16253,PROP,PER,Democrat
60,16638,16638,PROP,PER,Dummy
61,17004,17004,PROP,PER,Generly
62,17278,17280,PROP,PER,Old Jeff Hooker
63,17790,17790,PROP,PER,druthers
64,18784,18785,PROP,PER,Poor Jubiter
65,19477,19477,PROP,PER,Cain
66,21786,21787,PROP,PER,Jupiter Dunlap
67,22143,22143,PROP,PER,Lemme
68,22490,22491,PROP,PER,Mr. Sheriff
69,22700,22701,PROP,PER,Sam Cooper
70,22905,22906,PROP,PER,Poor cretur
71,24295,24295,PROP,PER,Up
72,24578,24579,PROP,PER,Them diâ€™monds
73,25898,25898,PROP,PER,Scott
74,26130,26132,PROP,PER,Itâ€™sâ€”_Jubiter _ Dunlap
75,26352,26353,PROP,PER,Bruce Dunlap
77,28179,28179,PROP,PER,chipper
