COREF,start_token,end_token,prop,cat,text
110,239,240,PROP,PER,Lady Castlemaine
111,326,327,PROP,PER,MARK TWAIN
112,524,525,PROP,PER,Sir Bedivere
113,527,530,PROP,PER,Sir Bors de Ganis
114,532,533,PROP,PER,Sir Launcelot
115,538,539,PROP,PER,Sir Galahad
116,688,689,PROP,PER,King Arthur
117,700,705,PROP,PER,the knight Sir Sagramor le Desirous
118,743,743,PROP,PER,Cromwell
119,873,875,PROP,PER,Sir Thomas Malory
120,939,940,PROP,PER,Anon withal
121,1069,1069,PROP,PER,God
122,1188,1191,PROP,PER,Sir Launcelot du Lake
123,1489,1490,PROP,PER,Sir Kay
401,1607,1608,PROP,PER,Sir Knight
124,1790,1791,PROP,PER,Queen Guenever
125,2314,2314,PROP,PER,Hercules
126,2887,2887,PROP,PER,Bridgeport
127,3220,3220,PROP,PER,Sunday
128,4184,4184,PROP,PER,Marry
129,4280,4280,PROP,PER,Prithee
130,4844,4844,PROP,PER,June
131,5323,5323,PROP,PER,Clarence
132,6512,6513,PROP,PER,The rascals--_they
133,7462,7462,PROP,PER,Whitsuntide
134,7836,7836,PROP,PER,Merlin
135,8292,8292,PROP,PER,Lo
136,8400,8400,PROP,PER,Damsel
137,8431,8433,PROP,PER,Sir Arthur King
138,8621,8622,PROP,PER,Sir Pellinore
139,8645,8645,PROP,PER,Egglame
140,9050,9053,PROP,PER,SIR DINADAN THE HUMORIST
141,10004,10005,PROP,PER,Tom Jones
142,10112,10113,PROP,PER,Sir Walter
143,10142,10142,PROP,PER,Rebecca
144,10144,10144,PROP,PER,Ivanhoe
145,10149,10149,PROP,PER,Rowena
146,11167,11167,PROP,PER,Bosh
147,11519,11519,PROP,PER,Smith
148,11523,11523,PROP,PER,Robinson
149,11525,11525,PROP,PER,Jackson
150,11527,11527,PROP,PER,Peters
151,11529,11529,PROP,PER,Haskins
152,12206,12206,PROP,PER,Columbus
153,12209,12209,PROP,PER,Cortez
154,12963,12963,PROP,PER,Hope
155,15636,15638,PROP,PER,MERLIN 'S TOWER
156,16023,16023,PROP,PER,Raphael
157,16103,16103,PROP,PER,R.
158,16756,16756,PROP,PER,George
159,18558,18558,PROP,PER,Colt
160,18786,18786,PROP,PER,Joseph
161,18971,18972,PROP,PER,De Montforts
162,18974,18974,PROP,PER,Gavestons
163,18976,18976,PROP,PER,Mortimers
164,18978,18978,PROP,PER,Villierses
165,18993,18995,PROP,PER,Charles the Second
45,20260,20260,PROP,PER,Christendom
167,22074,22078,PROP,PER,Sir Brian de les Isles
168,22090,22091,PROP,PER,Sir Aglovale
169,22093,22094,PROP,PER,Sir Tor
170,22110,22111,PROP,PER,Sir Carados
171,22118,22119,PROP,PER,Sir Turquine
172,22131,22134,PROP,PER,Sir Percivale de Galis
173,22136,22139,PROP,PER,Sir Lamorak de Galis
174,22199,22200,PROP,PER,Sir Arnold
175,22203,22204,PROP,PER,Sir Gauter
176,22213,22214,PROP,PER,Sir Brandiles
177,22236,22237,PROP,PER,Sir Pertolope
178,22247,22248,PROP,PER,Sir Lionel
179,22285,22286,PROP,PER,Sir Bleobaris
180,22291,22292,PROP,PER,Sir Gareth
181,22306,22307,PROP,PER,Sir Galihodin
182,22328,22329,PROP,PER,Sir Galihud
183,22354,22357,PROP,PER,La Cote Male Taile
184,22360,22363,PROP,PER,Sir Sagramore le Disirous
185,22366,22369,PROP,PER,Sir Dodinas le Savage
186,22447,22448,PROP,PER,Sir Agwisance
187,22475,22476,PROP,PER,King Carados
188,22497,22498,PROP,PER,King Uriens
189,22510,22511,PROP,PER,Sir Bagdemagus
190,22530,22530,PROP,PER,Meliganus
191,22543,22544,PROP,PER,Sir Galahault
192,22845,22845,PROP,PER,Garry
193,23272,23272,PROP,PER,Lactantius
26,23585,23587,PROP,PER,the Holy Grail
195,26350,26354,PROP,PER,the Demoiselle Alisande la Carteloise
196,26501,26502,PROP,PER,great Scott
197,27660,27660,PROP,PER,Flanagan
198,29063,29063,PROP,PER,Buchanan
199,30718,30718,PROP,PER,Sandy
200,32103,32104,PROP,PER,the Indian
201,34257,34259,PROP,PER,the Jack Cade
202,34437,34439,PROP,PER,Amyas le Poulet
4670,34736,34736,PROP,PER,LORD
203,36678,36678,PROP,PER,Cowboys
204,36953,36954,PROP,PER,Sir Gawaine
205,36956,36957,PROP,PER,Sir Uwaine
206,37343,37343,PROP,PER,Sirs
207,37490,37493,PROP,PER,Tom Sayers --John Heenan
208,37495,37497,PROP,PER,John L. Sullivan
209,37570,37570,PROP,PER,Comanches
210,37640,37640,PROP,PER,Marhaus
211,38475,38475,PROP,PER,Nero
212,39689,39689,PROP,PER,Central
213,39708,39708,PROP,PER,Hank
214,40249,40249,PROP,PER,Persimmon
215,41035,41037,PROP,PER,Morgan le Fay
216,41099,41099,PROP,PER,Joshua
217,41715,41717,PROP,PER,Mrs. le Fay
218,41804,41804,PROP,PER,Satan
219,42392,42393,PROP,PER,Brer Uriens
